Forked 41505
Starting to reopen 0 and 1
Calling execv `tournament0/fedro.py` (pid 41505)
Strategy 0: first ans is 0
Forked 41529
Starting to reopen 0 and 1
Calling execv `tournament0/pzakorko.py` (pid 41529)
Strategy 1: first ans is 0
Forked 41530
Starting to reopen 0 and 1
Calling execv `tournament0/alex_dany` (pid 41530)
41530: Started!
41530: Number of players: 3, position: 2, number of turns: 1000
41530: Random seed: 4035613351
Strategy 2: first ans is 0
41530: 3.000000e+00 0.000000e+00 0.000000e+00
41530: 2.000000e+00 5.000000e-01 5.000000e-01
41530: 1.666667e+00 6.666667e-01 6.666667e-01
41530: 1.750000e+00 7.500000e-01 5.000000e-01
41530: 1.600000e+00 8.000000e-01 6.000000e-01
41530: 1.500000e+00 1.000000e+00 5.000000e-01
41530: 1.571429e+00 1.000000e+00 4.285714e-01
41530: 1.500000e+00 1.125000e+00 3.750000e-01
41530: 1.666667e+00 1.000000e+00 3.333333e-01
41530: 1.700000e+00 1.000000e+00 3.000000e-01
41530: 1.727273e+00 1.000000e+00 2.727273e-01
41530: 1.666667e+00 1.000000e+00 3.333333e-01
41530: 1.692308e+00 1.000000e+00 3.076923e-01
41530: 1.642857e+00 1.000000e+00 3.571429e-01
41530: 1.600000e+00 1.000000e+00 4.000000e-01
41530: 1.562500e+00 1.000000e+00 4.375000e-01
41530: 1.647059e+00 9.411765e-01 4.117647e-01
41530: 1.611111e+00 1.000000e+00 3.888889e-01
41530: 1.578947e+00 1.000000e+00 4.210526e-01
41530: 1.600000e+00 1.000000e+00 4.000000e-01
41530: 1.619048e+00 1.000000e+00 3.809524e-01
41530: 1.636364e+00 1.000000e+00 3.636364e-01
41530: 1.608696e+00 1.043478e+00 3.478261e-01
41530: 1.625000e+00 1.041667e+00 3.333333e-01
41530: 1.640000e+00 1.040000e+00 3.200000e-01
41530: 1.615385e+00 1.038462e+00 3.461538e-01
41530: 1.629630e+00 1.037037e+00 3.333333e-01
41530: 1.642857e+00 1.035714e+00 3.214286e-01
41530: 1.655172e+00 1.034483e+00 3.103448e-01
41530: 1.666667e+00 1.033333e+00 3.000000e-01
41530: 1.645161e+00 1.032258e+00 3.225806e-01
41530: 1.625000e+00 1.062500e+00 3.125000e-01
41530: 1.606061e+00 1.090909e+00 3.030303e-01
41530: 1.588235e+00 1.117647e+00 2.941176e-01
41530: 1.571429e+00 1.114286e+00 3.142857e-01
41530: 1.555556e+00 1.111111e+00 3.333333e-01
41530: 1.594595e+00 1.081081e+00 3.243243e-01
41530: 1.578947e+00 1.078947e+00 3.421053e-01
41530: 1.589744e+00 1.076923e+00 3.333333e-01
41530: 1.600000e+00 1.075000e+00 3.250000e-01
41530: 1.609756e+00 1.073171e+00 3.170732e-01
41530: 1.595238e+00 1.071429e+00 3.333333e-01
41530: 1.604651e+00 1.069767e+00 3.255814e-01
41530: 1.590909e+00 1.068182e+00 3.409091e-01
41530: 1.600000e+00 1.066667e+00 3.333333e-01
41530: 1.586957e+00 1.065217e+00 3.478261e-01
41530: 1.595745e+00 1.063830e+00 3.404255e-01
41530: 1.583333e+00 1.062500e+00 3.541667e-01
41530: 1.571429e+00 1.061224e+00 3.673469e-01
41530: 1.580000e+00 1.060000e+00 3.600000e-01
41530: 1.588235e+00 1.058824e+00 3.529412e-01
41530: 1.596154e+00 1.057692e+00 3.461538e-01
41530: 1.584906e+00 1.075472e+00 3.396226e-01
41530: 1.574074e+00 1.092593e+00 3.333333e-01
41530: 1.581818e+00 1.090909e+00 3.272727e-01
41530: 1.589286e+00 1.089286e+00 3.214286e-01
41530: 1.578947e+00 1.087719e+00 3.333333e-01
41530: 1.568966e+00 1.103448e+00 3.275862e-01
41530: 1.576271e+00 1.084746e+00 3.389831e-01
41530: 1.583333e+00 1.083333e+00 3.333333e-01
41530: 1.573770e+00 1.081967e+00 3.442623e-01
41530: 1.580645e+00 1.080645e+00 3.387097e-01
41530: 1.587302e+00 1.079365e+00 3.333333e-01
41530: 1.593750e+00 1.078125e+00 3.281250e-01
41530: 1.584615e+00 1.092308e+00 3.230769e-01
41530: 1.575758e+00 1.090909e+00 3.333333e-01
41530: 1.582090e+00 1.089552e+00 3.283582e-01
41530: 1.588235e+00 1.088235e+00 3.235294e-01
41530: 1.594203e+00 1.086957e+00 3.188406e-01
41530: 1.585714e+00 1.100000e+00 3.142857e-01
41530: 1.591549e+00 1.098592e+00 3.098592e-01
41530: 1.583333e+00 1.111111e+00 3.055556e-01
41530: 1.575342e+00 1.123288e+00 3.013699e-01
41530: 1.567568e+00 1.121622e+00 3.108108e-01
41530: 1.573333e+00 1.106667e+00 3.200000e-01
41530: 1.578947e+00 1.105263e+00 3.157895e-01
41530: 1.584416e+00 1.103896e+00 3.116883e-01
41530: 1.576923e+00 1.102564e+00 3.205128e-01
41530: 1.569620e+00 1.113924e+00 3.164557e-01
