Forked 41744
Starting to reopen 0 and 1
Calling execv `tournament0/pzakorko.py` (pid 41744)
Strategy 0: first ans is 0
Forked 41745
Starting to reopen 0 and 1
Calling execv `tournament0/alex_dany` (pid 41745)
41745: Started!
41745: Number of players: 3, position: 1, number of turns: 1000
41745: Random seed: 1577356933
Strategy 1: first ans is 1
Forked 41746
Starting to reopen 0 and 1
Calling execv `tournament0/the_best_strategy.py` (pid 41746)
Strategy 2: first ans is 0
41745: 2.000000e+00 1.000000e+00 0.000000e+00
41745: 1.500000e+00 1.500000e+00 0.000000e+00
41745: 1.666667e+00 1.000000e+00 3.333333e-01
41745: 1.500000e+00 1.000000e+00 5.000000e-01
41745: 1.600000e+00 8.000000e-01 6.000000e-01
41745: 1.500000e+00 8.333333e-01 6.666667e-01
41745: 1.571429e+00 7.142857e-01 7.142857e-01
41745: 1.500000e+00 7.500000e-01 7.500000e-01
41745: 1.555556e+00 6.666667e-01 7.777778e-01
41745: 1.600000e+00 6.000000e-01 8.000000e-01
41745: 1.545455e+00 6.363636e-01 8.181818e-01
41745: 1.583333e+00 5.833333e-01 8.333333e-01
41745: 1.538462e+00 6.153846e-01 8.461538e-01
41745: 1.642857e+00 5.714286e-01 7.857143e-01
41745: 1.666667e+00 6.000000e-01 7.333333e-01
41745: 1.625000e+00 6.250000e-01 7.500000e-01
41745: 1.588235e+00 6.470588e-01 7.647059e-01
41745: 1.555556e+00 6.666667e-01 7.777778e-01
41745: 1.578947e+00 6.842105e-01 7.368421e-01
41745: 1.600000e+00 7.000000e-01 7.000000e-01
41745: 1.619048e+00 7.142857e-01 6.666667e-01
41745: 1.590909e+00 7.272727e-01 6.818182e-01
41745: 1.565217e+00 7.826087e-01 6.521739e-01
41745: 1.583333e+00 7.916667e-01 6.250000e-01
41745: 1.520000e+00 8.400000e-01 6.400000e-01
41745: 1.576923e+00 8.076923e-01 6.153846e-01
41745: 1.592593e+00 8.148148e-01 5.925926e-01
41745: 1.571429e+00 8.571429e-01 5.714286e-01
41745: 1.551724e+00 8.620690e-01 5.862069e-01
41745: 1.600000e+00 8.333333e-01 5.666667e-01
41745: 1.580645e+00 8.387097e-01 5.806452e-01
41745: 1.562500e+00 8.437500e-01 5.937500e-01
41745: 1.606061e+00 8.181818e-01 5.757576e-01
41745: 1.588235e+00 8.529412e-01 5.588235e-01
41745: 1.542857e+00 8.857143e-01 5.714286e-01
41745: 1.583333e+00 8.611111e-01 5.555556e-01
41745: 1.567568e+00 8.648649e-01 5.675676e-01
41745: 1.578947e+00 8.421053e-01 5.789474e-01
41745: 1.564103e+00 8.461538e-01 5.897436e-01
41745: 1.600000e+00 8.250000e-01 5.750000e-01
41745: 1.585366e+00 8.292683e-01 5.853659e-01
41745: 1.595238e+00 8.333333e-01 5.714286e-01
41745: 1.604651e+00 8.372093e-01 5.581395e-01
41745: 1.590909e+00 8.636364e-01 5.454545e-01
41745: 1.600000e+00 8.666667e-01 5.333333e-01
41745: 1.586957e+00 8.913043e-01 5.217391e-01
41745: 1.595745e+00 8.936170e-01 5.106383e-01
41745: 1.583333e+00 9.166667e-01 5.000000e-01
41745: 1.591837e+00 9.183673e-01 4.897959e-01
41745: 1.580000e+00 9.200000e-01 5.000000e-01
41745: 1.588235e+00 9.215686e-01 4.901961e-01
41745: 1.576923e+00 9.423077e-01 4.807692e-01
41745: 1.566038e+00 9.433962e-01 4.905660e-01
41745: 1.574074e+00 9.444444e-01 4.814815e-01
41745: 1.563636e+00 9.454545e-01 4.909091e-01
41745: 1.589286e+00 9.285714e-01 4.821429e-01
41745: 1.578947e+00 9.473684e-01 4.736842e-01
41745: 1.568966e+00 9.482759e-01 4.827586e-01
41745: 1.593220e+00 9.322034e-01 4.745763e-01
41745: 1.583333e+00 9.333333e-01 4.833333e-01
41745: 1.590164e+00 9.344262e-01 4.754098e-01
41745: 1.580645e+00 9.354839e-01 4.838710e-01
41745: 1.571429e+00 9.365079e-01 4.920635e-01
41745: 1.578125e+00 9.375000e-01 4.843750e-01
41745: 1.569231e+00 9.384615e-01 4.923077e-01
41745: 1.590909e+00 9.242424e-01 4.848485e-01
41745: 1.582090e+00 9.402985e-01 4.776119e-01
41745: 1.558824e+00 9.558824e-01 4.852941e-01
41745: 1.550725e+00 9.565217e-01 4.927536e-01
41745: 1.557143e+00 9.428571e-01 5.000000e-01
41745: 1.563380e+00 9.436620e-01 4.929577e-01
41745: 1.569444e+00 9.444444e-01 4.861111e-01
41745: 1.589041e+00 9.315068e-01 4.794521e-01
41745: 1.594595e+00 9.324324e-01 4.729730e-01
41745: 1.586667e+00 9.333333e-01 4.800000e-01
41745: 1.578947e+00 9.473684e-01 4.736842e-01
41745: 1.571429e+00 9.610390e-01 4.675325e-01
41745: 1.576923e+00 9.615385e-01 4.615385e-01
41745: 1.569620e+00 9.746835e-01 4.556962e-01
41745: 1.587500e+00 9.625000e-01 4.500000e-01
41745: 1.592593e+00 9.629630e-01 4.444444e-01
41745: 1.585366e+00 9.634146e-01 4.512195e-01
41745: 1.578313e+00 9.638554e-01 4.578313e-01
41745: 1.559524e+00 9.880952e-01 4.523810e-01
41745: 1.564706e+00 9.882353e-01 4.470588e-01
41745: 1.581395e+00 9.767442e-01 4.418605e-01
41745: 1.586207e+00 9.770115e-01 4.367816e-01
41745: 1.579545e+00 9.886364e-01 4.318182e-01
41745: 1.573034e+00 1.000000e+00 4.269663e-01
41745: 1.555556e+00 1.022222e+00 4.222222e-01
41745: 1.571429e+00 1.010989e+00 4.175824e-01
41745: 1.576087e+00 1.010870e+00 4.130435e-01
41745: 1.559140e+00 1.021505e+00 4.193548e-01
41745: 1.563830e+00 1.010638e+00 4.255319e-01
41745: 1.557895e+00 1.010526e+00 4.315789e-01
41745: 1.572917e+00 1.000000e+00 4.270833e-01
41745: 1.556701e+00 1.020619e+00 4.226804e-01
41745: 1.571429e+00 1.010204e+00 4.183673e-01
41745: 1.565657e+00 1.010101e+00 4.242424e-01
41745: 1.580000e+00 1.000000e+00 4.200000e-01
41745: 1.574257e+00 1.000000e+00 4.257426e-01
41745: 1.578431e+00 1.000000e+00 4.215686e-01
41745: 1.563107e+00 1.009709e+00 4.271845e-01
41745: 1.557692e+00 1.009615e+00 4.326923e-01
41745: 1.571429e+00 1.000000e+00 4.285714e-01
41745: 1.575472e+00 1.000000e+00 4.245283e-01
41745: 1.570093e+00 1.000000e+00 4.299065e-01
41745: 1.564815e+00 1.009259e+00 4.259259e-01
41745: 1.577982e+00 1.000000e+00 4.220183e-01
41745: 1.581818e+00 1.000000e+00 4.181818e-01
41745: 1.585586e+00 1.000000e+00 4.144144e-01
41745: 1.589286e+00 1.000000e+00 4.107143e-01
41745: 1.592920e+00 1.000000e+00 4.070796e-01
41745: 1.578947e+00 1.008772e+00 4.122807e-01
41745: 1.582609e+00 1.008696e+00 4.086957e-01
41745: 1.577586e+00 1.017241e+00 4.051724e-01
41745: 1.572650e+00 1.017094e+00 4.102564e-01
41745: 1.567797e+00 1.025424e+00 4.067797e-01
41745: 1.579832e+00 1.016807e+00 4.033613e-01
41745: 1.575000e+00 1.016667e+00 4.083333e-01
41745: 1.570248e+00 1.016529e+00 4.132231e-01
41745: 1.573770e+00 1.016393e+00 4.098361e-01
41745: 1.569106e+00 1.024390e+00 4.065041e-01
41745: 1.572581e+00 1.024194e+00 4.032258e-01
41745: 1.560000e+00 1.032000e+00 4.080000e-01
41745: 1.563492e+00 1.023810e+00 4.126984e-01
41745: 1.566929e+00 1.023622e+00 4.094488e-01
41745: 1.578125e+00 1.015625e+00 4.062500e-01
41745: 1.565891e+00 1.023256e+00 4.108527e-01
41745: 1.561538e+00 1.023077e+00 4.153846e-01
41745: 1.564885e+00 1.022901e+00 4.122137e-01
41745: 1.568182e+00 1.015152e+00 4.166667e-01
41745: 1.571429e+00 1.015038e+00 4.135338e-01
41745: 1.574627e+00 1.014925e+00 4.104478e-01
41745: 1.570370e+00 1.014815e+00 4.148148e-01
41745: 1.566176e+00 1.022059e+00 4.117647e-01
41745: 1.569343e+00 1.014599e+00 4.160584e-01
41745: 1.579710e+00 1.007246e+00 4.130435e-01
41745: 1.575540e+00 1.014388e+00 4.100719e-01
41745: 1.571429e+00 1.021429e+00 4.071429e-01
41745: 1.574468e+00 1.021277e+00 4.042553e-01
41745: 1.570423e+00 1.021127e+00 4.084507e-01
41745: 1.566434e+00 1.020979e+00 4.125874e-01
41745: 1.569444e+00 1.013889e+00 4.166667e-01
41745: 1.579310e+00 1.006897e+00 4.137931e-01
41745: 1.575342e+00 1.006849e+00 4.178082e-01
41745: 1.578231e+00 1.006803e+00 4.149660e-01
41745: 1.574324e+00 1.013514e+00 4.121622e-01
