Forked 42045
Starting to reopen 0 and 1
Calling execv `tournament0/elexunix.py` (pid 42045)
Strategy 0: first ans is 1
Forked 42069
Starting to reopen 0 and 1
Calling execv `tournament0/alex_dany` (pid 42069)
42069: Started!
42069: Number of players: 3, position: 1, number of turns: 1000
42069: Random seed: 1160997705
Strategy 1: first ans is 1
Forked 42070
Starting to reopen 0 and 1
Calling execv `tournament0/fedro.py` (pid 42070)
Strategy 2: first ans is 0
42069: 1.000000e+00 2.000000e+00 0.000000e+00
42069: 2.000000e+00 1.000000e+00 0.000000e+00
42069: 2.000000e+00 1.000000e+00 0.000000e+00
42069: 1.750000e+00 1.250000e+00 0.000000e+00
42069: 1.800000e+00 1.200000e+00 0.000000e+00
42069: 1.666667e+00 1.166667e+00 1.666667e-01
42069: 1.571429e+00 1.285714e+00 1.428571e-01
42069: 1.500000e+00 1.250000e+00 2.500000e-01
42069: 1.555556e+00 1.222222e+00 2.222222e-01
42069: 1.600000e+00 1.200000e+00 2.000000e-01
42069: 1.636364e+00 1.181818e+00 1.818182e-01
42069: 1.666667e+00 1.166667e+00 1.666667e-01
42069: 1.615385e+00 1.230769e+00 1.538462e-01
42069: 1.571429e+00 1.214286e+00 2.142857e-01
42069: 1.600000e+00 1.200000e+00 2.000000e-01
42069: 1.625000e+00 1.187500e+00 1.875000e-01
42069: 1.588235e+00 1.235294e+00 1.764706e-01
42069: 1.555556e+00 1.222222e+00 2.222222e-01
42069: 1.631579e+00 1.157895e+00 2.105263e-01
42069: 1.650000e+00 1.150000e+00 2.000000e-01
42069: 1.666667e+00 1.142857e+00 1.904762e-01
42069: 1.636364e+00 1.181818e+00 1.818182e-01
42069: 1.608696e+00 1.217391e+00 1.739130e-01
42069: 1.583333e+00 1.208333e+00 2.083333e-01
42069: 1.600000e+00 1.200000e+00 2.000000e-01
42069: 1.576923e+00 1.230769e+00 1.923077e-01
42069: 1.592593e+00 1.222222e+00 1.851852e-01
42069: 1.607143e+00 1.214286e+00 1.785714e-01
42069: 1.620690e+00 1.206897e+00 1.724138e-01
42069: 1.600000e+00 1.233333e+00 1.666667e-01
42069: 1.612903e+00 1.225806e+00 1.612903e-01
42069: 1.625000e+00 1.218750e+00 1.562500e-01
42069: 1.636364e+00 1.212121e+00 1.515152e-01
42069: 1.647059e+00 1.205882e+00 1.470588e-01
42069: 1.628571e+00 1.228571e+00 1.428571e-01
42069: 1.638889e+00 1.222222e+00 1.388889e-01
42069: 1.621622e+00 1.216216e+00 1.621622e-01
42069: 1.605263e+00 1.210526e+00 1.842105e-01
42069: 1.589744e+00 1.230769e+00 1.794872e-01
42069: 1.575000e+00 1.250000e+00 1.750000e-01
42069: 1.585366e+00 1.243902e+00 1.707317e-01
42069: 1.571429e+00 1.261905e+00 1.666667e-01
42069: 1.558140e+00 1.255814e+00 1.860465e-01
42069: 1.568182e+00 1.227273e+00 2.045455e-01
42069: 1.577778e+00 1.222222e+00 2.000000e-01
42069: 1.565217e+00 1.217391e+00 2.173913e-01
42069: 1.574468e+00 1.212766e+00 2.127660e-01
42069: 1.562500e+00 1.208333e+00 2.291667e-01
42069: 1.571429e+00 1.204082e+00 2.244898e-01
42069: 1.560000e+00 1.200000e+00 2.400000e-01
42069: 1.568627e+00 1.196078e+00 2.352941e-01
42069: 1.576923e+00 1.173077e+00 2.500000e-01
42069: 1.566038e+00 1.169811e+00 2.641509e-01
42069: 1.592593e+00 1.148148e+00 2.592593e-01
42069: 1.581818e+00 1.145455e+00 2.727273e-01
42069: 1.571429e+00 1.160714e+00 2.678571e-01
42069: 1.578947e+00 1.157895e+00 2.631579e-01
42069: 1.586207e+00 1.155172e+00 2.586207e-01
42069: 1.576271e+00 1.169492e+00 2.542373e-01
42069: 1.566667e+00 1.183333e+00 2.500000e-01
42069: 1.590164e+00 1.163934e+00 2.459016e-01
42069: 1.580645e+00 1.161290e+00 2.580645e-01
42069: 1.571429e+00 1.174603e+00 2.539683e-01
42069: 1.562500e+00 1.171875e+00 2.656250e-01
42069: 1.569231e+00 1.169231e+00 2.615385e-01
42069: 1.590909e+00 1.151515e+00 2.575758e-01
42069: 1.597015e+00 1.149254e+00 2.537313e-01
42069: 1.602941e+00 1.147059e+00 2.500000e-01
42069: 1.594203e+00 1.159420e+00 2.463768e-01
42069: 1.585714e+00 1.157143e+00 2.571429e-01
42069: 1.577465e+00 1.154930e+00 2.676056e-01
