Forked 42095
Starting to reopen 0 and 1
Calling execv `tournament0/the_best_strategy.py` (pid 42095)
Strategy 0: first ans is 0
Forked 42096
Starting to reopen 0 and 1
Calling execv `tournament0/elexunix.py` (pid 42096)
Strategy 1: first ans is 1
Forked 42120
Starting to reopen 0 and 1
Calling execv `tournament0/alex_dany` (pid 42120)
42120: Started!
42120: Number of players: 3, position: 2, number of turns: 1000
42120: Random seed: 3236330241
Strategy 2: first ans is 0
42120: 2.000000e+00 1.000000e+00 0.000000e+00
42120: 1.500000e+00 1.000000e+00 5.000000e-01
42120: 1.666667e+00 1.000000e+00 3.333333e-01
42120: 1.750000e+00 1.000000e+00 2.500000e-01
42120: 1.600000e+00 1.200000e+00 2.000000e-01
42120: 1.666667e+00 1.166667e+00 1.666667e-01
42120: 1.571429e+00 1.142857e+00 2.857143e-01
42120: 1.625000e+00 1.125000e+00 2.500000e-01
42120: 1.666667e+00 1.111111e+00 2.222222e-01
42120: 1.600000e+00 1.100000e+00 3.000000e-01
42120: 1.636364e+00 1.090909e+00 2.727273e-01
42120: 1.583333e+00 1.083333e+00 3.333333e-01
42120: 1.615385e+00 1.076923e+00 3.076923e-01
42120: 1.571429e+00 1.071429e+00 3.571429e-01
42120: 1.600000e+00 1.066667e+00 3.333333e-01
42120: 1.562500e+00 1.062500e+00 3.750000e-01
42120: 1.588235e+00 1.000000e+00 4.117647e-01
42120: 1.555556e+00 1.055556e+00 3.888889e-01
42120: 1.631579e+00 1.000000e+00 3.684211e-01
42120: 1.600000e+00 1.050000e+00 3.500000e-01
42120: 1.619048e+00 1.047619e+00 3.333333e-01
42120: 1.545455e+00 1.090909e+00 3.636364e-01
42120: 1.608696e+00 1.043478e+00 3.478261e-01
42120: 1.583333e+00 1.041667e+00 3.750000e-01
42120: 1.560000e+00 1.080000e+00 3.600000e-01
42120: 1.538462e+00 1.115385e+00 3.461538e-01
42120: 1.555556e+00 1.111111e+00 3.333333e-01
42120: 1.571429e+00 1.107143e+00 3.214286e-01
