Forked 42442
Starting to reopen 0 and 1
Calling execv `tournament0/alex_dany` (pid 42442)
42442: Started!
42442: Number of players: 3, position: 0, number of turns: 1000
42442: Random seed: 3675687724
Strategy 0: first ans is 1
Forked 42443
Starting to reopen 0 and 1
Calling execv `tournament0/pzakorko.py` (pid 42443)
Strategy 1: first ans is 0
Forked 42444
Starting to reopen 0 and 1
Calling execv `tournament0/elexunix.py` (pid 42444)
Strategy 2: first ans is 1
42442: 1.000000e+00 2.000000e+00 0.000000e+00
42442: 2.000000e+00 1.000000e+00 0.000000e+00
42442: 1.333333e+00 1.000000e+00 6.666667e-01
42442: 1.500000e+00 1.000000e+00 5.000000e-01
42442: 1.600000e+00 1.000000e+00 4.000000e-01
42442: 1.500000e+00 1.000000e+00 5.000000e-01
42442: 1.571429e+00 8.571429e-01 5.714286e-01
42442: 1.375000e+00 1.000000e+00 6.250000e-01
42442: 1.333333e+00 1.111111e+00 5.555556e-01
42442: 1.300000e+00 1.000000e+00 7.000000e-01
42442: 1.363636e+00 9.090909e-01 7.272727e-01
42442: 1.416667e+00 9.166667e-01 6.666667e-01
42442: 1.384615e+00 9.230769e-01 6.923077e-01
42442: 1.500000e+00 8.571429e-01 6.428571e-01
42442: 1.466667e+00 8.666667e-01 6.666667e-01
42442: 1.500000e+00 8.750000e-01 6.250000e-01
42442: 1.470588e+00 9.411765e-01 5.882353e-01
42442: 1.500000e+00 9.444444e-01 5.555556e-01
42442: 1.473684e+00 9.473684e-01 5.789474e-01
42442: 1.550000e+00 9.000000e-01 5.500000e-01
42442: 1.571429e+00 9.047619e-01 5.238095e-01
42442: 1.500000e+00 9.545455e-01 5.454545e-01
42442: 1.521739e+00 9.130435e-01 5.652174e-01
42442: 1.500000e+00 9.166667e-01 5.833333e-01
42442: 1.520000e+00 8.800000e-01 6.000000e-01
42442: 1.538462e+00 8.461538e-01 6.153846e-01
42442: 1.555556e+00 8.518519e-01 5.925926e-01
42442: 1.571429e+00 8.214286e-01 6.071429e-01
42442: 1.517241e+00 8.620690e-01 6.206897e-01
42442: 1.500000e+00 8.666667e-01 6.333333e-01
42442: 1.516129e+00 8.709677e-01 6.129032e-01
42442: 1.531250e+00 8.437500e-01 6.250000e-01
42442: 1.515152e+00 8.484848e-01 6.363636e-01
42442: 1.500000e+00 8.823529e-01 6.176471e-01
42442: 1.514286e+00 8.571429e-01 6.285714e-01
42442: 1.527778e+00 8.333333e-01 6.388889e-01
42442: 1.540541e+00 8.378378e-01 6.216216e-01
42442: 1.552632e+00 8.421053e-01 6.052632e-01
42442: 1.589744e+00 8.205128e-01 5.897436e-01
42442: 1.600000e+00 8.250000e-01 5.750000e-01
