Forked 42735
Starting to reopen 0 and 1
Calling execv `tournament0/elexunix.py` (pid 42735)
Strategy 0: first ans is 1
Forked 42759
Starting to reopen 0 and 1
Calling execv `tournament0/the_best_strategy.py` (pid 42759)
Strategy 1: first ans is 0
Forked 42760
Starting to reopen 0 and 1
Calling execv `tournament0/alex_dany` (pid 42760)
42760: Started!
42760: Number of players: 3, position: 2, number of turns: 1000
42760: Random seed: 536737162
Strategy 2: first ans is 0
42760: 2.000000e+00 1.000000e+00 0.000000e+00
42760: 2.000000e+00 1.000000e+00 0.000000e+00
42760: 2.000000e+00 1.000000e+00 0.000000e+00
42760: 2.000000e+00 1.000000e+00 0.000000e+00
42760: 1.800000e+00 1.200000e+00 0.000000e+00
42760: 1.666667e+00 1.333333e+00 0.000000e+00
42760: 1.714286e+00 1.285714e+00 0.000000e+00
42760: 1.625000e+00 1.375000e+00 0.000000e+00
42760: 1.555556e+00 1.444444e+00 0.000000e+00
42760: 1.600000e+00 1.300000e+00 1.000000e-01
42760: 1.545455e+00 1.363636e+00 9.090909e-02
42760: 1.583333e+00 1.250000e+00 1.666667e-01
42760: 1.538462e+00 1.307692e+00 1.538462e-01
42760: 1.571429e+00 1.285714e+00 1.428571e-01
42760: 1.533333e+00 1.266667e+00 2.000000e-01
42760: 1.562500e+00 1.187500e+00 2.500000e-01
42760: 1.647059e+00 1.117647e+00 2.352941e-01
42760: 1.666667e+00 1.111111e+00 2.222222e-01
42760: 1.631579e+00 1.105263e+00 2.631579e-01
42760: 1.600000e+00 1.100000e+00 3.000000e-01
42760: 1.619048e+00 1.095238e+00 2.857143e-01
42760: 1.636364e+00 1.090909e+00 2.727273e-01
42760: 1.608696e+00 1.130435e+00 2.608696e-01
42760: 1.583333e+00 1.166667e+00 2.500000e-01
42760: 1.560000e+00 1.160000e+00 2.800000e-01
42760: 1.576923e+00 1.153846e+00 2.692308e-01
42760: 1.592593e+00 1.148148e+00 2.592593e-01
42760: 1.571429e+00 1.178571e+00 2.500000e-01
42760: 1.551724e+00 1.206897e+00 2.413793e-01
42760: 1.600000e+00 1.166667e+00 2.333333e-01
42760: 1.548387e+00 1.225806e+00 2.258065e-01
42760: 1.562500e+00 1.187500e+00 2.500000e-01
42760: 1.575758e+00 1.151515e+00 2.727273e-01
42760: 1.558824e+00 1.147059e+00 2.941176e-01
42760: 1.542857e+00 1.142857e+00 3.142857e-01
42760: 1.555556e+00 1.138889e+00 3.055556e-01
42760: 1.567568e+00 1.135135e+00 2.972973e-01
42760: 1.578947e+00 1.105263e+00 3.157895e-01
42760: 1.564103e+00 1.128205e+00 3.076923e-01
42760: 1.575000e+00 1.125000e+00 3.000000e-01
42760: 1.560976e+00 1.146341e+00 2.926829e-01
42760: 1.595238e+00 1.119048e+00 2.857143e-01
42760: 1.581395e+00 1.139535e+00 2.790698e-01
42760: 1.568182e+00 1.136364e+00 2.954545e-01
42760: 1.577778e+00 1.111111e+00 3.111111e-01
42760: 1.586957e+00 1.108696e+00 3.043478e-01
42760: 1.574468e+00 1.106383e+00 3.191489e-01
42760: 1.562500e+00 1.104167e+00 3.333333e-01
42760: 1.571429e+00 1.102041e+00 3.265306e-01
42760: 1.560000e+00 1.120000e+00 3.200000e-01
42760: 1.588235e+00 1.098039e+00 3.137255e-01
42760: 1.576923e+00 1.096154e+00 3.269231e-01
42760: 1.566038e+00 1.094340e+00 3.396226e-01
42760: 1.592593e+00 1.074074e+00 3.333333e-01
42760: 1.600000e+00 1.072727e+00 3.272727e-01
42760: 1.589286e+00 1.089286e+00 3.214286e-01
42760: 1.596491e+00 1.087719e+00 3.157895e-01
42760: 1.603448e+00 1.086207e+00 3.103448e-01
42760: 1.610169e+00 1.084746e+00 3.050847e-01
42760: 1.600000e+00 1.100000e+00 3.000000e-01
42760: 1.573770e+00 1.131148e+00 2.950820e-01
42760: 1.564516e+00 1.145161e+00 2.903226e-01
42760: 1.587302e+00 1.126984e+00 2.857143e-01
42760: 1.593750e+00 1.125000e+00 2.812500e-01
42760: 1.600000e+00 1.123077e+00 2.769231e-01
42760: 1.606061e+00 1.121212e+00 2.727273e-01
42760: 1.611940e+00 1.119403e+00 2.686567e-01
42760: 1.602941e+00 1.132353e+00 2.647059e-01
42760: 1.608696e+00 1.130435e+00 2.608696e-01
42760: 1.600000e+00 1.142857e+00 2.571429e-01
42760: 1.591549e+00 1.154930e+00 2.535211e-01
42760: 1.583333e+00 1.166667e+00 2.500000e-01
42760: 1.575342e+00 1.178082e+00 2.465753e-01
42760: 1.567568e+00 1.189189e+00 2.432432e-01
42760: 1.573333e+00 1.186667e+00 2.400000e-01
42760: 1.565789e+00 1.197368e+00 2.368421e-01
42760: 1.584416e+00 1.181818e+00 2.337662e-01
42760: 1.576923e+00 1.179487e+00 2.435897e-01
42760: 1.569620e+00 1.177215e+00 2.531646e-01
42760: 1.575000e+00 1.175000e+00 2.500000e-01
42760: 1.567901e+00 1.172840e+00 2.592593e-01
42760: 1.573171e+00 1.158537e+00 2.682927e-01
42760: 1.578313e+00 1.156627e+00 2.650602e-01
42760: 1.571429e+00 1.166667e+00 2.619048e-01
42760: 1.564706e+00 1.176471e+00 2.588235e-01
42760: 1.581395e+00 1.162791e+00 2.558140e-01
42760: 1.574713e+00 1.172414e+00 2.528736e-01
42760: 1.579545e+00 1.170455e+00 2.500000e-01
