Forked 43098
Starting to reopen 0 and 1
Calling execv `tournament0/pzakorko.py` (pid 43098)
Strategy 0: first ans is 0
Forked 43099
Starting to reopen 0 and 1
Calling execv `tournament0/the_best_strategy.py` (pid 43099)
Strategy 1: first ans is 0
Forked 43100
Starting to reopen 0 and 1
Calling execv `tournament0/alex_dany` (pid 43100)
43100: Started!
43100: Number of players: 3, position: 2, number of turns: 1000
43100: Random seed: 1850611188
Strategy 2: first ans is 0
43100: 3.000000e+00 0.000000e+00 0.000000e+00
43100: 2.000000e+00 5.000000e-01 5.000000e-01
43100: 1.666667e+00 6.666667e-01 6.666667e-01
43100: 1.500000e+00 7.500000e-01 7.500000e-01
43100: 1.800000e+00 6.000000e-01 6.000000e-01
43100: 1.666667e+00 6.666667e-01 6.666667e-01
43100: 1.571429e+00 7.142857e-01 7.142857e-01
43100: 1.625000e+00 7.500000e-01 6.250000e-01
43100: 1.555556e+00 7.777778e-01 6.666667e-01
43100: 1.700000e+00 7.000000e-01 6.000000e-01
43100: 1.636364e+00 7.272727e-01 6.363636e-01
43100: 1.500000e+00 9.166667e-01 5.833333e-01
43100: 1.615385e+00 8.461538e-01 5.384615e-01
43100: 1.571429e+00 9.285714e-01 5.000000e-01
43100: 1.533333e+00 9.333333e-01 5.333333e-01
43100: 1.562500e+00 9.375000e-01 5.000000e-01
43100: 1.588235e+00 8.823529e-01 5.294118e-01
43100: 1.555556e+00 8.888889e-01 5.555556e-01
43100: 1.526316e+00 8.947368e-01 5.789474e-01
43100: 1.600000e+00 8.500000e-01 5.500000e-01
43100: 1.571429e+00 9.047619e-01 5.238095e-01
43100: 1.590909e+00 9.090909e-01 5.000000e-01
43100: 1.521739e+00 9.565217e-01 5.217391e-01
43100: 1.541667e+00 9.166667e-01 5.416667e-01
43100: 1.600000e+00 8.800000e-01 5.200000e-01
43100: 1.576923e+00 8.846154e-01 5.384615e-01
43100: 1.555556e+00 8.888889e-01 5.555556e-01
43100: 1.571429e+00 8.571429e-01 5.714286e-01
43100: 1.517241e+00 8.965517e-01 5.862069e-01
43100: 1.533333e+00 8.666667e-01 6.000000e-01
43100: 1.548387e+00 8.387097e-01 6.129032e-01
43100: 1.562500e+00 8.437500e-01 5.937500e-01
43100: 1.575758e+00 8.484848e-01 5.757576e-01
43100: 1.558824e+00 8.823529e-01 5.588235e-01
43100: 1.600000e+00 8.571429e-01 5.428571e-01
43100: 1.583333e+00 8.888889e-01 5.277778e-01
43100: 1.567568e+00 9.189189e-01 5.135135e-01
