Forked 43229
Starting to reopen 0 and 1
Calling execv `tournament0/lounres.py` (pid 43229)
Strategy 0: first ans is 1
Forked 43230
Starting to reopen 0 and 1
Calling execv `tournament0/pzakorko.py` (pid 43230)
Strategy 1: first ans is 0
Forked 43231
Starting to reopen 0 and 1
Calling execv `tournament0/alex_dany` (pid 43231)
43231: Started!
43231: Number of players: 3, position: 2, number of turns: 1000
43231: Random seed: 1448953902
Strategy 2: first ans is 0
43231: 2.000000e+00 1.000000e+00 0.000000e+00
43231: 1.500000e+00 1.500000e+00 0.000000e+00
43231: 1.666667e+00 1.333333e+00 0.000000e+00
43231: 1.500000e+00 1.500000e+00 0.000000e+00
43231: 1.600000e+00 1.200000e+00 2.000000e-01
43231: 1.333333e+00 1.333333e+00 3.333333e-01
43231: 1.428571e+00 1.285714e+00 2.857143e-01
43231: 1.375000e+00 1.375000e+00 2.500000e-01
43231: 1.444444e+00 1.333333e+00 2.222222e-01
43231: 1.500000e+00 1.300000e+00 2.000000e-01
43231: 1.454545e+00 1.363636e+00 1.818182e-01
43231: 1.500000e+00 1.333333e+00 1.666667e-01
43231: 1.461538e+00 1.307692e+00 2.307692e-01
43231: 1.500000e+00 1.285714e+00 2.142857e-01
43231: 1.533333e+00 1.266667e+00 2.000000e-01
43231: 1.562500e+00 1.250000e+00 1.875000e-01
43231: 1.529412e+00 1.235294e+00 2.352941e-01
43231: 1.555556e+00 1.222222e+00 2.222222e-01
43231: 1.526316e+00 1.263158e+00 2.105263e-01
43231: 1.550000e+00 1.200000e+00 2.500000e-01
43231: 1.571429e+00 1.190476e+00 2.380952e-01
43231: 1.500000e+00 1.227273e+00 2.727273e-01
43231: 1.565217e+00 1.173913e+00 2.608696e-01
43231: 1.541667e+00 1.208333e+00 2.500000e-01
43231: 1.560000e+00 1.200000e+00 2.400000e-01
43231: 1.538462e+00 1.192308e+00 2.692308e-01
43231: 1.592593e+00 1.148148e+00 2.592593e-01
43231: 1.535714e+00 1.178571e+00 2.857143e-01
43231: 1.586207e+00 1.137931e+00 2.758621e-01
43231: 1.566667e+00 1.166667e+00 2.666667e-01
43231: 1.580645e+00 1.129032e+00 2.903226e-01
43231: 1.562500e+00 1.156250e+00 2.812500e-01
43231: 1.575758e+00 1.151515e+00 2.727273e-01
43231: 1.529412e+00 1.176471e+00 2.941176e-01
43231: 1.542857e+00 1.142857e+00 3.142857e-01
43231: 1.527778e+00 1.138889e+00 3.333333e-01
43231: 1.567568e+00 1.108108e+00 3.243243e-01
43231: 1.552632e+00 1.131579e+00 3.157895e-01
43231: 1.564103e+00 1.128205e+00 3.076923e-01
43231: 1.550000e+00 1.125000e+00 3.250000e-01
43231: 1.560976e+00 1.097561e+00 3.414634e-01
43231: 1.571429e+00 1.095238e+00 3.333333e-01
43231: 1.558140e+00 1.116279e+00 3.255814e-01
43231: 1.590909e+00 1.090909e+00 3.181818e-01
43231: 1.577778e+00 1.111111e+00 3.111111e-01
43231: 1.586957e+00 1.108696e+00 3.043478e-01
43231: 1.574468e+00 1.127660e+00 2.978723e-01
43231: 1.562500e+00 1.125000e+00 3.125000e-01
43231: 1.571429e+00 1.102041e+00 3.265306e-01
43231: 1.560000e+00 1.120000e+00 3.200000e-01
43231: 1.568627e+00 1.117647e+00 3.137255e-01
43231: 1.576923e+00 1.115385e+00 3.076923e-01
43231: 1.566038e+00 1.132075e+00 3.018868e-01
43231: 1.574074e+00 1.111111e+00 3.148148e-01
43231: 1.563636e+00 1.127273e+00 3.090909e-01
43231: 1.589286e+00 1.107143e+00 3.035714e-01
43231: 1.561404e+00 1.122807e+00 3.157895e-01
43231: 1.568966e+00 1.103448e+00 3.275862e-01
43231: 1.559322e+00 1.118644e+00 3.220339e-01
43231: 1.566667e+00 1.100000e+00 3.333333e-01
43231: 1.573770e+00 1.098361e+00 3.278689e-01
43231: 1.548387e+00 1.112903e+00 3.387097e-01
43231: 1.555556e+00 1.095238e+00 3.492063e-01
43231: 1.562500e+00 1.093750e+00 3.437500e-01
43231: 1.569231e+00 1.092308e+00 3.384615e-01
43231: 1.560606e+00 1.106061e+00 3.333333e-01
43231: 1.582090e+00 1.089552e+00 3.283582e-01
43231: 1.573529e+00 1.102941e+00 3.235294e-01
43231: 1.565217e+00 1.101449e+00 3.333333e-01
43231: 1.571429e+00 1.085714e+00 3.428571e-01
43231: 1.549296e+00 1.098592e+00 3.521127e-01
43231: 1.569444e+00 1.083333e+00 3.472222e-01
43231: 1.561644e+00 1.095890e+00 3.424658e-01
43231: 1.581081e+00 1.081081e+00 3.378378e-01
43231: 1.573333e+00 1.093333e+00 3.333333e-01
43231: 1.578947e+00 1.092105e+00 3.289474e-01
43231: 1.571429e+00 1.103896e+00 3.246753e-01
43231: 1.576923e+00 1.102564e+00 3.205128e-01
43231: 1.556962e+00 1.126582e+00 3.164557e-01
43231: 1.575000e+00 1.112500e+00 3.125000e-01
43231: 1.567901e+00 1.123457e+00 3.086420e-01
43231: 1.573171e+00 1.121951e+00 3.048780e-01
43231: 1.554217e+00 1.144578e+00 3.012048e-01
43231: 1.571429e+00 1.130952e+00 2.976190e-01
43231: 1.564706e+00 1.141176e+00 2.941176e-01
43231: 1.569767e+00 1.127907e+00 3.023256e-01
43231: 1.574713e+00 1.126437e+00 2.988506e-01
43231: 1.556818e+00 1.147727e+00 2.954545e-01
43231: 1.573034e+00 1.134831e+00 2.921348e-01
43231: 1.566667e+00 1.144444e+00 2.888889e-01
43231: 1.571429e+00 1.142857e+00 2.857143e-01
43231: 1.554348e+00 1.152174e+00 2.934783e-01
43231: 1.569892e+00 1.139785e+00 2.903226e-01
43231: 1.574468e+00 1.138298e+00 2.872340e-01
43231: 1.557895e+00 1.147368e+00 2.947368e-01
43231: 1.562500e+00 1.135417e+00 3.020833e-01
43231: 1.567010e+00 1.134021e+00 2.989691e-01
