Forked 43260
Starting to reopen 0 and 1
Calling execv `tournament0/elexunix.py` (pid 43260)
Strategy 0: first ans is 1
Forked 43284
Starting to reopen 0 and 1
Calling execv `tournament0/fedro.py` (pid 43284)
Strategy 1: first ans is 0
Forked 43308
Starting to reopen 0 and 1
Calling execv `tournament0/alex_dany` (pid 43308)
43308: Started!
43308: Number of players: 3, position: 2, number of turns: 1000
43308: Random seed: 43966404
Strategy 2: first ans is 1
43308: 1.000000e+00 2.000000e+00 0.000000e+00
43308: 1.500000e+00 1.500000e+00 0.000000e+00
43308: 1.666667e+00 1.333333e+00 0.000000e+00
43308: 1.500000e+00 1.500000e+00 0.000000e+00
43308: 1.800000e+00 1.200000e+00 0.000000e+00
43308: 1.833333e+00 1.166667e+00 0.000000e+00
43308: 1.714286e+00 1.285714e+00 0.000000e+00
43308: 1.625000e+00 1.250000e+00 1.250000e-01
43308: 1.555556e+00 1.333333e+00 1.111111e-01
43308: 1.600000e+00 1.300000e+00 1.000000e-01
43308: 1.545455e+00 1.363636e+00 9.090909e-02
43308: 1.583333e+00 1.333333e+00 8.333333e-02
43308: 1.538462e+00 1.307692e+00 1.538462e-01
43308: 1.571429e+00 1.214286e+00 2.142857e-01
43308: 1.600000e+00 1.200000e+00 2.000000e-01
43308: 1.625000e+00 1.187500e+00 1.875000e-01
43308: 1.647059e+00 1.176471e+00 1.764706e-01
43308: 1.611111e+00 1.166667e+00 2.222222e-01
43308: 1.578947e+00 1.157895e+00 2.631579e-01
43308: 1.550000e+00 1.200000e+00 2.500000e-01
43308: 1.571429e+00 1.190476e+00 2.380952e-01
43308: 1.545455e+00 1.181818e+00 2.727273e-01
43308: 1.565217e+00 1.173913e+00 2.608696e-01
43308: 1.625000e+00 1.125000e+00 2.500000e-01
43308: 1.600000e+00 1.160000e+00 2.400000e-01
43308: 1.576923e+00 1.153846e+00 2.692308e-01
43308: 1.555556e+00 1.185185e+00 2.592593e-01
43308: 1.607143e+00 1.142857e+00 2.500000e-01
43308: 1.586207e+00 1.137931e+00 2.758621e-01
43308: 1.600000e+00 1.133333e+00 2.666667e-01
43308: 1.612903e+00 1.129032e+00 2.580645e-01
43308: 1.593750e+00 1.156250e+00 2.500000e-01
43308: 1.575758e+00 1.151515e+00 2.727273e-01
43308: 1.588235e+00 1.147059e+00 2.647059e-01
43308: 1.600000e+00 1.142857e+00 2.571429e-01
43308: 1.611111e+00 1.138889e+00 2.500000e-01
43308: 1.621622e+00 1.135135e+00 2.432432e-01
43308: 1.605263e+00 1.157895e+00 2.368421e-01
43308: 1.615385e+00 1.153846e+00 2.307692e-01
43308: 1.600000e+00 1.175000e+00 2.250000e-01
43308: 1.609756e+00 1.170732e+00 2.195122e-01
43308: 1.595238e+00 1.166667e+00 2.380952e-01
43308: 1.581395e+00 1.162791e+00 2.558140e-01
43308: 1.590909e+00 1.159091e+00 2.500000e-01
43308: 1.577778e+00 1.155556e+00 2.666667e-01
43308: 1.565217e+00 1.152174e+00 2.826087e-01
43308: 1.574468e+00 1.127660e+00 2.978723e-01
43308: 1.562500e+00 1.145833e+00 2.916667e-01
43308: 1.591837e+00 1.122449e+00 2.857143e-01
43308: 1.600000e+00 1.120000e+00 2.800000e-01
43308: 1.588235e+00 1.117647e+00 2.941176e-01
43308: 1.596154e+00 1.115385e+00 2.884615e-01
43308: 1.603774e+00 1.113208e+00 2.830189e-01
43308: 1.592593e+00 1.111111e+00 2.962963e-01
43308: 1.581818e+00 1.109091e+00 3.090909e-01
43308: 1.589286e+00 1.107143e+00 3.035714e-01
43308: 1.596491e+00 1.105263e+00 2.982456e-01
43308: 1.603448e+00 1.103448e+00 2.931034e-01
43308: 1.593220e+00 1.118644e+00 2.881356e-01
43308: 1.600000e+00 1.116667e+00 2.833333e-01
43308: 1.590164e+00 1.131148e+00 2.786885e-01
43308: 1.596774e+00 1.129032e+00 2.741935e-01
43308: 1.603175e+00 1.126984e+00 2.698413e-01
43308: 1.593750e+00 1.125000e+00 2.812500e-01
43308: 1.600000e+00 1.123077e+00 2.769231e-01
43308: 1.590909e+00 1.136364e+00 2.727273e-01
43308: 1.582090e+00 1.149254e+00 2.686567e-01
43308: 1.573529e+00 1.161765e+00 2.647059e-01
43308: 1.579710e+00 1.159420e+00 2.608696e-01
43308: 1.585714e+00 1.157143e+00 2.571429e-01
43308: 1.577465e+00 1.169014e+00 2.535211e-01
43308: 1.569444e+00 1.180556e+00 2.500000e-01
43308: 1.575342e+00 1.178082e+00 2.465753e-01
43308: 1.567568e+00 1.189189e+00 2.432432e-01
43308: 1.573333e+00 1.173333e+00 2.533333e-01
43308: 1.565789e+00 1.171053e+00 2.631579e-01
43308: 1.584416e+00 1.155844e+00 2.597403e-01
43308: 1.576923e+00 1.153846e+00 2.692308e-01
43308: 1.569620e+00 1.164557e+00 2.658228e-01
43308: 1.575000e+00 1.162500e+00 2.625000e-01
43308: 1.567901e+00 1.160494e+00 2.716049e-01
43308: 1.585366e+00 1.146341e+00 2.682927e-01
43308: 1.578313e+00 1.156627e+00 2.650602e-01
43308: 1.571429e+00 1.166667e+00 2.619048e-01
43308: 1.576471e+00 1.164706e+00 2.588235e-01
43308: 1.581395e+00 1.162791e+00 2.558140e-01
43308: 1.574713e+00 1.172414e+00 2.528736e-01
43308: 1.579545e+00 1.170455e+00 2.500000e-01
43308: 1.573034e+00 1.168539e+00 2.584270e-01
43308: 1.566667e+00 1.177778e+00 2.555556e-01
43308: 1.571429e+00 1.175824e+00 2.527473e-01
43308: 1.565217e+00 1.184783e+00 2.500000e-01
43308: 1.569892e+00 1.182796e+00 2.473118e-01
43308: 1.574468e+00 1.170213e+00 2.553191e-01
43308: 1.578947e+00 1.168421e+00 2.526316e-01
43308: 1.572917e+00 1.177083e+00 2.500000e-01
43308: 1.567010e+00 1.185567e+00 2.474227e-01
43308: 1.571429e+00 1.183673e+00 2.448980e-01
43308: 1.565657e+00 1.191919e+00 2.424242e-01
43308: 1.580000e+00 1.180000e+00 2.400000e-01
43308: 1.574257e+00 1.188119e+00 2.376238e-01
43308: 1.578431e+00 1.186275e+00 2.352941e-01
43308: 1.582524e+00 1.184466e+00 2.330097e-01
43308: 1.576923e+00 1.192308e+00 2.307692e-01
43308: 1.571429e+00 1.200000e+00 2.285714e-01
43308: 1.575472e+00 1.198113e+00 2.264151e-01
43308: 1.579439e+00 1.196262e+00 2.242991e-01
43308: 1.583333e+00 1.194444e+00 2.222222e-01
43308: 1.577982e+00 1.192661e+00 2.293578e-01
43308: 1.572727e+00 1.200000e+00 2.272727e-01
43308: 1.576577e+00 1.198198e+00 2.252252e-01
43308: 1.580357e+00 1.196429e+00 2.232143e-01
43308: 1.584071e+00 1.194690e+00 2.212389e-01
43308: 1.578947e+00 1.192982e+00 2.280702e-01
43308: 1.573913e+00 1.200000e+00 2.260870e-01
43308: 1.568966e+00 1.206897e+00 2.241379e-01
43308: 1.581197e+00 1.196581e+00 2.222222e-01
43308: 1.584746e+00 1.194915e+00 2.203390e-01
43308: 1.588235e+00 1.193277e+00 2.184874e-01
43308: 1.583333e+00 1.191667e+00 2.250000e-01
43308: 1.578512e+00 1.190083e+00 2.314050e-01
43308: 1.573770e+00 1.196721e+00 2.295082e-01
43308: 1.569106e+00 1.195122e+00 2.357724e-01
43308: 1.572581e+00 1.185484e+00 2.419355e-01
43308: 1.568000e+00 1.192000e+00 2.400000e-01
43308: 1.579365e+00 1.182540e+00 2.380952e-01
43308: 1.582677e+00 1.181102e+00 2.362205e-01
43308: 1.585938e+00 1.179688e+00 2.343750e-01
43308: 1.589147e+00 1.178295e+00 2.325581e-01
43308: 1.592308e+00 1.176923e+00 2.307692e-01
43308: 1.595420e+00 1.175573e+00 2.290076e-01
43308: 1.590909e+00 1.181818e+00 2.272727e-01
43308: 1.586466e+00 1.180451e+00 2.330827e-01
43308: 1.589552e+00 1.179104e+00 2.313433e-01
43308: 1.585185e+00 1.185185e+00 2.296296e-01
43308: 1.588235e+00 1.183824e+00 2.279412e-01
43308: 1.583942e+00 1.189781e+00 2.262774e-01
43308: 1.579710e+00 1.188406e+00 2.318841e-01
43308: 1.575540e+00 1.194245e+00 2.302158e-01
43308: 1.578571e+00 1.192857e+00 2.285714e-01
43308: 1.574468e+00 1.191489e+00 2.340426e-01
43308: 1.570423e+00 1.197183e+00 2.323944e-01
43308: 1.573427e+00 1.195804e+00 2.307692e-01
