Forked 43426
Starting to reopen 0 and 1
Calling execv `tournament0/fedro.py` (pid 43426)
Strategy 0: first ans is 0
Forked 43450
Starting to reopen 0 and 1
Calling execv `tournament0/alex_dany` (pid 43450)
43450: Started!
43450: Number of players: 3, position: 1, number of turns: 1000
43450: Random seed: 1460782461
Strategy 1: first ans is 1
Forked 43451
Starting to reopen 0 and 1
Calling execv `tournament0/pzakorko.py` (pid 43451)
Strategy 2: first ans is 0
43450: 2.000000e+00 1.000000e+00 0.000000e+00
43450: 1.500000e+00 1.500000e+00 0.000000e+00
43450: 1.666667e+00 1.000000e+00 3.333333e-01
43450: 1.750000e+00 1.000000e+00 2.500000e-01
43450: 1.800000e+00 1.000000e+00 2.000000e-01
43450: 1.666667e+00 1.000000e+00 3.333333e-01
43450: 1.714286e+00 1.000000e+00 2.857143e-01
43450: 1.625000e+00 1.000000e+00 3.750000e-01
43450: 1.555556e+00 1.000000e+00 4.444444e-01
43450: 1.600000e+00 9.000000e-01 5.000000e-01
43450: 1.636364e+00 9.090909e-01 4.545455e-01
43450: 1.583333e+00 1.000000e+00 4.166667e-01
43450: 1.538462e+00 1.076923e+00 3.846154e-01
43450: 1.642857e+00 1.000000e+00 3.571429e-01
43450: 1.600000e+00 1.066667e+00 3.333333e-01
43450: 1.562500e+00 1.062500e+00 3.750000e-01
43450: 1.647059e+00 1.000000e+00 3.529412e-01
43450: 1.611111e+00 1.000000e+00 3.888889e-01
43450: 1.578947e+00 1.000000e+00 4.210526e-01
43450: 1.550000e+00 1.000000e+00 4.500000e-01
43450: 1.571429e+00 1.000000e+00 4.285714e-01
43450: 1.545455e+00 1.000000e+00 4.545455e-01
43450: 1.565217e+00 9.565217e-01 4.782609e-01
43450: 1.583333e+00 9.166667e-01 5.000000e-01
43450: 1.600000e+00 9.200000e-01 4.800000e-01
43450: 1.615385e+00 9.230769e-01 4.615385e-01
43450: 1.629630e+00 9.259259e-01 4.444444e-01
43450: 1.607143e+00 9.285714e-01 4.642857e-01
43450: 1.586207e+00 9.655172e-01 4.482759e-01
43450: 1.600000e+00 9.666667e-01 4.333333e-01
43450: 1.580645e+00 1.000000e+00 4.193548e-01
43450: 1.562500e+00 1.031250e+00 4.062500e-01
