Forked 43800
Starting to reopen 0 and 1
Calling execv `tournament0/the_best_strategy.py` (pid 43800)
Strategy 0: first ans is 0
Forked 43801
Starting to reopen 0 and 1
Calling execv `tournament0/lounres.py` (pid 43801)
Strategy 1: first ans is 1
Forked 43802
Starting to reopen 0 and 1
Calling execv `tournament0/alex_dany` (pid 43802)
43802: Started!
43802: Number of players: 3, position: 2, number of turns: 1000
43802: Random seed: 214015724
Strategy 2: first ans is 0
43802: 2.000000e+00 1.000000e+00 0.000000e+00
43802: 1.500000e+00 1.500000e+00 0.000000e+00
43802: 2.000000e+00 1.000000e+00 0.000000e+00
43802: 1.750000e+00 1.250000e+00 0.000000e+00
43802: 1.800000e+00 1.200000e+00 0.000000e+00
43802: 1.666667e+00 1.333333e+00 0.000000e+00
43802: 1.714286e+00 1.285714e+00 0.000000e+00
43802: 1.625000e+00 1.375000e+00 0.000000e+00
43802: 1.666667e+00 1.333333e+00 0.000000e+00
43802: 1.600000e+00 1.400000e+00 0.000000e+00
43802: 1.636364e+00 1.363636e+00 0.000000e+00
43802: 1.583333e+00 1.416667e+00 0.000000e+00
43802: 1.615385e+00 1.384615e+00 0.000000e+00
43802: 1.571429e+00 1.428571e+00 0.000000e+00
43802: 1.600000e+00 1.400000e+00 0.000000e+00
43802: 1.562500e+00 1.437500e+00 0.000000e+00
43802: 1.647059e+00 1.352941e+00 0.000000e+00
43802: 1.611111e+00 1.388889e+00 0.000000e+00
43802: 1.631579e+00 1.368421e+00 0.000000e+00
43802: 1.600000e+00 1.400000e+00 0.000000e+00
43802: 1.571429e+00 1.428571e+00 0.000000e+00
43802: 1.590909e+00 1.409091e+00 0.000000e+00
43802: 1.565217e+00 1.434783e+00 0.000000e+00
43802: 1.583333e+00 1.416667e+00 0.000000e+00
43802: 1.560000e+00 1.440000e+00 0.000000e+00
43802: 1.615385e+00 1.384615e+00 0.000000e+00
43802: 1.592593e+00 1.407407e+00 0.000000e+00
43802: 1.571429e+00 1.428571e+00 0.000000e+00
43802: 1.586207e+00 1.413793e+00 0.000000e+00
43802: 1.566667e+00 1.433333e+00 0.000000e+00
43802: 1.612903e+00 1.387097e+00 0.000000e+00
43802: 1.562500e+00 1.437500e+00 0.000000e+00
43802: 1.606061e+00 1.393939e+00 0.000000e+00
43802: 1.588235e+00 1.411765e+00 0.000000e+00
43802: 1.571429e+00 1.428571e+00 0.000000e+00
43802: 1.555556e+00 1.444444e+00 0.000000e+00
43802: 1.567568e+00 1.432432e+00 0.000000e+00
43802: 1.578947e+00 1.421053e+00 0.000000e+00
43802: 1.564103e+00 1.435897e+00 0.000000e+00
43802: 1.575000e+00 1.425000e+00 0.000000e+00
43802: 1.536585e+00 1.463415e+00 0.000000e+00
43802: 1.571429e+00 1.428571e+00 0.000000e+00
43802: 1.534884e+00 1.465116e+00 0.000000e+00
43802: 1.568182e+00 1.431818e+00 0.000000e+00
43802: 1.577778e+00 1.422222e+00 0.000000e+00
43802: 1.565217e+00 1.434783e+00 0.000000e+00
43802: 1.574468e+00 1.425532e+00 0.000000e+00
43802: 1.562500e+00 1.437500e+00 0.000000e+00
43802: 1.591837e+00 1.408163e+00 0.000000e+00
43802: 1.560000e+00 1.440000e+00 0.000000e+00
43802: 1.568627e+00 1.431373e+00 0.000000e+00
43802: 1.576923e+00 1.423077e+00 0.000000e+00
43802: 1.547170e+00 1.452830e+00 0.000000e+00
43802: 1.574074e+00 1.425926e+00 0.000000e+00
43802: 1.545455e+00 1.454545e+00 0.000000e+00
43802: 1.553571e+00 1.446429e+00 0.000000e+00
43802: 1.561404e+00 1.438596e+00 0.000000e+00
43802: 1.568966e+00 1.431034e+00 0.000000e+00
43802: 1.576271e+00 1.423729e+00 0.000000e+00
43802: 1.566667e+00 1.433333e+00 0.000000e+00
43802: 1.590164e+00 1.409836e+00 0.000000e+00
43802: 1.564516e+00 1.435484e+00 0.000000e+00
43802: 1.587302e+00 1.412698e+00 0.000000e+00
43802: 1.578125e+00 1.421875e+00 0.000000e+00
43802: 1.569231e+00 1.430769e+00 0.000000e+00
43802: 1.575758e+00 1.424242e+00 0.000000e+00
43802: 1.567164e+00 1.432836e+00 0.000000e+00
43802: 1.588235e+00 1.411765e+00 0.000000e+00
43802: 1.565217e+00 1.434783e+00 0.000000e+00
43802: 1.585714e+00 1.414286e+00 0.000000e+00
43802: 1.563380e+00 1.436620e+00 0.000000e+00
43802: 1.583333e+00 1.416667e+00 0.000000e+00
43802: 1.561644e+00 1.438356e+00 0.000000e+00
43802: 1.581081e+00 1.418919e+00 0.000000e+00
43802: 1.573333e+00 1.426667e+00 0.000000e+00
43802: 1.565789e+00 1.434211e+00 0.000000e+00
43802: 1.584416e+00 1.415584e+00 0.000000e+00
43802: 1.564103e+00 1.435897e+00 0.000000e+00
43802: 1.582278e+00 1.417722e+00 0.000000e+00
43802: 1.575000e+00 1.425000e+00 0.000000e+00
43802: 1.567901e+00 1.432099e+00 0.000000e+00
43802: 1.585366e+00 1.414634e+00 0.000000e+00
43802: 1.566265e+00 1.433735e+00 0.000000e+00
43802: 1.571429e+00 1.428571e+00 0.000000e+00
43802: 1.564706e+00 1.435294e+00 0.000000e+00
43802: 1.569767e+00 1.430233e+00 0.000000e+00
43802: 1.563218e+00 1.436782e+00 0.000000e+00
43802: 1.579545e+00 1.420455e+00 0.000000e+00
43802: 1.573034e+00 1.426966e+00 0.000000e+00
43802: 1.566667e+00 1.433333e+00 0.000000e+00
43802: 1.582418e+00 1.417582e+00 0.000000e+00
43802: 1.576087e+00 1.423913e+00 0.000000e+00
43802: 1.569892e+00 1.430108e+00 0.000000e+00
43802: 1.585106e+00 1.414894e+00 0.000000e+00
43802: 1.568421e+00 1.431579e+00 0.000000e+00
43802: 1.583333e+00 1.416667e+00 0.000000e+00
43802: 1.567010e+00 1.432990e+00 0.000000e+00
43802: 1.571429e+00 1.428571e+00 0.000000e+00
43802: 1.555556e+00 1.444444e+00 0.000000e+00
43802: 1.570000e+00 1.430000e+00 0.000000e+00
43802: 1.554455e+00 1.445545e+00 0.000000e+00
43802: 1.568627e+00 1.431373e+00 0.000000e+00
43802: 1.563107e+00 1.436893e+00 0.000000e+00
43802: 1.567308e+00 1.432692e+00 0.000000e+00
43802: 1.571429e+00 1.428571e+00 0.000000e+00
43802: 1.566038e+00 1.433962e+00 0.000000e+00
43802: 1.579439e+00 1.420561e+00 0.000000e+00
43802: 1.564815e+00 1.435185e+00 0.000000e+00
43802: 1.577982e+00 1.422018e+00 0.000000e+00
43802: 1.563636e+00 1.436364e+00 0.000000e+00
43802: 1.576577e+00 1.423423e+00 0.000000e+00
43802: 1.571429e+00 1.428571e+00 0.000000e+00
43802: 1.566372e+00 1.433628e+00 0.000000e+00
43802: 1.578947e+00 1.421053e+00 0.000000e+00
43802: 1.573913e+00 1.426087e+00 0.000000e+00
43802: 1.577586e+00 1.422414e+00 0.000000e+00
43802: 1.572650e+00 1.427350e+00 0.000000e+00
43802: 1.567797e+00 1.432203e+00 0.000000e+00
43802: 1.579832e+00 1.420168e+00 0.000000e+00
43802: 1.575000e+00 1.425000e+00 0.000000e+00
43802: 1.570248e+00 1.429752e+00 0.000000e+00
43802: 1.573770e+00 1.426230e+00 0.000000e+00
43802: 1.569106e+00 1.430894e+00 0.000000e+00
43802: 1.572581e+00 1.427419e+00 0.000000e+00
43802: 1.560000e+00 1.440000e+00 0.000000e+00
43802: 1.571429e+00 1.428571e+00 0.000000e+00
43802: 1.566929e+00 1.433071e+00 0.000000e+00
43802: 1.570312e+00 1.429688e+00 0.000000e+00
43802: 1.558140e+00 1.441860e+00 0.000000e+00
43802: 1.569231e+00 1.430769e+00 0.000000e+00
43802: 1.564885e+00 1.435115e+00 0.000000e+00
43802: 1.575758e+00 1.424242e+00 0.000000e+00
43802: 1.571429e+00 1.428571e+00 0.000000e+00
43802: 1.574627e+00 1.425373e+00 0.000000e+00
43802: 1.562963e+00 1.437037e+00 0.000000e+00
43802: 1.573529e+00 1.426471e+00 0.000000e+00
43802: 1.562044e+00 1.437956e+00 0.000000e+00
43802: 1.565217e+00 1.434783e+00 0.000000e+00
43802: 1.561151e+00 1.438849e+00 0.000000e+00
43802: 1.564286e+00 1.435714e+00 0.000000e+00
43802: 1.567376e+00 1.432624e+00 0.000000e+00
43802: 1.570423e+00 1.429577e+00 0.000000e+00
43802: 1.559441e+00 1.440559e+00 0.000000e+00
43802: 1.569444e+00 1.430556e+00 0.000000e+00
43802: 1.572414e+00 1.427586e+00 0.000000e+00
43802: 1.561644e+00 1.438356e+00 0.000000e+00
43802: 1.571429e+00 1.428571e+00 0.000000e+00
43802: 1.567568e+00 1.432432e+00 0.000000e+00
43802: 1.570470e+00 1.429530e+00 0.000000e+00
43802: 1.566667e+00 1.433333e+00 0.000000e+00
43802: 1.569536e+00 1.430464e+00 0.000000e+00
43802: 1.572368e+00 1.427632e+00 0.000000e+00
43802: 1.568627e+00 1.431373e+00 0.000000e+00
43802: 1.571429e+00 1.428571e+00 0.000000e+00
43802: 1.561290e+00 1.438710e+00 0.000000e+00
43802: 1.564103e+00 1.435897e+00 0.000000e+00
43802: 1.566879e+00 1.433121e+00 0.000000e+00
43802: 1.563291e+00 1.436709e+00 0.000000e+00
43802: 1.572327e+00 1.427673e+00 0.000000e+00
43802: 1.568750e+00 1.431250e+00 0.000000e+00
43802: 1.571429e+00 1.428571e+00 0.000000e+00
43802: 1.567901e+00 1.432099e+00 0.000000e+00
43802: 1.576687e+00 1.423313e+00 0.000000e+00
43802: 1.573171e+00 1.426829e+00 0.000000e+00
43802: 1.575758e+00 1.424242e+00 0.000000e+00
43802: 1.572289e+00 1.427711e+00 0.000000e+00
43802: 1.568862e+00 1.431138e+00 0.000000e+00
