Forked 43862
Starting to reopen 0 and 1
Calling execv `tournament0/pzakorko.py` (pid 43862)
Strategy 0: first ans is 0
Forked 43863
Starting to reopen 0 and 1
Calling execv `tournament0/elexunix.py` (pid 43863)
Strategy 1: first ans is 1
Forked 43887
Starting to reopen 0 and 1
Calling execv `tournament0/alex_dany` (pid 43887)
43887: Started!
43887: Number of players: 3, position: 2, number of turns: 1000
43887: Random seed: 275795377
Strategy 2: first ans is 1
43887: 1.000000e+00 2.000000e+00 0.000000e+00
43887: 1.000000e+00 1.500000e+00 5.000000e-01
43887: 1.000000e+00 1.666667e+00 3.333333e-01
43887: 1.250000e+00 1.250000e+00 5.000000e-01
43887: 1.400000e+00 1.200000e+00 4.000000e-01
43887: 1.333333e+00 1.333333e+00 3.333333e-01
43887: 1.428571e+00 1.285714e+00 2.857143e-01
43887: 1.500000e+00 1.125000e+00 3.750000e-01
43887: 1.444444e+00 1.111111e+00 4.444444e-01
43887: 1.400000e+00 1.000000e+00 6.000000e-01
43887: 1.454545e+00 9.090909e-01 6.363636e-01
43887: 1.416667e+00 9.166667e-01 6.666667e-01
43887: 1.461538e+00 8.461538e-01 6.923077e-01
43887: 1.571429e+00 7.857143e-01 6.428571e-01
43887: 1.466667e+00 8.000000e-01 7.333333e-01
43887: 1.500000e+00 7.500000e-01 7.500000e-01
43887: 1.470588e+00 7.647059e-01 7.647059e-01
43887: 1.555556e+00 7.222222e-01 7.222222e-01
43887: 1.631579e+00 6.842105e-01 6.842105e-01
43887: 1.600000e+00 7.000000e-01 7.000000e-01
43887: 1.571429e+00 7.142857e-01 7.142857e-01
43887: 1.545455e+00 7.727273e-01 6.818182e-01
43887: 1.521739e+00 7.391304e-01 7.391304e-01
43887: 1.541667e+00 7.500000e-01 7.083333e-01
43887: 1.520000e+00 7.600000e-01 7.200000e-01
43887: 1.538462e+00 7.307692e-01 7.307692e-01
43887: 1.555556e+00 7.037037e-01 7.407407e-01
43887: 1.571429e+00 6.785714e-01 7.500000e-01
43887: 1.517241e+00 6.896552e-01 7.931034e-01
43887: 1.533333e+00 6.666667e-01 8.000000e-01
43887: 1.516129e+00 6.774194e-01 8.064516e-01
43887: 1.500000e+00 6.875000e-01 8.125000e-01
43887: 1.484848e+00 6.969697e-01 8.181818e-01
43887: 1.500000e+00 6.764706e-01 8.235294e-01
43887: 1.514286e+00 6.857143e-01 8.000000e-01
43887: 1.527778e+00 6.944444e-01 7.777778e-01
43887: 1.513514e+00 6.756757e-01 8.108108e-01
43887: 1.526316e+00 6.842105e-01 7.894737e-01
43887: 1.538462e+00 6.923077e-01 7.692308e-01
43887: 1.550000e+00 7.000000e-01 7.500000e-01
43887: 1.536585e+00 6.829268e-01 7.804878e-01
43887: 1.547619e+00 6.904762e-01 7.619048e-01
43887: 1.558140e+00 6.976744e-01 7.441860e-01
43887: 1.590909e+00 6.818182e-01 7.272727e-01
43887: 1.577778e+00 7.111111e-01 7.111111e-01
43887: 1.565217e+00 7.173913e-01 7.173913e-01
43887: 1.574468e+00 7.234043e-01 7.021277e-01
43887: 1.583333e+00 7.291667e-01 6.875000e-01
