Forked 43943
Starting to reopen 0 and 1
Calling execv `tournament0/lounres.py` (pid 43943)
Strategy 0: first ans is 1
Forked 43944
Starting to reopen 0 and 1
Calling execv `tournament0/elexunix.py` (pid 43944)
Strategy 1: first ans is 1
Forked 43968
Starting to reopen 0 and 1
Calling execv `tournament0/alex_dany` (pid 43968)
43968: Started!
43968: Number of players: 3, position: 2, number of turns: 1000
43968: Random seed: 3843054713
Strategy 2: first ans is 1
43968: 0.000000e+00 3.000000e+00 0.000000e+00
43968: 1.000000e+00 2.000000e+00 0.000000e+00
43968: 1.333333e+00 1.666667e+00 0.000000e+00
43968: 1.500000e+00 1.500000e+00 0.000000e+00
43968: 1.400000e+00 1.600000e+00 0.000000e+00
43968: 1.666667e+00 1.333333e+00 0.000000e+00
43968: 1.571429e+00 1.428571e+00 0.000000e+00
43968: 1.500000e+00 1.500000e+00 0.000000e+00
43968: 1.666667e+00 1.333333e+00 0.000000e+00
43968: 1.500000e+00 1.400000e+00 1.000000e-01
43968: 1.545455e+00 1.363636e+00 9.090909e-02
43968: 1.500000e+00 1.333333e+00 1.666667e-01
43968: 1.538462e+00 1.307692e+00 1.538462e-01
43968: 1.571429e+00 1.285714e+00 1.428571e-01
43968: 1.466667e+00 1.333333e+00 2.000000e-01
43968: 1.500000e+00 1.250000e+00 2.500000e-01
43968: 1.529412e+00 1.235294e+00 2.352941e-01
43968: 1.500000e+00 1.277778e+00 2.222222e-01
43968: 1.578947e+00 1.210526e+00 2.105263e-01
43968: 1.550000e+00 1.250000e+00 2.000000e-01
43968: 1.571429e+00 1.190476e+00 2.380952e-01
43968: 1.545455e+00 1.227273e+00 2.272727e-01
43968: 1.565217e+00 1.217391e+00 2.173913e-01
43968: 1.541667e+00 1.250000e+00 2.083333e-01
43968: 1.560000e+00 1.240000e+00 2.000000e-01
43968: 1.538462e+00 1.269231e+00 1.923077e-01
43968: 1.555556e+00 1.259259e+00 1.851852e-01
43968: 1.571429e+00 1.250000e+00 1.785714e-01
43968: 1.551724e+00 1.275862e+00 1.724138e-01
43968: 1.566667e+00 1.266667e+00 1.666667e-01
43968: 1.580645e+00 1.258065e+00 1.612903e-01
43968: 1.562500e+00 1.281250e+00 1.562500e-01
43968: 1.575758e+00 1.242424e+00 1.818182e-01
43968: 1.529412e+00 1.264706e+00 2.058824e-01
43968: 1.571429e+00 1.228571e+00 2.000000e-01
43968: 1.555556e+00 1.250000e+00 1.944444e-01
43968: 1.567568e+00 1.243243e+00 1.891892e-01
43968: 1.552632e+00 1.263158e+00 1.842105e-01
43968: 1.564103e+00 1.256410e+00 1.794872e-01
43968: 1.550000e+00 1.275000e+00 1.750000e-01
43968: 1.585366e+00 1.243902e+00 1.707317e-01
43968: 1.547619e+00 1.261905e+00 1.904762e-01
43968: 1.558140e+00 1.255814e+00 1.860465e-01
43968: 1.545455e+00 1.272727e+00 1.818182e-01
43968: 1.577778e+00 1.244444e+00 1.777778e-01
43968: 1.565217e+00 1.260870e+00 1.739130e-01
43968: 1.574468e+00 1.234043e+00 1.914894e-01
43968: 1.541667e+00 1.250000e+00 2.083333e-01
43968: 1.551020e+00 1.244898e+00 2.040816e-01
43968: 1.540000e+00 1.240000e+00 2.200000e-01
43968: 1.568627e+00 1.215686e+00 2.156863e-01
43968: 1.557692e+00 1.211538e+00 2.307692e-01
43968: 1.566038e+00 1.207547e+00 2.264151e-01
43968: 1.555556e+00 1.203704e+00 2.407407e-01
43968: 1.563636e+00 1.181818e+00 2.545455e-01
43968: 1.553571e+00 1.178571e+00 2.678571e-01
43968: 1.561404e+00 1.157895e+00 2.807018e-01
43968: 1.568966e+00 1.155172e+00 2.758621e-01
43968: 1.559322e+00 1.169492e+00 2.711864e-01
43968: 1.583333e+00 1.150000e+00 2.666667e-01
43968: 1.557377e+00 1.180328e+00 2.622951e-01
43968: 1.564516e+00 1.177419e+00 2.580645e-01
43968: 1.571429e+00 1.174603e+00 2.539683e-01
43968: 1.546875e+00 1.187500e+00 2.656250e-01
43968: 1.553846e+00 1.169231e+00 2.769231e-01
43968: 1.545455e+00 1.166667e+00 2.878788e-01
43968: 1.552239e+00 1.164179e+00 2.835821e-01
43968: 1.558824e+00 1.161765e+00 2.794118e-01
43968: 1.550725e+00 1.173913e+00 2.753623e-01
43968: 1.571429e+00 1.157143e+00 2.714286e-01
43968: 1.549296e+00 1.183099e+00 2.676056e-01
43968: 1.569444e+00 1.166667e+00 2.638889e-01
43968: 1.561644e+00 1.178082e+00 2.602740e-01
43968: 1.567568e+00 1.175676e+00 2.567568e-01
43968: 1.573333e+00 1.173333e+00 2.533333e-01
43968: 1.552632e+00 1.197368e+00 2.500000e-01
43968: 1.558442e+00 1.194805e+00 2.467532e-01
43968: 1.551282e+00 1.192308e+00 2.564103e-01
43968: 1.556962e+00 1.189873e+00 2.531646e-01
43968: 1.550000e+00 1.200000e+00 2.500000e-01
43968: 1.555556e+00 1.197531e+00 2.469136e-01
43968: 1.548780e+00 1.195122e+00 2.560976e-01
43968: 1.566265e+00 1.180723e+00 2.530120e-01
43968: 1.571429e+00 1.178571e+00 2.500000e-01
43968: 1.552941e+00 1.200000e+00 2.470588e-01
43968: 1.558140e+00 1.197674e+00 2.441860e-01
43968: 1.563218e+00 1.195402e+00 2.413793e-01
43968: 1.556818e+00 1.193182e+00 2.500000e-01
43968: 1.561798e+00 1.179775e+00 2.584270e-01
43968: 1.555556e+00 1.177778e+00 2.666667e-01
43968: 1.560440e+00 1.175824e+00 2.637363e-01
43968: 1.554348e+00 1.173913e+00 2.717391e-01
43968: 1.569892e+00 1.161290e+00 2.688172e-01
43968: 1.563830e+00 1.170213e+00 2.659574e-01
43968: 1.568421e+00 1.168421e+00 2.631579e-01
43968: 1.562500e+00 1.166667e+00 2.708333e-01
43968: 1.567010e+00 1.164948e+00 2.680412e-01
43968: 1.561224e+00 1.173469e+00 2.653061e-01
43968: 1.565657e+00 1.171717e+00 2.626263e-01
43968: 1.560000e+00 1.180000e+00 2.600000e-01
43968: 1.574257e+00 1.168317e+00 2.574257e-01
43968: 1.568627e+00 1.176471e+00 2.549020e-01
43968: 1.572816e+00 1.174757e+00 2.524272e-01
43968: 1.567308e+00 1.182692e+00 2.500000e-01
43968: 1.580952e+00 1.171429e+00 2.476190e-01
43968: 1.575472e+00 1.179245e+00 2.452830e-01
43968: 1.570093e+00 1.177570e+00 2.523364e-01
