Forked 43970
Starting to reopen 0 and 1
Calling execv `tournament0/pzakorko.py` (pid 43970)
Strategy 0: first ans is 0
Forked 43971
Starting to reopen 0 and 1
Calling execv `tournament0/fedro.py` (pid 43971)
Strategy 1: first ans is 0
Forked 43995
Starting to reopen 0 and 1
Calling execv `tournament0/alex_dany` (pid 43995)
43995: Started!
43995: Number of players: 3, position: 2, number of turns: 1000
43995: Random seed: 849522231
Strategy 2: first ans is 1
43995: 2.000000e+00 1.000000e+00 0.000000e+00
43995: 2.000000e+00 1.000000e+00 0.000000e+00
43995: 1.666667e+00 1.333333e+00 0.000000e+00
43995: 1.500000e+00 1.500000e+00 0.000000e+00
43995: 1.800000e+00 1.200000e+00 0.000000e+00
43995: 1.833333e+00 1.166667e+00 0.000000e+00
43995: 1.857143e+00 1.142857e+00 0.000000e+00
43995: 1.875000e+00 1.125000e+00 0.000000e+00
43995: 1.777778e+00 1.111111e+00 1.111111e-01
43995: 1.700000e+00 1.100000e+00 2.000000e-01
43995: 1.636364e+00 1.090909e+00 2.727273e-01
43995: 1.583333e+00 1.083333e+00 3.333333e-01
43995: 1.615385e+00 1.076923e+00 3.076923e-01
43995: 1.571429e+00 1.071429e+00 3.571429e-01
43995: 1.533333e+00 1.133333e+00 3.333333e-01
43995: 1.562500e+00 1.062500e+00 3.750000e-01
43995: 1.647059e+00 1.000000e+00 3.529412e-01
43995: 1.611111e+00 1.055556e+00 3.333333e-01
43995: 1.578947e+00 1.052632e+00 3.684211e-01
43995: 1.600000e+00 1.050000e+00 3.500000e-01
43995: 1.571429e+00 1.047619e+00 3.809524e-01
43995: 1.545455e+00 1.090909e+00 3.636364e-01
43995: 1.565217e+00 1.086957e+00 3.478261e-01
43995: 1.625000e+00 1.041667e+00 3.333333e-01
43995: 1.600000e+00 1.080000e+00 3.200000e-01
43995: 1.576923e+00 1.076923e+00 3.461538e-01
43995: 1.555556e+00 1.074074e+00 3.703704e-01
43995: 1.607143e+00 1.035714e+00 3.571429e-01
43995: 1.586207e+00 1.034483e+00 3.793103e-01
43995: 1.566667e+00 1.066667e+00 3.666667e-01
43995: 1.612903e+00 1.032258e+00 3.548387e-01
43995: 1.593750e+00 1.031250e+00 3.750000e-01
43995: 1.575758e+00 1.060606e+00 3.636364e-01
43995: 1.588235e+00 1.058824e+00 3.529412e-01
43995: 1.571429e+00 1.057143e+00 3.714286e-01
43995: 1.555556e+00 1.055556e+00 3.888889e-01
