Forked 28835
Starting to reopen 0 and 1
Calling execv `tournament0/elexunix.py` (pid 28835)
Strategy 0: first ans is 4
Forked 28859
Starting to reopen 0 and 1
Calling execv `tournament0/alex_dany` (pid 28859)
28859: Started!
28859: Number of players: 6, position: 1, number of turns: 1000
28859: Random seed: 4111306243
Strategy 1: first ans is 1
Forked 28860
Starting to reopen 0 and 1
Calling execv `tournament0/lounres.py` (pid 28860)
Strategy 2: first ans is 1
Forked 28861
Starting to reopen 0 and 1
Calling execv `tournament0/pzakorko.py` (pid 28861)
Strategy 3: first ans is 0
Forked 28862
Starting to reopen 0 and 1
Calling execv `tournament0/fedro.py` (pid 28862)
Strategy 4: first ans is 0
Forked 28886
Starting to reopen 0 and 1
Calling execv `tournament0/the_best_strategy.py` (pid 28886)
Strategy 5: first ans is 0
28859: 3.000000e+00 2.000000e+00 0.000000e+00 0.000000e+00 1.000000e+00 0.000000e+00
28859: 2.500000e+00 2.000000e+00 1.000000e+00 0.000000e+00 5.000000e-01 0.000000e+00
28859: 2.666667e+00 1.333333e+00 1.333333e+00 3.333333e-01 3.333333e-01 0.000000e+00
28859: 2.500000e+00 1.500000e+00 1.250000e+00 5.000000e-01 2.500000e-01 0.000000e+00
28859: 2.800000e+00 1.400000e+00 1.200000e+00 4.000000e-01 2.000000e-01 0.000000e+00
28859: 2.666667e+00 1.666667e+00 1.000000e+00 5.000000e-01 1.666667e-01 0.000000e+00
28859: 2.714286e+00 1.571429e+00 1.142857e+00 4.285714e-01 1.428571e-01 0.000000e+00
28859: 2.625000e+00 1.500000e+00 1.375000e+00 3.750000e-01 1.250000e-01 0.000000e+00
28859: 2.555556e+00 1.666667e+00 1.333333e+00 3.333333e-01 1.111111e-01 0.000000e+00
28859: 2.500000e+00 1.600000e+00 1.400000e+00 3.000000e-01 2.000000e-01 0.000000e+00
28859: 2.454545e+00 1.545455e+00 1.454545e+00 2.727273e-01 2.727273e-01 0.000000e+00
28859: 2.416667e+00 1.666667e+00 1.333333e+00 3.333333e-01 2.500000e-01 0.000000e+00
28859: 2.461538e+00 1.615385e+00 1.384615e+00 3.076923e-01 2.307692e-01 0.000000e+00
28859: 2.500000e+00 1.571429e+00 1.357143e+00 3.571429e-01 2.142857e-01 0.000000e+00
28859: 2.533333e+00 1.533333e+00 1.333333e+00 4.000000e-01 2.000000e-01 0.000000e+00
28859: 2.562500e+00 1.562500e+00 1.250000e+00 3.750000e-01 2.500000e-01 0.000000e+00
28859: 2.529412e+00 1.588235e+00 1.294118e+00 3.529412e-01 2.352941e-01 0.000000e+00
28859: 2.500000e+00 1.555556e+00 1.333333e+00 3.888889e-01 2.222222e-01 0.000000e+00
28859: 2.526316e+00 1.578947e+00 1.263158e+00 4.210526e-01 2.105263e-01 0.000000e+00
28859: 2.500000e+00 1.500000e+00 1.350000e+00 4.500000e-01 2.000000e-01 0.000000e+00
28859: 2.523810e+00 1.571429e+00 1.285714e+00 4.285714e-01 1.904762e-01 0.000000e+00
28859: 2.500000e+00 1.500000e+00 1.363636e+00 4.090909e-01 1.818182e-01 4.545455e-02
28859: 2.521739e+00 1.565217e+00 1.304348e+00 3.913043e-01 1.739130e-01 4.347826e-02
28859: 2.500000e+00 1.583333e+00 1.333333e+00 3.750000e-01 1.666667e-01 4.166667e-02
28859: 2.520000e+00 1.520000e+00 1.360000e+00 4.000000e-01 1.600000e-01 4.000000e-02
28859: 2.500000e+00 1.538462e+00 1.346154e+00 3.846154e-01 1.538462e-01 7.692308e-02
28859: 2.481481e+00 1.555556e+00 1.370370e+00 3.703704e-01 1.481481e-01 7.407407e-02
28859: 2.464286e+00 1.535714e+00 1.392857e+00 3.928571e-01 1.428571e-01 7.142857e-02
28859: 2.448276e+00 1.620690e+00 1.344828e+00 3.793103e-01 1.379310e-01 6.896552e-02
28859: 2.500000e+00 1.566667e+00 1.366667e+00 3.666667e-01 1.333333e-01 6.666667e-02
28859: 2.483871e+00 1.612903e+00 1.354839e+00 3.548387e-01 1.290323e-01 6.451613e-02
28859: 2.468750e+00 1.593750e+00 1.406250e+00 3.437500e-01 1.250000e-01 6.250000e-02
28859: 2.484848e+00 1.575758e+00 1.424242e+00 3.333333e-01 1.212121e-01 6.060606e-02
28859: 2.470588e+00 1.617647e+00 1.411765e+00 3.235294e-01 1.176471e-01 5.882353e-02
28859: 2.485714e+00 1.571429e+00 1.457143e+00 3.142857e-01 1.142857e-01 5.714286e-02
28859: 2.472222e+00 1.583333e+00 1.472222e+00 3.055556e-01 1.111111e-01 5.555556e-02
28859: 2.459459e+00 1.540541e+00 1.459459e+00 3.513514e-01 1.351351e-01 5.405405e-02
28859: 2.447368e+00 1.578947e+00 1.447368e+00 3.421053e-01 1.315789e-01 5.263158e-02
28859: 2.435897e+00 1.538462e+00 1.487179e+00 3.589744e-01 1.282051e-01 5.128205e-02
28859: 2.450000e+00 1.575000e+00 1.450000e+00 3.500000e-01 1.250000e-01 5.000000e-02
28859: 2.414634e+00 1.609756e+00 1.463415e+00 3.414634e-01 1.219512e-01 4.878049e-02
28859: 2.404762e+00 1.595238e+00 1.476190e+00 3.571429e-01 1.190476e-01 4.761905e-02
28859: 2.372093e+00 1.604651e+00 1.511628e+00 3.488372e-01 1.162791e-01 4.651163e-02
28859: 2.363636e+00 1.613636e+00 1.522727e+00 3.409091e-01 1.136364e-01 4.545455e-02
28859: 2.355556e+00 1.577778e+00 1.533333e+00 3.555556e-01 1.333333e-01 4.444444e-02
28859: 2.347826e+00 1.586957e+00 1.543478e+00 3.478261e-01 1.304348e-01 4.347826e-02
28859: 2.340426e+00 1.595745e+00 1.531915e+00 3.617021e-01 1.276596e-01 4.255319e-02
28859: 2.333333e+00 1.583333e+00 1.541667e+00 3.541667e-01 1.458333e-01 4.166667e-02
28859: 2.306122e+00 1.612245e+00 1.530612e+00 3.673469e-01 1.428571e-01 4.081633e-02
28859: 2.320000e+00 1.600000e+00 1.540000e+00 3.600000e-01 1.400000e-01 4.000000e-02
28859: 2.294118e+00 1.627451e+00 1.549020e+00 3.529412e-01 1.372549e-01 3.921569e-02
28859: 2.326923e+00 1.615385e+00 1.538462e+00 3.461538e-01 1.346154e-01 3.846154e-02
28859: 2.301887e+00 1.603774e+00 1.566038e+00 3.584906e-01 1.320755e-01 3.773585e-02
28859: 2.314815e+00 1.592593e+00 1.555556e+00 3.518519e-01 1.481481e-01 3.703704e-02
28859: 2.290909e+00 1.600000e+00 1.563636e+00 3.636364e-01 1.454545e-01 3.636364e-02
28859: 2.303571e+00 1.571429e+00 1.589286e+00 3.571429e-01 1.428571e-01 3.571429e-02
