Forked 29683
Starting to reopen 0 and 1
Calling execv `tournament0/the_best_strategy.py` (pid 29683)
Strategy 0: first ans is 0
Forked 29684
Starting to reopen 0 and 1
Calling execv `tournament0/alex_dany` (pid 29684)
29684: Started!
29684: Number of players: 6, position: 1, number of turns: 1000
29684: Random seed: 2640011427
Strategy 1: first ans is 1
Forked 29685
Starting to reopen 0 and 1
Calling execv `tournament0/fedro.py` (pid 29685)
Strategy 2: first ans is 0
Forked 29709
Starting to reopen 0 and 1
Calling execv `tournament0/elexunix.py` (pid 29709)
Strategy 3: first ans is 3
Forked 29733
Starting to reopen 0 and 1
Calling execv `tournament0/pzakorko.py` (pid 29733)
Strategy 4: first ans is 0
Forked 29734
Starting to reopen 0 and 1
Calling execv `tournament0/lounres.py` (pid 29734)
Strategy 5: first ans is 1
29684: 3.000000e+00 2.000000e+00 0.000000e+00 1.000000e+00 0.000000e+00 0.000000e+00
29684: 3.000000e+00 1.000000e+00 1.000000e+00 1.000000e+00 0.000000e+00 0.000000e+00
29684: 2.666667e+00 2.000000e+00 6.666667e-01 6.666667e-01 0.000000e+00 0.000000e+00
29684: 2.500000e+00 1.500000e+00 1.250000e+00 5.000000e-01 2.500000e-01 0.000000e+00
29684: 2.400000e+00 1.600000e+00 1.200000e+00 6.000000e-01 2.000000e-01 0.000000e+00
29684: 2.333333e+00 1.500000e+00 1.333333e+00 5.000000e-01 1.666667e-01 1.666667e-01
29684: 2.285714e+00 1.857143e+00 1.142857e+00 4.285714e-01 1.428571e-01 1.428571e-01
29684: 2.250000e+00 1.625000e+00 1.250000e+00 6.250000e-01 1.250000e-01 1.250000e-01
29684: 2.222222e+00 1.666667e+00 1.333333e+00 5.555556e-01 1.111111e-01 1.111111e-01
29684: 2.200000e+00 1.500000e+00 1.300000e+00 8.000000e-01 1.000000e-01 1.000000e-01
29684: 2.181818e+00 1.545455e+00 1.272727e+00 8.181818e-01 9.090909e-02 9.090909e-02
29684: 2.250000e+00 1.500000e+00 1.250000e+00 7.500000e-01 1.666667e-01 8.333333e-02
29684: 2.230769e+00 1.615385e+00 1.230769e+00 6.923077e-01 1.538462e-01 7.692308e-02
29684: 2.214286e+00 1.500000e+00 1.285714e+00 7.142857e-01 2.142857e-01 7.142857e-02
29684: 2.266667e+00 1.600000e+00 1.200000e+00 6.666667e-01 2.000000e-01 6.666667e-02
