Forked 29736
Starting to reopen 0 and 1
Calling execv `tournament0/fedro.py` (pid 29736)
Strategy 0: first ans is 0
Forked 29760
Starting to reopen 0 and 1
Calling execv `tournament0/elexunix.py` (pid 29760)
Strategy 1: first ans is 4
Forked 29784
Starting to reopen 0 and 1
Calling execv `tournament0/pzakorko.py` (pid 29784)
Strategy 2: first ans is 0
Forked 29785
Starting to reopen 0 and 1
Calling execv `tournament0/the_best_strategy.py` (pid 29785)
Strategy 3: first ans is 0
Forked 29786
Starting to reopen 0 and 1
Calling execv `tournament0/alex_dany` (pid 29786)
29786: Started!
29786: Number of players: 6, position: 4, number of turns: 1000
29786: Random seed: 927845626
Strategy 4: first ans is 0
Forked 29787
Starting to reopen 0 and 1
Calling execv `tournament0/lounres.py` (pid 29787)
Strategy 5: first ans is 1
29786: 4.000000e+00 1.000000e+00 0.000000e+00 0.000000e+00 1.000000e+00 0.000000e+00
29786: 3.500000e+00 2.000000e+00 0.000000e+00 0.000000e+00 5.000000e-01 0.000000e+00
29786: 3.333333e+00 1.333333e+00 6.666667e-01 0.000000e+00 6.666667e-01 0.000000e+00
29786: 3.500000e+00 1.500000e+00 5.000000e-01 0.000000e+00 5.000000e-01 0.000000e+00
29786: 3.200000e+00 1.600000e+00 6.000000e-01 2.000000e-01 4.000000e-01 0.000000e+00
29786: 3.166667e+00 1.333333e+00 8.333333e-01 1.666667e-01 5.000000e-01 0.000000e+00
29786: 3.000000e+00 1.571429e+00 7.142857e-01 1.428571e-01 5.714286e-01 0.000000e+00
29786: 3.000000e+00 1.375000e+00 8.750000e-01 2.500000e-01 5.000000e-01 0.000000e+00
29786: 3.000000e+00 1.444444e+00 8.888889e-01 2.222222e-01 4.444444e-01 0.000000e+00
29786: 2.900000e+00 1.500000e+00 9.000000e-01 3.000000e-01 4.000000e-01 0.000000e+00
29786: 2.818182e+00 1.545455e+00 1.000000e+00 2.727273e-01 3.636364e-01 0.000000e+00
29786: 2.750000e+00 1.583333e+00 1.000000e+00 3.333333e-01 3.333333e-01 0.000000e+00
29786: 2.692308e+00 1.538462e+00 1.153846e+00 3.076923e-01 3.076923e-01 0.000000e+00
29786: 2.642857e+00 1.571429e+00 1.214286e+00 2.857143e-01 2.857143e-01 0.000000e+00
29786: 2.666667e+00 1.533333e+00 1.200000e+00 3.333333e-01 2.666667e-01 0.000000e+00
29786: 2.625000e+00 1.687500e+00 1.125000e+00 3.125000e-01 2.500000e-01 0.000000e+00
29786: 2.588235e+00 1.588235e+00 1.176471e+00 4.117647e-01 2.352941e-01 0.000000e+00
29786: 2.555556e+00 1.555556e+00 1.222222e+00 3.888889e-01 2.777778e-01 0.000000e+00
29786: 2.578947e+00 1.578947e+00 1.210526e+00 3.684211e-01 2.631579e-01 0.000000e+00
29786: 2.600000e+00 1.550000e+00 1.250000e+00 3.500000e-01 2.500000e-01 0.000000e+00
29786: 2.619048e+00 1.571429e+00 1.238095e+00 3.333333e-01 2.380952e-01 0.000000e+00
29786: 2.681818e+00 1.500000e+00 1.272727e+00 3.181818e-01 2.272727e-01 0.000000e+00
29786: 2.652174e+00 1.521739e+00 1.304348e+00 3.043478e-01 2.173913e-01 0.000000e+00
29786: 2.625000e+00 1.500000e+00 1.333333e+00 3.333333e-01 2.083333e-01 0.000000e+00
29786: 2.640000e+00 1.560000e+00 1.280000e+00 3.200000e-01 2.000000e-01 0.000000e+00
29786: 2.615385e+00 1.576923e+00 1.269231e+00 3.461538e-01 1.923077e-01 0.000000e+00
29786: 2.592593e+00 1.555556e+00 1.333333e+00 3.333333e-01 1.851852e-01 0.000000e+00
29786: 2.571429e+00 1.607143e+00 1.285714e+00 3.571429e-01 1.785714e-01 0.000000e+00
29786: 2.551724e+00 1.620690e+00 1.310345e+00 3.448276e-01 1.724138e-01 0.000000e+00
29786: 2.533333e+00 1.600000e+00 1.300000e+00 4.000000e-01 1.666667e-01 0.000000e+00
29786: 2.548387e+00 1.612903e+00 1.290323e+00 3.870968e-01 1.612903e-01 0.000000e+00
29786: 2.531250e+00 1.593750e+00 1.312500e+00 3.750000e-01 1.875000e-01 0.000000e+00
29786: 2.515152e+00 1.606061e+00 1.333333e+00 3.636364e-01 1.818182e-01 0.000000e+00
29786: 2.500000e+00 1.558824e+00 1.352941e+00 3.823529e-01 2.058824e-01 0.000000e+00
29786: 2.485714e+00 1.571429e+00 1.342857e+00 4.000000e-01 2.000000e-01 0.000000e+00
29786: 2.500000e+00 1.555556e+00 1.361111e+00 3.888889e-01 1.944444e-01 0.000000e+00
29786: 2.486486e+00 1.594595e+00 1.351351e+00 3.783784e-01 1.891892e-01 0.000000e+00
29786: 2.500000e+00 1.552632e+00 1.368421e+00 3.684211e-01 2.105263e-01 0.000000e+00
29786: 2.487179e+00 1.564103e+00 1.358974e+00 3.846154e-01 2.051282e-01 0.000000e+00
29786: 2.475000e+00 1.575000e+00 1.375000e+00 3.750000e-01 2.000000e-01 0.000000e+00
29786: 2.463415e+00 1.536585e+00 1.414634e+00 3.902439e-01 1.951220e-01 0.000000e+00
29786: 2.452381e+00 1.547619e+00 1.380952e+00 4.285714e-01 1.904762e-01 0.000000e+00
29786: 2.441860e+00 1.534884e+00 1.395349e+00 4.186047e-01 2.093023e-01 0.000000e+00
29786: 2.454545e+00 1.545455e+00 1.363636e+00 4.318182e-01 2.045455e-01 0.000000e+00
29786: 2.488889e+00 1.533333e+00 1.355556e+00 4.222222e-01 2.000000e-01 0.000000e+00
29786: 2.478261e+00 1.543478e+00 1.347826e+00 4.347826e-01 1.956522e-01 0.000000e+00
29786: 2.510638e+00 1.531915e+00 1.340426e+00 4.255319e-01 1.914894e-01 0.000000e+00
29786: 2.500000e+00 1.541667e+00 1.354167e+00 4.166667e-01 1.875000e-01 0.000000e+00
29786: 2.510204e+00 1.530612e+00 1.326531e+00 4.489796e-01 1.836735e-01 0.000000e+00
29786: 2.520000e+00 1.540000e+00 1.300000e+00 4.600000e-01 1.800000e-01 0.000000e+00
29786: 2.490196e+00 1.529412e+00 1.313725e+00 4.705882e-01 1.960784e-01 0.000000e+00
29786: 2.500000e+00 1.538462e+00 1.288462e+00 4.615385e-01 2.115385e-01 0.000000e+00
29786: 2.490566e+00 1.528302e+00 1.301887e+00 4.528302e-01 2.264151e-01 0.000000e+00
29786: 2.462963e+00 1.555556e+00 1.314815e+00 4.444444e-01 2.222222e-01 0.000000e+00
29786: 2.454545e+00 1.545455e+00 1.345455e+00 4.363636e-01 2.181818e-01 0.000000e+00
29786: 2.446429e+00 1.571429e+00 1.339286e+00 4.285714e-01 2.142857e-01 0.000000e+00
29786: 2.456140e+00 1.543860e+00 1.368421e+00 4.210526e-01 2.105263e-01 0.000000e+00
29786: 2.448276e+00 1.568966e+00 1.362069e+00 4.137931e-01 2.068966e-01 0.000000e+00
29786: 2.423729e+00 1.593220e+00 1.355932e+00 4.237288e-01 2.033898e-01 0.000000e+00
29786: 2.416667e+00 1.583333e+00 1.366667e+00 4.333333e-01 2.000000e-01 0.000000e+00
