Forked 30107
Starting to reopen 0 and 1
Calling execv `tournament0/elexunix.py` (pid 30107)
Strategy 0: first ans is 0
Forked 30131
Starting to reopen 0 and 1
Calling execv `tournament0/the_best_strategy.py` (pid 30131)
Strategy 1: first ans is 0
Forked 30132
Starting to reopen 0 and 1
Calling execv `tournament0/fedro.py` (pid 30132)
Strategy 2: first ans is 0
Forked 30156
Starting to reopen 0 and 1
Calling execv `tournament0/alex_dany` (pid 30156)
30156: Started!
30156: Number of players: 6, position: 3, number of turns: 1000
30156: Random seed: 2358311365
Strategy 3: first ans is 0
Forked 30157
Starting to reopen 0 and 1
Calling execv `tournament0/pzakorko.py` (pid 30157)
Strategy 4: first ans is 0
Forked 30158
Starting to reopen 0 and 1
Calling execv `tournament0/lounres.py` (pid 30158)
Strategy 5: first ans is 1
30156: 5.000000e+00 1.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
30156: 4.000000e+00 2.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
30156: 4.000000e+00 1.333333e+00 6.666667e-01 0.000000e+00 0.000000e+00 0.000000e+00
30156: 3.750000e+00 1.750000e+00 5.000000e-01 0.000000e+00 0.000000e+00 0.000000e+00
30156: 3.600000e+00 1.400000e+00 1.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
30156: 3.333333e+00 1.833333e+00 8.333333e-01 0.000000e+00 0.000000e+00 0.000000e+00
30156: 3.142857e+00 1.571429e+00 1.000000e+00 1.428571e-01 1.428571e-01 0.000000e+00
30156: 3.000000e+00 1.500000e+00 1.125000e+00 2.500000e-01 1.250000e-01 0.000000e+00
30156: 2.888889e+00 1.555556e+00 1.111111e+00 3.333333e-01 1.111111e-01 0.000000e+00
30156: 2.800000e+00 1.500000e+00 1.200000e+00 3.000000e-01 2.000000e-01 0.000000e+00
30156: 2.727273e+00 1.545455e+00 1.272727e+00 2.727273e-01 1.818182e-01 0.000000e+00
30156: 2.666667e+00 1.500000e+00 1.250000e+00 4.166667e-01 1.666667e-01 0.000000e+00
30156: 2.615385e+00 1.692308e+00 1.153846e+00 3.846154e-01 1.538462e-01 0.000000e+00
30156: 2.642857e+00 1.642857e+00 1.214286e+00 3.571429e-01 1.428571e-01 0.000000e+00
30156: 2.600000e+00 1.600000e+00 1.200000e+00 4.000000e-01 1.333333e-01 6.666667e-02
30156: 2.625000e+00 1.562500e+00 1.250000e+00 3.750000e-01 1.250000e-01 6.250000e-02
30156: 2.588235e+00 1.647059e+00 1.235294e+00 3.529412e-01 1.176471e-01 5.882353e-02
30156: 2.555556e+00 1.611111e+00 1.277778e+00 3.333333e-01 1.666667e-01 5.555556e-02
30156: 2.578947e+00 1.631579e+00 1.263158e+00 3.157895e-01 1.578947e-01 5.263158e-02
30156: 2.550000e+00 1.550000e+00 1.400000e+00 3.000000e-01 1.500000e-01 5.000000e-02
30156: 2.523810e+00 1.619048e+00 1.380952e+00 2.857143e-01 1.428571e-01 4.761905e-02
30156: 2.545455e+00 1.590909e+00 1.409091e+00 2.727273e-01 1.363636e-01 4.545455e-02
30156: 2.521739e+00 1.652174e+00 1.391304e+00 2.608696e-01 1.304348e-01 4.347826e-02
30156: 2.541667e+00 1.583333e+00 1.416667e+00 2.500000e-01 1.666667e-01 4.166667e-02
30156: 2.520000e+00 1.560000e+00 1.440000e+00 2.400000e-01 2.000000e-01 4.000000e-02
30156: 2.538462e+00 1.576923e+00 1.423077e+00 2.307692e-01 1.923077e-01 3.846154e-02
