Forked 30425
Starting to reopen 0 and 1
Calling execv `tournament0/fedro.py` (pid 30425)
Strategy 0: first ans is 0
Forked 30449
Starting to reopen 0 and 1
Calling execv `tournament0/lounres.py` (pid 30449)
Strategy 1: first ans is 1
Forked 30450
Starting to reopen 0 and 1
Calling execv `tournament0/the_best_strategy.py` (pid 30450)
Strategy 2: first ans is 0
Forked 30451
Starting to reopen 0 and 1
Calling execv `tournament0/elexunix.py` (pid 30451)
Strategy 3: first ans is 0
Forked 30475
Starting to reopen 0 and 1
Calling execv `tournament0/pzakorko.py` (pid 30475)
Strategy 4: first ans is 0
Forked 30476
Starting to reopen 0 and 1
Calling execv `tournament0/alex_dany` (pid 30476)
30476: Started!
30476: Number of players: 6, position: 5, number of turns: 1000
30476: Random seed: 2261538639
Strategy 5: first ans is 0
30476: 5.000000e+00 1.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
30476: 3.500000e+00 2.000000e+00 0.000000e+00 5.000000e-01 0.000000e+00 0.000000e+00
30476: 3.000000e+00 2.000000e+00 6.666667e-01 3.333333e-01 0.000000e+00 0.000000e+00
30476: 2.750000e+00 1.750000e+00 7.500000e-01 7.500000e-01 0.000000e+00 0.000000e+00
30476: 2.600000e+00 1.600000e+00 1.000000e+00 8.000000e-01 0.000000e+00 0.000000e+00
30476: 2.500000e+00 1.833333e+00 1.000000e+00 6.666667e-01 0.000000e+00 0.000000e+00
30476: 2.571429e+00 1.571429e+00 1.285714e+00 5.714286e-01 0.000000e+00 0.000000e+00
30476: 2.500000e+00 1.625000e+00 1.375000e+00 5.000000e-01 0.000000e+00 0.000000e+00
30476: 2.555556e+00 1.444444e+00 1.444444e+00 5.555556e-01 0.000000e+00 0.000000e+00
30476: 2.600000e+00 1.500000e+00 1.400000e+00 5.000000e-01 0.000000e+00 0.000000e+00
30476: 2.636364e+00 1.545455e+00 1.363636e+00 4.545455e-01 0.000000e+00 0.000000e+00
30476: 2.583333e+00 1.500000e+00 1.333333e+00 5.000000e-01 8.333333e-02 0.000000e+00
30476: 2.615385e+00 1.538462e+00 1.230769e+00 4.615385e-01 1.538462e-01 0.000000e+00
30476: 2.642857e+00 1.571429e+00 1.214286e+00 4.285714e-01 1.428571e-01 0.000000e+00
30476: 2.666667e+00 1.466667e+00 1.333333e+00 4.000000e-01 1.333333e-01 0.000000e+00
30476: 2.625000e+00 1.562500e+00 1.250000e+00 4.375000e-01 1.250000e-01 0.000000e+00
30476: 2.588235e+00 1.588235e+00 1.294118e+00 4.117647e-01 1.176471e-01 0.000000e+00
30476: 2.555556e+00 1.611111e+00 1.277778e+00 4.444444e-01 1.111111e-01 0.000000e+00
30476: 2.526316e+00 1.578947e+00 1.368421e+00 4.210526e-01 1.052632e-01 0.000000e+00
30476: 2.550000e+00 1.550000e+00 1.400000e+00 4.000000e-01 1.000000e-01 0.000000e+00
30476: 2.523810e+00 1.619048e+00 1.333333e+00 4.285714e-01 9.523810e-02 0.000000e+00
30476: 2.500000e+00 1.590909e+00 1.363636e+00 4.545455e-01 9.090909e-02 0.000000e+00
30476: 2.478261e+00 1.565217e+00 1.391304e+00 4.347826e-01 1.304348e-01 0.000000e+00
30476: 2.500000e+00 1.583333e+00 1.333333e+00 4.166667e-01 1.666667e-01 0.000000e+00
30476: 2.520000e+00 1.520000e+00 1.360000e+00 4.000000e-01 2.000000e-01 0.000000e+00
30476: 2.500000e+00 1.576923e+00 1.346154e+00 3.846154e-01 1.923077e-01 0.000000e+00
30476: 2.481481e+00 1.555556e+00 1.407407e+00 3.703704e-01 1.851852e-01 0.000000e+00
30476: 2.464286e+00 1.607143e+00 1.392857e+00 3.571429e-01 1.785714e-01 0.000000e+00
30476: 2.448276e+00 1.586207e+00 1.448276e+00 3.448276e-01 1.724138e-01 0.000000e+00
30476: 2.433333e+00 1.566667e+00 1.466667e+00 3.666667e-01 1.666667e-01 0.000000e+00
30476: 2.451613e+00 1.580645e+00 1.451613e+00 3.548387e-01 1.612903e-01 0.000000e+00
30476: 2.468750e+00 1.531250e+00 1.468750e+00 3.750000e-01 1.562500e-01 0.000000e+00
30476: 2.454545e+00 1.545455e+00 1.484848e+00 3.636364e-01 1.515152e-01 0.000000e+00
30476: 2.441176e+00 1.558824e+00 1.441176e+00 3.823529e-01 1.764706e-01 0.000000e+00
30476: 2.428571e+00 1.542857e+00 1.457143e+00 3.714286e-01 2.000000e-01 0.000000e+00
30476: 2.416667e+00 1.611111e+00 1.416667e+00 3.611111e-01 1.944444e-01 0.000000e+00
30476: 2.432432e+00 1.567568e+00 1.432432e+00 3.783784e-01 1.891892e-01 0.000000e+00
30476: 2.447368e+00 1.605263e+00 1.394737e+00 3.684211e-01 1.842105e-01 0.000000e+00
30476: 2.435897e+00 1.589744e+00 1.435897e+00 3.589744e-01 1.794872e-01 0.000000e+00
