Forked 30478
Starting to reopen 0 and 1
Calling execv `tournament0/elexunix.py` (pid 30478)
Strategy 0: first ans is 1
Forked 30502
Starting to reopen 0 and 1
Calling execv `tournament0/alex_dany` (pid 30502)
30502: Started!
30502: Number of players: 6, position: 1, number of turns: 1000
30502: Random seed: 2967648932
Strategy 1: first ans is 1
Forked 30503
Starting to reopen 0 and 1
Calling execv `tournament0/the_best_strategy.py` (pid 30503)
Strategy 2: first ans is 0
Forked 30504
Starting to reopen 0 and 1
Calling execv `tournament0/fedro.py` (pid 30504)
Strategy 3: first ans is 0
Forked 30528
Starting to reopen 0 and 1
Calling execv `tournament0/lounres.py` (pid 30528)
Strategy 4: first ans is 1
Forked 30529
Starting to reopen 0 and 1
Calling execv `tournament0/pzakorko.py` (pid 30529)
Strategy 5: first ans is 0
30502: 3.000000e+00 3.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
30502: 2.500000e+00 1.500000e+00 1.500000e+00 5.000000e-01 0.000000e+00 0.000000e+00
30502: 2.333333e+00 2.000000e+00 1.000000e+00 3.333333e-01 3.333333e-01 0.000000e+00
30502: 2.250000e+00 1.750000e+00 1.500000e+00 2.500000e-01 2.500000e-01 0.000000e+00
30502: 2.200000e+00 1.600000e+00 1.400000e+00 2.000000e-01 4.000000e-01 2.000000e-01
30502: 2.333333e+00 1.666667e+00 1.333333e+00 1.666667e-01 3.333333e-01 1.666667e-01
30502: 2.571429e+00 1.428571e+00 1.428571e+00 1.428571e-01 2.857143e-01 1.428571e-01
30502: 2.500000e+00 1.500000e+00 1.500000e+00 1.250000e-01 2.500000e-01 1.250000e-01
30502: 2.555556e+00 1.444444e+00 1.444444e+00 2.222222e-01 2.222222e-01 1.111111e-01
30502: 2.500000e+00 1.500000e+00 1.500000e+00 2.000000e-01 2.000000e-01 1.000000e-01
30502: 2.454545e+00 1.545455e+00 1.363636e+00 3.636364e-01 1.818182e-01 9.090909e-02
30502: 2.500000e+00 1.500000e+00 1.416667e+00 3.333333e-01 1.666667e-01 8.333333e-02
30502: 2.538462e+00 1.538462e+00 1.384615e+00 3.076923e-01 1.538462e-01 7.692308e-02
30502: 2.642857e+00 1.500000e+00 1.357143e+00 2.857143e-01 1.428571e-01 7.142857e-02
30502: 2.600000e+00 1.533333e+00 1.333333e+00 3.333333e-01 1.333333e-01 6.666667e-02
30502: 2.625000e+00 1.500000e+00 1.375000e+00 3.125000e-01 1.250000e-01 6.250000e-02
30502: 2.705882e+00 1.529412e+00 1.294118e+00 2.941176e-01 1.176471e-01 5.882353e-02
30502: 2.666667e+00 1.500000e+00 1.277778e+00 3.333333e-01 1.666667e-01 5.555556e-02
30502: 2.631579e+00 1.578947e+00 1.210526e+00 3.684211e-01 1.578947e-01 5.263158e-02
30502: 2.600000e+00 1.550000e+00 1.300000e+00 3.500000e-01 1.500000e-01 5.000000e-02
30502: 2.666667e+00 1.571429e+00 1.238095e+00 3.333333e-01 1.428571e-01 4.761905e-02
30502: 2.636364e+00 1.545455e+00 1.272727e+00 3.636364e-01 1.363636e-01 4.545455e-02
30502: 2.652174e+00 1.565217e+00 1.260870e+00 3.478261e-01 1.304348e-01 4.347826e-02
30502: 2.625000e+00 1.583333e+00 1.291667e+00 3.333333e-01 1.250000e-01 4.166667e-02
30502: 2.600000e+00 1.520000e+00 1.320000e+00 3.600000e-01 1.600000e-01 4.000000e-02
30502: 2.615385e+00 1.538462e+00 1.269231e+00 3.846154e-01 1.538462e-01 3.846154e-02
30502: 2.592593e+00 1.518519e+00 1.296296e+00 4.074074e-01 1.481481e-01 3.703704e-02
30502: 2.571429e+00 1.535714e+00 1.321429e+00 3.928571e-01 1.428571e-01 3.571429e-02
30502: 2.551724e+00 1.517241e+00 1.275862e+00 4.482759e-01 1.724138e-01 3.448276e-02
30502: 2.533333e+00 1.533333e+00 1.266667e+00 4.666667e-01 1.666667e-01 3.333333e-02
30502: 2.548387e+00 1.516129e+00 1.258065e+00 4.838710e-01 1.612903e-01 3.225806e-02
30502: 2.562500e+00 1.562500e+00 1.218750e+00 4.687500e-01 1.562500e-01 3.125000e-02
30502: 2.575758e+00 1.545455e+00 1.242424e+00 4.545455e-01 1.515152e-01 3.030303e-02
30502: 2.558824e+00 1.558824e+00 1.235294e+00 4.705882e-01 1.470588e-01 2.941176e-02
30502: 2.571429e+00 1.542857e+00 1.257143e+00 4.571429e-01 1.428571e-01 2.857143e-02
30502: 2.583333e+00 1.555556e+00 1.250000e+00 4.444444e-01 1.388889e-01 2.777778e-02
30502: 2.594595e+00 1.567568e+00 1.243243e+00 4.324324e-01 1.351351e-01 2.702703e-02
30502: 2.578947e+00 1.578947e+00 1.263158e+00 4.210526e-01 1.315789e-01 2.631579e-02
30502: 2.564103e+00 1.538462e+00 1.282051e+00 4.615385e-01 1.282051e-01 2.564103e-02
30502: 2.575000e+00 1.575000e+00 1.250000e+00 4.500000e-01 1.250000e-01 2.500000e-02
30502: 2.560976e+00 1.560976e+00 1.268293e+00 4.390244e-01 1.463415e-01 2.439024e-02
30502: 2.547619e+00 1.571429e+00 1.238095e+00 4.761905e-01 1.428571e-01 2.380952e-02
30502: 2.534884e+00 1.558140e+00 1.255814e+00 4.883721e-01 1.395349e-01 2.325581e-02
30502: 2.522727e+00 1.568182e+00 1.250000e+00 5.000000e-01 1.363636e-01 2.272727e-02
30502: 2.511111e+00 1.555556e+00 1.244444e+00 5.333333e-01 1.333333e-01 2.222222e-02
30502: 2.500000e+00 1.565217e+00 1.239130e+00 5.217391e-01 1.521739e-01 2.173913e-02
30502: 2.489362e+00 1.553191e+00 1.276596e+00 5.106383e-01 1.489362e-01 2.127660e-02
30502: 2.479167e+00 1.604167e+00 1.250000e+00 5.000000e-01 1.458333e-01 2.083333e-02
30502: 2.489796e+00 1.571429e+00 1.285714e+00 4.897959e-01 1.428571e-01 2.040816e-02
30502: 2.500000e+00 1.560000e+00 1.300000e+00 4.800000e-01 1.400000e-01 2.000000e-02
30502: 2.509804e+00 1.568627e+00 1.294118e+00 4.705882e-01 1.372549e-01 1.960784e-02
30502: 2.500000e+00 1.576923e+00 1.307692e+00 4.615385e-01 1.346154e-01 1.923077e-02
30502: 2.490566e+00 1.566038e+00 1.301887e+00 4.716981e-01 1.509434e-01 1.886792e-02
30502: 2.481481e+00 1.574074e+00 1.296296e+00 4.814815e-01 1.481481e-01 1.851852e-02
30502: 2.472727e+00 1.563636e+00 1.327273e+00 4.727273e-01 1.454545e-01 1.818182e-02
30502: 2.464286e+00 1.589286e+00 1.321429e+00 4.642857e-01 1.428571e-01 1.785714e-02
30502: 2.473684e+00 1.578947e+00 1.333333e+00 4.561404e-01 1.403509e-01 1.754386e-02
30502: 2.465517e+00 1.568966e+00 1.344828e+00 4.655172e-01 1.379310e-01 1.724138e-02
30502: 2.474576e+00 1.593220e+00 1.322034e+00 4.576271e-01 1.355932e-01 1.694915e-02
30502: 2.466667e+00 1.583333e+00 1.350000e+00 4.500000e-01 1.333333e-01 1.666667e-02
30502: 2.459016e+00 1.573770e+00 1.360656e+00 4.590164e-01 1.311475e-01 1.639344e-02
30502: 2.467742e+00 1.564516e+00 1.370968e+00 4.516129e-01 1.290323e-01 1.612903e-02
30502: 2.476190e+00 1.587302e+00 1.349206e+00 4.444444e-01 1.269841e-01 1.587302e-02
30502: 2.468750e+00 1.562500e+00 1.375000e+00 4.531250e-01 1.250000e-01 1.562500e-02
30502: 2.446154e+00 1.569231e+00 1.384615e+00 4.461538e-01 1.384615e-01 1.538462e-02
30502: 2.439394e+00 1.590909e+00 1.363636e+00 4.545455e-01 1.363636e-01 1.515152e-02
30502: 2.417910e+00 1.582090e+00 1.402985e+00 4.477612e-01 1.343284e-01 1.492537e-02
30502: 2.411765e+00 1.558824e+00 1.441176e+00 4.411765e-01 1.323529e-01 1.470588e-02
30502: 2.391304e+00 1.579710e+00 1.420290e+00 4.492754e-01 1.449275e-01 1.449275e-02
30502: 2.385714e+00 1.571429e+00 1.428571e+00 4.428571e-01 1.571429e-01 1.428571e-02
30502: 2.366197e+00 1.577465e+00 1.436620e+00 4.366197e-01 1.549296e-01 2.816901e-02
30502: 2.361111e+00 1.569444e+00 1.444444e+00 4.444444e-01 1.527778e-01 2.777778e-02
30502: 2.356164e+00 1.589041e+00 1.424658e+00 4.383562e-01 1.643836e-01 2.739726e-02
30502: 2.351351e+00 1.581081e+00 1.445946e+00 4.324324e-01 1.621622e-01 2.702703e-02
30502: 2.333333e+00 1.586667e+00 1.453333e+00 4.400000e-01 1.600000e-01 2.666667e-02
30502: 2.328947e+00 1.592105e+00 1.460526e+00 4.342105e-01 1.578947e-01 2.631579e-02
30502: 2.311688e+00 1.597403e+00 1.454545e+00 4.545455e-01 1.558442e-01 2.597403e-02
30502: 2.307692e+00 1.589744e+00 1.461538e+00 4.487179e-01 1.666667e-01 2.564103e-02
30502: 2.291139e+00 1.582278e+00 1.493671e+00 4.430380e-01 1.645570e-01 2.531646e-02
30502: 2.300000e+00 1.562500e+00 1.500000e+00 4.500000e-01 1.625000e-01 2.500000e-02
30502: 2.283951e+00 1.592593e+00 1.493827e+00 4.444444e-01 1.604938e-01 2.469136e-02
30502: 2.292683e+00 1.585366e+00 1.487805e+00 4.512195e-01 1.585366e-01 2.439024e-02
30502: 2.277108e+00 1.590361e+00 1.506024e+00 4.457831e-01 1.566265e-01 2.409639e-02
30502: 2.273810e+00 1.571429e+00 1.511905e+00 4.523810e-01 1.547619e-01 3.571429e-02
30502: 2.258824e+00 1.564706e+00 1.529412e+00 4.470588e-01 1.647059e-01 3.529412e-02
30502: 2.255814e+00 1.569767e+00 1.534884e+00 4.418605e-01 1.627907e-01 3.488372e-02
