Forked 30690
Starting to reopen 0 and 1
Calling execv `tournament0/the_best_strategy.py` (pid 30690)
Strategy 0: first ans is 0
Forked 30691
Starting to reopen 0 and 1
Calling execv `tournament0/alex_dany` (pid 30691)
30691: Started!
30691: Number of players: 6, position: 1, number of turns: 1000
30691: Random seed: 1837299098
Strategy 1: first ans is 1
Forked 30692
Starting to reopen 0 and 1
Calling execv `tournament0/pzakorko.py` (pid 30692)
Strategy 2: first ans is 0
Forked 30693
Starting to reopen 0 and 1
Calling execv `tournament0/elexunix.py` (pid 30693)
Strategy 3: first ans is 1
Forked 30717
Starting to reopen 0 and 1
Calling execv `tournament0/fedro.py` (pid 30717)
Strategy 4: first ans is 0
Forked 30741
Starting to reopen 0 and 1
Calling execv `tournament0/lounres.py` (pid 30741)
Strategy 5: first ans is 1
30691: 3.000000e+00 3.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
30691: 3.000000e+00 1.500000e+00 1.000000e+00 5.000000e-01 0.000000e+00 0.000000e+00
30691: 2.666667e+00 2.000000e+00 1.000000e+00 3.333333e-01 0.000000e+00 0.000000e+00
30691: 2.500000e+00 1.500000e+00 1.250000e+00 7.500000e-01 0.000000e+00 0.000000e+00
30691: 2.400000e+00 1.800000e+00 1.200000e+00 6.000000e-01 0.000000e+00 0.000000e+00
30691: 2.666667e+00 1.500000e+00 1.333333e+00 5.000000e-01 0.000000e+00 0.000000e+00
30691: 2.571429e+00 1.714286e+00 1.142857e+00 5.714286e-01 0.000000e+00 0.000000e+00
30691: 2.500000e+00 1.625000e+00 1.250000e+00 5.000000e-01 0.000000e+00 1.250000e-01
30691: 2.444444e+00 1.555556e+00 1.444444e+00 4.444444e-01 0.000000e+00 1.111111e-01
30691: 2.500000e+00 1.600000e+00 1.300000e+00 5.000000e-01 0.000000e+00 1.000000e-01
30691: 2.454545e+00 1.454545e+00 1.545455e+00 4.545455e-01 0.000000e+00 9.090909e-02
30691: 2.416667e+00 1.500000e+00 1.500000e+00 5.000000e-01 0.000000e+00 8.333333e-02
30691: 2.461538e+00 1.461538e+00 1.461538e+00 4.615385e-01 7.692308e-02 7.692308e-02
30691: 2.500000e+00 1.500000e+00 1.357143e+00 5.000000e-01 7.142857e-02 7.142857e-02
30691: 2.533333e+00 1.533333e+00 1.333333e+00 4.666667e-01 6.666667e-02 6.666667e-02
30691: 2.500000e+00 1.562500e+00 1.312500e+00 4.375000e-01 1.250000e-01 6.250000e-02
30691: 2.529412e+00 1.529412e+00 1.352941e+00 4.117647e-01 1.176471e-01 5.882353e-02
30691: 2.500000e+00 1.611111e+00 1.333333e+00 3.888889e-01 1.111111e-01 5.555556e-02
30691: 2.473684e+00 1.526316e+00 1.473684e+00 3.684211e-01 1.052632e-01 5.263158e-02
30691: 2.450000e+00 1.600000e+00 1.450000e+00 3.500000e-01 1.000000e-01 5.000000e-02
30691: 2.476190e+00 1.571429e+00 1.476190e+00 3.333333e-01 9.523810e-02 4.761905e-02
30691: 2.545455e+00 1.545455e+00 1.454545e+00 3.181818e-01 9.090909e-02 4.545455e-02
30691: 2.565217e+00 1.608696e+00 1.391304e+00 3.043478e-01 8.695652e-02 4.347826e-02
30691: 2.541667e+00 1.541667e+00 1.416667e+00 2.916667e-01 1.250000e-01 8.333333e-02
30691: 2.600000e+00 1.560000e+00 1.360000e+00 2.800000e-01 1.200000e-01 8.000000e-02
30691: 2.576923e+00 1.538462e+00 1.346154e+00 3.461538e-01 1.153846e-01 7.692308e-02
30691: 2.555556e+00 1.555556e+00 1.333333e+00 3.703704e-01 1.111111e-01 7.407407e-02
30691: 2.535714e+00 1.535714e+00 1.392857e+00 3.571429e-01 1.071429e-01 7.142857e-02
30691: 2.517241e+00 1.551724e+00 1.379310e+00 3.793103e-01 1.034483e-01 6.896552e-02
30691: 2.500000e+00 1.533333e+00 1.400000e+00 4.000000e-01 1.000000e-01 6.666667e-02
30691: 2.483871e+00 1.548387e+00 1.387097e+00 3.870968e-01 1.290323e-01 6.451613e-02
30691: 2.500000e+00 1.531250e+00 1.406250e+00 3.750000e-01 1.250000e-01 6.250000e-02
30691: 2.515152e+00 1.545455e+00 1.363636e+00 3.636364e-01 1.515152e-01 6.060606e-02
30691: 2.500000e+00 1.529412e+00 1.382353e+00 3.823529e-01 1.470588e-01 5.882353e-02
30691: 2.514286e+00 1.571429e+00 1.342857e+00 3.714286e-01 1.428571e-01 5.714286e-02
30691: 2.500000e+00 1.527778e+00 1.416667e+00 3.611111e-01 1.388889e-01 5.555556e-02
30691: 2.486486e+00 1.567568e+00 1.405405e+00 3.513514e-01 1.351351e-01 5.405405e-02
30691: 2.473684e+00 1.578947e+00 1.394737e+00 3.684211e-01 1.315789e-01 5.263158e-02
30691: 2.461538e+00 1.564103e+00 1.435897e+00 3.589744e-01 1.282051e-01 5.128205e-02
30691: 2.475000e+00 1.575000e+00 1.425000e+00 3.500000e-01 1.250000e-01 5.000000e-02
30691: 2.487805e+00 1.536585e+00 1.439024e+00 3.414634e-01 1.463415e-01 4.878049e-02
30691: 2.476190e+00 1.547619e+00 1.452381e+00 3.333333e-01 1.428571e-01 4.761905e-02
30691: 2.441860e+00 1.558140e+00 1.441860e+00 3.488372e-01 1.627907e-01 4.651163e-02
30691: 2.431818e+00 1.545455e+00 1.454545e+00 3.409091e-01 1.818182e-01 4.545455e-02
30691: 2.422222e+00 1.577778e+00 1.422222e+00 3.333333e-01 2.000000e-01 4.444444e-02
30691: 2.391304e+00 1.565217e+00 1.478261e+00 3.260870e-01 1.956522e-01 4.347826e-02
30691: 2.404255e+00 1.553191e+00 1.468085e+00 3.191489e-01 2.127660e-01 4.255319e-02
