Forked 30955
Starting to reopen 0 and 1
Calling execv `tournament0/elexunix.py` (pid 30955)
Strategy 0: first ans is 0
Forked 30979
Starting to reopen 0 and 1
Calling execv `tournament0/alex_dany` (pid 30979)
30979: Started!
30979: Number of players: 6, position: 1, number of turns: 1000
30979: Random seed: 2141288221
Strategy 1: first ans is 0
Forked 30980
Starting to reopen 0 and 1
Calling execv `tournament0/fedro.py` (pid 30980)
Strategy 2: first ans is 0
Forked 31004
Starting to reopen 0 and 1
Calling execv `tournament0/pzakorko.py` (pid 31004)
Strategy 3: first ans is 0
Forked 31005
Starting to reopen 0 and 1
Calling execv `tournament0/the_best_strategy.py` (pid 31005)
Strategy 4: first ans is 0
Forked 31006
Starting to reopen 0 and 1
Calling execv `tournament0/lounres.py` (pid 31006)
Strategy 5: first ans is 1
30979: 5.000000e+00 1.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
30979: 3.500000e+00 1.500000e+00 5.000000e-01 5.000000e-01 0.000000e+00 0.000000e+00
30979: 3.000000e+00 1.333333e+00 1.333333e+00 3.333333e-01 0.000000e+00 0.000000e+00
30979: 3.000000e+00 1.750000e+00 1.000000e+00 2.500000e-01 0.000000e+00 0.000000e+00
30979: 2.800000e+00 1.400000e+00 1.200000e+00 6.000000e-01 0.000000e+00 0.000000e+00
30979: 2.666667e+00 1.833333e+00 1.000000e+00 5.000000e-01 0.000000e+00 0.000000e+00
30979: 2.571429e+00 1.571429e+00 1.142857e+00 5.714286e-01 1.428571e-01 0.000000e+00
30979: 2.625000e+00 1.500000e+00 1.250000e+00 5.000000e-01 1.250000e-01 0.000000e+00
30979: 2.666667e+00 1.555556e+00 1.222222e+00 4.444444e-01 1.111111e-01 0.000000e+00
30979: 2.600000e+00 1.500000e+00 1.400000e+00 4.000000e-01 1.000000e-01 0.000000e+00
30979: 2.545455e+00 1.636364e+00 1.363636e+00 3.636364e-01 9.090909e-02 0.000000e+00
30979: 2.500000e+00 1.583333e+00 1.500000e+00 3.333333e-01 8.333333e-02 0.000000e+00
30979: 2.615385e+00 1.538462e+00 1.461538e+00 3.076923e-01 7.692308e-02 0.000000e+00
30979: 2.571429e+00 1.571429e+00 1.428571e+00 2.857143e-01 7.142857e-02 7.142857e-02
30979: 2.533333e+00 1.466667e+00 1.600000e+00 2.666667e-01 6.666667e-02 6.666667e-02
30979: 2.500000e+00 1.562500e+00 1.562500e+00 2.500000e-01 6.250000e-02 6.250000e-02
30979: 2.470588e+00 1.529412e+00 1.529412e+00 2.941176e-01 1.176471e-01 5.882353e-02
30979: 2.500000e+00 1.611111e+00 1.444444e+00 2.777778e-01 1.111111e-01 5.555556e-02
30979: 2.578947e+00 1.526316e+00 1.473684e+00 2.631579e-01 1.052632e-01 5.263158e-02
30979: 2.550000e+00 1.600000e+00 1.450000e+00 2.500000e-01 1.000000e-01 5.000000e-02
30979: 2.523810e+00 1.523810e+00 1.476190e+00 2.857143e-01 1.428571e-01 4.761905e-02
30979: 2.590909e+00 1.545455e+00 1.409091e+00 2.727273e-01 1.363636e-01 4.545455e-02
30979: 2.608696e+00 1.565217e+00 1.391304e+00 2.608696e-01 1.304348e-01 4.347826e-02
30979: 2.625000e+00 1.583333e+00 1.375000e+00 2.500000e-01 1.250000e-01 4.166667e-02
30979: 2.640000e+00 1.560000e+00 1.400000e+00 2.400000e-01 1.200000e-01 4.000000e-02
30979: 2.615385e+00 1.576923e+00 1.384615e+00 2.307692e-01 1.538462e-01 3.846154e-02
30979: 2.592593e+00 1.592593e+00 1.407407e+00 2.222222e-01 1.481481e-01 3.703704e-02
30979: 2.571429e+00 1.571429e+00 1.428571e+00 2.500000e-01 1.428571e-01 3.571429e-02
30979: 2.620690e+00 1.551724e+00 1.413793e+00 2.413793e-01 1.379310e-01 3.448276e-02
30979: 2.633333e+00 1.600000e+00 1.366667e+00 2.333333e-01 1.333333e-01 3.333333e-02
30979: 2.645161e+00 1.548387e+00 1.387097e+00 2.580645e-01 1.290323e-01 3.225806e-02
30979: 2.656250e+00 1.593750e+00 1.343750e+00 2.500000e-01 1.250000e-01 3.125000e-02
30979: 2.696970e+00 1.545455e+00 1.363636e+00 2.424242e-01 1.212121e-01 3.030303e-02
30979: 2.676471e+00 1.588235e+00 1.352941e+00 2.352941e-01 1.176471e-01 2.941176e-02
30979: 2.657143e+00 1.571429e+00 1.371429e+00 2.285714e-01 1.428571e-01 2.857143e-02
30979: 2.666667e+00 1.555556e+00 1.361111e+00 2.500000e-01 1.388889e-01 2.777778e-02
30979: 2.702703e+00 1.567568e+00 1.324324e+00 2.432432e-01 1.351351e-01 2.702703e-02
30979: 2.684211e+00 1.552632e+00 1.342105e+00 2.631579e-01 1.315789e-01 2.631579e-02
30979: 2.666667e+00 1.589744e+00 1.307692e+00 2.820513e-01 1.282051e-01 2.564103e-02
30979: 2.650000e+00 1.575000e+00 1.350000e+00 2.750000e-01 1.250000e-01 2.500000e-02
30979: 2.634146e+00 1.585366e+00 1.341463e+00 2.682927e-01 1.463415e-01 2.439024e-02
30979: 2.619048e+00 1.595238e+00 1.357143e+00 2.619048e-01 1.428571e-01 2.380952e-02
30979: 2.604651e+00 1.558140e+00 1.372093e+00 2.790698e-01 1.627907e-01 2.325581e-02
30979: 2.590909e+00 1.590909e+00 1.340909e+00 2.954545e-01 1.590909e-01 2.272727e-02
30979: 2.577778e+00 1.577778e+00 1.377778e+00 2.888889e-01 1.555556e-01 2.222222e-02
30979: 2.565217e+00 1.608696e+00 1.369565e+00 2.826087e-01 1.521739e-01 2.173913e-02
30979: 2.553191e+00 1.595745e+00 1.382979e+00 2.765957e-01 1.702128e-01 2.127660e-02
30979: 2.541667e+00 1.604167e+00 1.375000e+00 2.708333e-01 1.875000e-01 2.083333e-02
30979: 2.530612e+00 1.571429e+00 1.408163e+00 2.653061e-01 2.040816e-01 2.040816e-02
30979: 2.540000e+00 1.560000e+00 1.420000e+00 2.600000e-01 2.000000e-01 2.000000e-02
30979: 2.529412e+00 1.568627e+00 1.431373e+00 2.549020e-01 1.960784e-01 1.960784e-02
30979: 2.538462e+00 1.576923e+00 1.403846e+00 2.692308e-01 1.923077e-01 1.923077e-02
30979: 2.547170e+00 1.547170e+00 1.433962e+00 2.641509e-01 1.886792e-01 1.886792e-02
30979: 2.518519e+00 1.555556e+00 1.444444e+00 2.777778e-01 1.851852e-01 1.851852e-02
30979: 2.509091e+00 1.545455e+00 1.454545e+00 2.909091e-01 1.818182e-01 1.818182e-02
30979: 2.500000e+00 1.571429e+00 1.446429e+00 2.857143e-01 1.785714e-01 1.785714e-02
30979: 2.473684e+00 1.596491e+00 1.456140e+00 2.807018e-01 1.754386e-01 1.754386e-02
30979: 2.482759e+00 1.586207e+00 1.465517e+00 2.758621e-01 1.724138e-01 1.724138e-02
