Forked 31061
Starting to reopen 0 and 1
Calling execv `tournament0/elexunix.py` (pid 31061)
Strategy 0: first ans is 0
Forked 31085
Starting to reopen 0 and 1
Calling execv `tournament0/the_best_strategy.py` (pid 31085)
Strategy 1: first ans is 0
Forked 31086
Starting to reopen 0 and 1
Calling execv `tournament0/lounres.py` (pid 31086)
Strategy 2: first ans is 1
Forked 31087
Starting to reopen 0 and 1
Calling execv `tournament0/alex_dany` (pid 31087)
31087: Started!
31087: Number of players: 6, position: 3, number of turns: 1000
31087: Random seed: 3784194987
Strategy 3: first ans is 1
Forked 31088
Starting to reopen 0 and 1
Calling execv `tournament0/pzakorko.py` (pid 31088)
Strategy 4: first ans is 0
Forked 31089
Starting to reopen 0 and 1
Calling execv `tournament0/fedro.py` (pid 31089)
Strategy 5: first ans is 0
31087: 4.000000e+00 2.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
31087: 3.500000e+00 1.000000e+00 1.000000e+00 5.000000e-01 0.000000e+00 0.000000e+00
31087: 3.000000e+00 1.333333e+00 1.000000e+00 3.333333e-01 3.333333e-01 0.000000e+00
31087: 3.000000e+00 1.250000e+00 1.250000e+00 2.500000e-01 2.500000e-01 0.000000e+00
31087: 3.000000e+00 1.600000e+00 1.000000e+00 2.000000e-01 2.000000e-01 0.000000e+00
31087: 2.833333e+00 1.500000e+00 1.166667e+00 1.666667e-01 3.333333e-01 0.000000e+00
31087: 2.714286e+00 1.571429e+00 1.000000e+00 2.857143e-01 2.857143e-01 1.428571e-01
31087: 2.625000e+00 1.500000e+00 1.250000e+00 2.500000e-01 2.500000e-01 1.250000e-01
31087: 2.666667e+00 1.666667e+00 1.111111e+00 2.222222e-01 2.222222e-01 1.111111e-01
31087: 2.600000e+00 1.500000e+00 1.300000e+00 3.000000e-01 2.000000e-01 1.000000e-01
31087: 2.636364e+00 1.545455e+00 1.272727e+00 2.727273e-01 1.818182e-01 9.090909e-02
31087: 2.583333e+00 1.583333e+00 1.333333e+00 2.500000e-01 1.666667e-01 8.333333e-02
31087: 2.615385e+00 1.538462e+00 1.307692e+00 3.076923e-01 1.538462e-01 7.692308e-02
31087: 2.571429e+00 1.571429e+00 1.357143e+00 2.857143e-01 1.428571e-01 7.142857e-02
