Forked 31220
Starting to reopen 0 and 1
Calling execv `tournament0/lounres.py` (pid 31220)
Strategy 0: first ans is 1
Forked 31221
Starting to reopen 0 and 1
Calling execv `tournament0/fedro.py` (pid 31221)
Strategy 1: first ans is 0
Forked 31245
Starting to reopen 0 and 1
Calling execv `tournament0/pzakorko.py` (pid 31245)
Strategy 2: first ans is 0
Forked 31246
Starting to reopen 0 and 1
Calling execv `tournament0/alex_dany` (pid 31246)
31246: Started!
31246: Number of players: 6, position: 3, number of turns: 1000
31246: Random seed: 1489180335
Strategy 3: first ans is 1
Forked 31247
Starting to reopen 0 and 1
Calling execv `tournament0/the_best_strategy.py` (pid 31247)
Strategy 4: first ans is 0
Forked 31248
Starting to reopen 0 and 1
Calling execv `tournament0/elexunix.py` (pid 31248)
Strategy 5: first ans is 1
31246: 3.000000e+00 3.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
31246: 3.000000e+00 1.500000e+00 1.000000e+00 5.000000e-01 0.000000e+00 0.000000e+00
31246: 2.666667e+00 2.000000e+00 1.000000e+00 3.333333e-01 0.000000e+00 0.000000e+00
31246: 2.750000e+00 1.500000e+00 1.500000e+00 2.500000e-01 0.000000e+00 0.000000e+00
31246: 2.600000e+00 1.800000e+00 1.200000e+00 2.000000e-01 2.000000e-01 0.000000e+00
31246: 2.666667e+00 1.666667e+00 1.333333e+00 1.666667e-01 1.666667e-01 0.000000e+00
31246: 2.571429e+00 1.714286e+00 1.428571e+00 1.428571e-01 1.428571e-01 0.000000e+00
31246: 2.625000e+00 1.500000e+00 1.375000e+00 3.750000e-01 1.250000e-01 0.000000e+00
31246: 2.555556e+00 1.555556e+00 1.333333e+00 4.444444e-01 1.111111e-01 0.000000e+00
31246: 2.600000e+00 1.500000e+00 1.400000e+00 4.000000e-01 1.000000e-01 0.000000e+00
31246: 2.545455e+00 1.545455e+00 1.363636e+00 4.545455e-01 9.090909e-02 0.000000e+00
31246: 2.583333e+00 1.500000e+00 1.416667e+00 4.166667e-01 8.333333e-02 0.000000e+00
31246: 2.538462e+00 1.615385e+00 1.307692e+00 3.846154e-01 1.538462e-01 0.000000e+00
31246: 2.571429e+00 1.571429e+00 1.357143e+00 3.571429e-01 1.428571e-01 0.000000e+00
31246: 2.533333e+00 1.533333e+00 1.400000e+00 3.333333e-01 2.000000e-01 0.000000e+00
31246: 2.500000e+00 1.687500e+00 1.312500e+00 3.125000e-01 1.875000e-01 0.000000e+00
31246: 2.529412e+00 1.588235e+00 1.352941e+00 3.529412e-01 1.764706e-01 0.000000e+00
31246: 2.555556e+00 1.555556e+00 1.333333e+00 3.888889e-01 1.666667e-01 0.000000e+00
31246: 2.526316e+00 1.631579e+00 1.263158e+00 3.684211e-01 2.105263e-01 0.000000e+00
31246: 2.500000e+00 1.600000e+00 1.350000e+00 3.500000e-01 2.000000e-01 0.000000e+00
31246: 2.476190e+00 1.619048e+00 1.380952e+00 3.333333e-01 1.904762e-01 0.000000e+00
31246: 2.500000e+00 1.545455e+00 1.363636e+00 4.090909e-01 1.818182e-01 0.000000e+00
31246: 2.478261e+00 1.565217e+00 1.304348e+00 4.347826e-01 2.173913e-01 0.000000e+00
31246: 2.458333e+00 1.583333e+00 1.291667e+00 4.583333e-01 2.083333e-01 0.000000e+00
31246: 2.440000e+00 1.600000e+00 1.320000e+00 4.400000e-01 2.000000e-01 0.000000e+00
31246: 2.423077e+00 1.538462e+00 1.307692e+00 5.384615e-01 1.923077e-01 0.000000e+00
31246: 2.407407e+00 1.592593e+00 1.259259e+00 5.185185e-01 2.222222e-01 0.000000e+00
31246: 2.428571e+00 1.571429e+00 1.285714e+00 5.000000e-01 2.142857e-01 0.000000e+00
31246: 2.448276e+00 1.551724e+00 1.275862e+00 4.827586e-01 2.068966e-01 3.448276e-02
31246: 2.466667e+00 1.566667e+00 1.233333e+00 5.000000e-01 2.000000e-01 3.333333e-02
31246: 2.483871e+00 1.548387e+00 1.225806e+00 5.161290e-01 1.935484e-01 3.225806e-02
31246: 2.500000e+00 1.562500e+00 1.187500e+00 5.000000e-01 2.187500e-01 3.125000e-02
31246: 2.484848e+00 1.575758e+00 1.181818e+00 5.151515e-01 2.121212e-01 3.030303e-02
31246: 2.470588e+00 1.558824e+00 1.205882e+00 5.294118e-01 2.058824e-01 2.941176e-02
31246: 2.485714e+00 1.600000e+00 1.171429e+00 5.142857e-01 2.000000e-01 2.857143e-02
31246: 2.500000e+00 1.555556e+00 1.194444e+00 5.277778e-01 1.944444e-01 2.777778e-02
31246: 2.459459e+00 1.567568e+00 1.189189e+00 5.405405e-01 2.162162e-01 2.702703e-02
31246: 2.473684e+00 1.605263e+00 1.157895e+00 5.263158e-01 2.105263e-01 2.631579e-02
31246: 2.435897e+00 1.615385e+00 1.179487e+00 5.384615e-01 2.051282e-01 2.564103e-02
31246: 2.425000e+00 1.600000e+00 1.200000e+00 5.500000e-01 2.000000e-01 2.500000e-02
31246: 2.414634e+00 1.609756e+00 1.195122e+00 5.365854e-01 1.951220e-01 4.878049e-02
31246: 2.380952e+00 1.619048e+00 1.238095e+00 5.238095e-01 1.904762e-01 4.761905e-02
31246: 2.395349e+00 1.604651e+00 1.255814e+00 5.116279e-01 1.860465e-01 4.651163e-02
31246: 2.363636e+00 1.613636e+00 1.295455e+00 5.000000e-01 1.818182e-01 4.545455e-02
31246: 2.355556e+00 1.577778e+00 1.333333e+00 5.111111e-01 1.777778e-01 4.444444e-02
