Forked 31326
Starting to reopen 0 and 1
Calling execv `tournament0/alex_dany` (pid 31326)
31326: Started!
31326: Number of players: 6, position: 0, number of turns: 1000
31326: Random seed: 263580335
Strategy 0: first ans is 1
Forked 31327
Starting to reopen 0 and 1
Calling execv `tournament0/the_best_strategy.py` (pid 31327)
Strategy 1: first ans is 0
Forked 31328
Starting to reopen 0 and 1
Calling execv `tournament0/pzakorko.py` (pid 31328)
Strategy 2: first ans is 0
Forked 31329
Starting to reopen 0 and 1
Calling execv `tournament0/elexunix.py` (pid 31329)
Strategy 3: first ans is 2
Forked 31353
Starting to reopen 0 and 1
Calling execv `tournament0/lounres.py` (pid 31353)
Strategy 4: first ans is 1
Forked 31354
Starting to reopen 0 and 1
Calling execv `tournament0/fedro.py` (pid 31354)
Strategy 5: first ans is 0
31326: 3.000000e+00 2.000000e+00 1.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
31326: 3.000000e+00 1.500000e+00 1.500000e+00 0.000000e+00 0.000000e+00 0.000000e+00
31326: 2.666667e+00 1.666667e+00 1.333333e+00 3.333333e-01 0.000000e+00 0.000000e+00
31326: 2.500000e+00 1.250000e+00 2.000000e+00 2.500000e-01 0.000000e+00 0.000000e+00
31326: 2.400000e+00 1.600000e+00 1.600000e+00 2.000000e-01 2.000000e-01 0.000000e+00
31326: 2.333333e+00 1.500000e+00 1.666667e+00 3.333333e-01 1.666667e-01 0.000000e+00
31326: 2.285714e+00 1.571429e+00 1.571429e+00 4.285714e-01 1.428571e-01 0.000000e+00
31326: 2.250000e+00 1.500000e+00 1.500000e+00 6.250000e-01 1.250000e-01 0.000000e+00
31326: 2.222222e+00 1.666667e+00 1.444444e+00 5.555556e-01 1.111111e-01 0.000000e+00
31326: 2.200000e+00 1.600000e+00 1.600000e+00 5.000000e-01 1.000000e-01 0.000000e+00
31326: 2.181818e+00 1.545455e+00 1.636364e+00 5.454545e-01 9.090909e-02 0.000000e+00
31326: 2.250000e+00 1.583333e+00 1.583333e+00 5.000000e-01 8.333333e-02 0.000000e+00
31326: 2.230769e+00 1.461538e+00 1.615385e+00 6.153846e-01 7.692308e-02 0.000000e+00
31326: 2.214286e+00 1.571429e+00 1.571429e+00 5.714286e-01 7.142857e-02 0.000000e+00
31326: 2.266667e+00 1.466667e+00 1.600000e+00 6.000000e-01 6.666667e-02 0.000000e+00
31326: 2.250000e+00 1.562500e+00 1.500000e+00 6.250000e-01 6.250000e-02 0.000000e+00
31326: 2.235294e+00 1.588235e+00 1.470588e+00 6.470588e-01 5.882353e-02 0.000000e+00
31326: 2.277778e+00 1.500000e+00 1.555556e+00 6.111111e-01 5.555556e-02 0.000000e+00
31326: 2.315789e+00 1.526316e+00 1.473684e+00 6.315789e-01 5.263158e-02 0.000000e+00
31326: 2.350000e+00 1.550000e+00 1.450000e+00 6.000000e-01 5.000000e-02 0.000000e+00
31326: 2.333333e+00 1.571429e+00 1.476190e+00 5.714286e-01 4.761905e-02 0.000000e+00
31326: 2.318182e+00 1.500000e+00 1.545455e+00 5.909091e-01 4.545455e-02 0.000000e+00
31326: 2.347826e+00 1.565217e+00 1.478261e+00 5.652174e-01 4.347826e-02 0.000000e+00
31326: 2.416667e+00 1.541667e+00 1.458333e+00 5.416667e-01 4.166667e-02 0.000000e+00
31326: 2.400000e+00 1.600000e+00 1.400000e+00 5.200000e-01 8.000000e-02 0.000000e+00
31326: 2.384615e+00 1.615385e+00 1.423077e+00 5.000000e-01 7.692308e-02 0.000000e+00
31326: 2.407407e+00 1.555556e+00 1.444444e+00 5.185185e-01 7.407407e-02 0.000000e+00
31326: 2.392857e+00 1.571429e+00 1.428571e+00 5.000000e-01 1.071429e-01 0.000000e+00
31326: 2.379310e+00 1.517241e+00 1.482759e+00 5.172414e-01 1.034483e-01 0.000000e+00
31326: 2.366667e+00 1.533333e+00 1.466667e+00 5.333333e-01 1.000000e-01 0.000000e+00
31326: 2.419355e+00 1.516129e+00 1.451613e+00 5.161290e-01 9.677419e-02 0.000000e+00
31326: 2.406250e+00 1.531250e+00 1.437500e+00 5.312500e-01 9.375000e-02 0.000000e+00
31326: 2.393939e+00 1.575758e+00 1.424242e+00 5.151515e-01 9.090909e-02 0.000000e+00
31326: 2.411765e+00 1.558824e+00 1.441176e+00 5.000000e-01 8.823529e-02 0.000000e+00
31326: 2.400000e+00 1.628571e+00 1.400000e+00 4.857143e-01 8.571429e-02 0.000000e+00
31326: 2.416667e+00 1.583333e+00 1.416667e+00 5.000000e-01 8.333333e-02 0.000000e+00
31326: 2.432432e+00 1.567568e+00 1.432432e+00 4.864865e-01 8.108108e-02 0.000000e+00
31326: 2.421053e+00 1.605263e+00 1.394737e+00 5.000000e-01 7.894737e-02 0.000000e+00
31326: 2.410256e+00 1.589744e+00 1.435897e+00 4.871795e-01 7.692308e-02 0.000000e+00
31326: 2.400000e+00 1.575000e+00 1.450000e+00 4.750000e-01 1.000000e-01 0.000000e+00
31326: 2.390244e+00 1.560976e+00 1.463415e+00 4.878049e-01 9.756098e-02 0.000000e+00
31326: 2.380952e+00 1.595238e+00 1.452381e+00 4.761905e-01 9.523810e-02 0.000000e+00
31326: 2.395349e+00 1.581395e+00 1.465116e+00 4.651163e-01 9.302326e-02 0.000000e+00
31326: 2.386364e+00 1.568182e+00 1.454545e+00 4.772727e-01 1.136364e-01 0.000000e+00
31326: 2.377778e+00 1.622222e+00 1.422222e+00 4.666667e-01 1.111111e-01 0.000000e+00
