Forked 31750
Starting to reopen 0 and 1
Calling execv `tournament0/lounres.py` (pid 31750)
Strategy 0: first ans is 1
Forked 31751
Starting to reopen 0 and 1
Calling execv `tournament0/elexunix.py` (pid 31751)
Strategy 1: first ans is 1
Forked 31775
Starting to reopen 0 and 1
Calling execv `tournament0/fedro.py` (pid 31775)
Strategy 2: first ans is 0
Forked 31799
Starting to reopen 0 and 1
Calling execv `tournament0/pzakorko.py` (pid 31799)
Strategy 3: first ans is 0
Forked 31800
Starting to reopen 0 and 1
Calling execv `tournament0/the_best_strategy.py` (pid 31800)
Strategy 4: first ans is 0
Forked 31801
Starting to reopen 0 and 1
Calling execv `tournament0/alex_dany` (pid 31801)
31801: Started!
31801: Number of players: 6, position: 5, number of turns: 1000
31801: Random seed: 2964151400
Strategy 5: first ans is 0
31801: 4.000000e+00 2.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
31801: 3.000000e+00 1.500000e+00 1.500000e+00 0.000000e+00 0.000000e+00 0.000000e+00
31801: 2.666667e+00 1.666667e+00 1.666667e+00 0.000000e+00 0.000000e+00 0.000000e+00
31801: 2.500000e+00 1.500000e+00 1.500000e+00 5.000000e-01 0.000000e+00 0.000000e+00
31801: 2.600000e+00 1.600000e+00 1.400000e+00 4.000000e-01 0.000000e+00 0.000000e+00
31801: 2.666667e+00 1.500000e+00 1.500000e+00 3.333333e-01 0.000000e+00 0.000000e+00
31801: 2.714286e+00 1.571429e+00 1.285714e+00 4.285714e-01 0.000000e+00 0.000000e+00
31801: 2.625000e+00 1.375000e+00 1.625000e+00 3.750000e-01 0.000000e+00 0.000000e+00
31801: 2.555556e+00 1.666667e+00 1.444444e+00 3.333333e-01 0.000000e+00 0.000000e+00
31801: 2.500000e+00 1.500000e+00 1.600000e+00 3.000000e-01 1.000000e-01 0.000000e+00
31801: 2.545455e+00 1.636364e+00 1.454545e+00 2.727273e-01 9.090909e-02 0.000000e+00
31801: 2.666667e+00 1.500000e+00 1.500000e+00 2.500000e-01 8.333333e-02 0.000000e+00
31801: 2.615385e+00 1.615385e+00 1.384615e+00 3.076923e-01 7.692308e-02 0.000000e+00
31801: 2.571429e+00 1.642857e+00 1.428571e+00 2.857143e-01 7.142857e-02 0.000000e+00
31801: 2.533333e+00 1.533333e+00 1.533333e+00 3.333333e-01 6.666667e-02 0.000000e+00
31801: 2.500000e+00 1.562500e+00 1.562500e+00 3.125000e-01 6.250000e-02 0.000000e+00
31801: 2.529412e+00 1.529412e+00 1.470588e+00 3.529412e-01 1.176471e-01 0.000000e+00
31801: 2.500000e+00 1.666667e+00 1.388889e+00 3.333333e-01 1.111111e-01 0.000000e+00
31801: 2.526316e+00 1.578947e+00 1.473684e+00 3.157895e-01 1.052632e-01 0.000000e+00
31801: 2.550000e+00 1.550000e+00 1.500000e+00 3.000000e-01 1.000000e-01 0.000000e+00
31801: 2.619048e+00 1.571429e+00 1.428571e+00 2.857143e-01 9.523810e-02 0.000000e+00
31801: 2.636364e+00 1.500000e+00 1.454545e+00 3.181818e-01 9.090909e-02 0.000000e+00
