Forked 31803
Starting to reopen 0 and 1
Calling execv `tournament0/pzakorko.py` (pid 31803)
Strategy 0: first ans is 0
Forked 31804
Starting to reopen 0 and 1
Calling execv `tournament0/the_best_strategy.py` (pid 31804)
Strategy 1: first ans is 0
Forked 31805
Starting to reopen 0 and 1
Calling execv `tournament0/elexunix.py` (pid 31805)
Strategy 2: first ans is 3
Forked 31829
Starting to reopen 0 and 1
Calling execv `tournament0/lounres.py` (pid 31829)
Strategy 3: first ans is 1
Forked 31830
Starting to reopen 0 and 1
Calling execv `tournament0/fedro.py` (pid 31830)
Strategy 4: first ans is 0
Forked 31854
Starting to reopen 0 and 1
Calling execv `tournament0/alex_dany` (pid 31854)
31854: Started!
31854: Number of players: 6, position: 5, number of turns: 1000
31854: Random seed: 2055751224
Strategy 5: first ans is 1
31854: 3.000000e+00 2.000000e+00 0.000000e+00 1.000000e+00 0.000000e+00 0.000000e+00
31854: 2.500000e+00 1.000000e+00 2.000000e+00 5.000000e-01 0.000000e+00 0.000000e+00
31854: 2.333333e+00 1.666667e+00 1.666667e+00 3.333333e-01 0.000000e+00 0.000000e+00
31854: 2.250000e+00 1.500000e+00 1.750000e+00 5.000000e-01 0.000000e+00 0.000000e+00
31854: 2.200000e+00 1.800000e+00 1.600000e+00 4.000000e-01 0.000000e+00 0.000000e+00
31854: 2.166667e+00 1.500000e+00 1.666667e+00 6.666667e-01 0.000000e+00 0.000000e+00
31854: 2.142857e+00 1.714286e+00 1.571429e+00 5.714286e-01 0.000000e+00 0.000000e+00
31854: 2.125000e+00 1.500000e+00 1.500000e+00 6.250000e-01 2.500000e-01 0.000000e+00
31854: 2.222222e+00 1.555556e+00 1.444444e+00 5.555556e-01 2.222222e-01 0.000000e+00
31854: 2.400000e+00 1.500000e+00 1.400000e+00 5.000000e-01 2.000000e-01 0.000000e+00
31854: 2.363636e+00 1.636364e+00 1.272727e+00 4.545455e-01 2.727273e-01 0.000000e+00
31854: 2.333333e+00 1.500000e+00 1.500000e+00 4.166667e-01 2.500000e-01 0.000000e+00
31854: 2.307692e+00 1.615385e+00 1.461538e+00 3.846154e-01 2.307692e-01 0.000000e+00
31854: 2.357143e+00 1.500000e+00 1.571429e+00 3.571429e-01 2.142857e-01 0.000000e+00
31854: 2.333333e+00 1.533333e+00 1.466667e+00 4.666667e-01 2.000000e-01 0.000000e+00
31854: 2.312500e+00 1.562500e+00 1.437500e+00 5.000000e-01 1.875000e-01 0.000000e+00
