Forked 32068
Starting to reopen 0 and 1
Calling execv `tournament0/lounres.py` (pid 32068)
Strategy 0: first ans is 1
Forked 32069
Starting to reopen 0 and 1
Calling execv `tournament0/alex_dany` (pid 32069)
32069: Started!
32069: Number of players: 6, position: 1, number of turns: 1000
32069: Random seed: 103926591
Strategy 1: first ans is 1
Forked 32070
Starting to reopen 0 and 1
Calling execv `tournament0/pzakorko.py` (pid 32070)
Strategy 2: first ans is 0
Forked 32071
Starting to reopen 0 and 1
Calling execv `tournament0/elexunix.py` (pid 32071)
Strategy 3: first ans is 2
Forked 32095
Starting to reopen 0 and 1
Calling execv `tournament0/the_best_strategy.py` (pid 32095)
Strategy 4: first ans is 0
Forked 32096
Starting to reopen 0 and 1
Calling execv `tournament0/fedro.py` (pid 32096)
Strategy 5: first ans is 0
32069: 3.000000e+00 2.000000e+00 1.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
32069: 2.500000e+00 2.000000e+00 1.500000e+00 0.000000e+00 0.000000e+00 0.000000e+00
32069: 2.666667e+00 1.333333e+00 1.666667e+00 3.333333e-01 0.000000e+00 0.000000e+00
32069: 2.750000e+00 1.500000e+00 1.250000e+00 5.000000e-01 0.000000e+00 0.000000e+00
32069: 2.800000e+00 1.400000e+00 1.400000e+00 4.000000e-01 0.000000e+00 0.000000e+00
32069: 2.833333e+00 1.666667e+00 1.166667e+00 3.333333e-01 0.000000e+00 0.000000e+00
32069: 2.714286e+00 1.571429e+00 1.428571e+00 2.857143e-01 0.000000e+00 0.000000e+00
32069: 2.750000e+00 1.625000e+00 1.375000e+00 2.500000e-01 0.000000e+00 0.000000e+00
32069: 2.666667e+00 1.555556e+00 1.555556e+00 2.222222e-01 0.000000e+00 0.000000e+00
32069: 2.600000e+00 1.600000e+00 1.500000e+00 3.000000e-01 0.000000e+00 0.000000e+00
32069: 2.545455e+00 1.545455e+00 1.545455e+00 3.636364e-01 0.000000e+00 0.000000e+00
32069: 2.500000e+00 1.666667e+00 1.500000e+00 3.333333e-01 0.000000e+00 0.000000e+00
32069: 2.461538e+00 1.615385e+00 1.615385e+00 3.076923e-01 0.000000e+00 0.000000e+00
32069: 2.428571e+00 1.714286e+00 1.500000e+00 3.571429e-01 0.000000e+00 0.000000e+00
32069: 2.533333e+00 1.600000e+00 1.533333e+00 3.333333e-01 0.000000e+00 0.000000e+00
32069: 2.500000e+00 1.562500e+00 1.500000e+00 3.750000e-01 6.250000e-02 0.000000e+00
32069: 2.470588e+00 1.588235e+00 1.529412e+00 3.529412e-01 5.882353e-02 0.000000e+00
32069: 2.444444e+00 1.611111e+00 1.500000e+00 3.888889e-01 5.555556e-02 0.000000e+00
32069: 2.421053e+00 1.578947e+00 1.578947e+00 3.684211e-01 5.263158e-02 0.000000e+00
32069: 2.450000e+00 1.550000e+00 1.500000e+00 4.500000e-01 5.000000e-02 0.000000e+00
32069: 2.523810e+00 1.571429e+00 1.428571e+00 4.285714e-01 4.761905e-02 0.000000e+00
32069: 2.500000e+00 1.545455e+00 1.500000e+00 4.090909e-01 4.545455e-02 0.000000e+00
32069: 2.478261e+00 1.652174e+00 1.434783e+00 3.913043e-01 4.347826e-02 0.000000e+00
32069: 2.541667e+00 1.583333e+00 1.458333e+00 3.750000e-01 4.166667e-02 0.000000e+00
32069: 2.560000e+00 1.600000e+00 1.440000e+00 3.600000e-01 4.000000e-02 0.000000e+00
32069: 2.576923e+00 1.538462e+00 1.461538e+00 3.846154e-01 3.846154e-02 0.000000e+00
32069: 2.592593e+00 1.555556e+00 1.444444e+00 3.703704e-01 3.703704e-02 0.000000e+00
32069: 2.571429e+00 1.535714e+00 1.500000e+00 3.571429e-01 3.571429e-02 0.000000e+00
32069: 2.551724e+00 1.551724e+00 1.482759e+00 3.793103e-01 3.448276e-02 0.000000e+00
32069: 2.566667e+00 1.533333e+00 1.466667e+00 3.666667e-01 6.666667e-02 0.000000e+00
32069: 2.548387e+00 1.548387e+00 1.419355e+00 4.193548e-01 6.451613e-02 0.000000e+00
