Forked 32333
Starting to reopen 0 and 1
Calling execv `tournament0/pzakorko.py` (pid 32333)
Strategy 0: first ans is 0
Forked 32334
Starting to reopen 0 and 1
Calling execv `tournament0/elexunix.py` (pid 32334)
Strategy 1: first ans is 1
Forked 32358
Starting to reopen 0 and 1
Calling execv `tournament0/alex_dany` (pid 32358)
32358: Started!
32358: Number of players: 6, position: 2, number of turns: 1000
32358: Random seed: 3223383851
Strategy 2: first ans is 0
Forked 32359
Starting to reopen 0 and 1
Calling execv `tournament0/the_best_strategy.py` (pid 32359)
Strategy 3: first ans is 0
Forked 32360
Starting to reopen 0 and 1
Calling execv `tournament0/lounres.py` (pid 32360)
Strategy 4: first ans is 1
Forked 32361
Starting to reopen 0 and 1
Calling execv `tournament0/fedro.py` (pid 32361)
Strategy 5: first ans is 0
32358: 4.000000e+00 2.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
32358: 3.500000e+00 1.000000e+00 1.000000e+00 5.000000e-01 0.000000e+00 0.000000e+00
32358: 3.333333e+00 1.333333e+00 6.666667e-01 3.333333e-01 3.333333e-01 0.000000e+00
32358: 3.000000e+00 1.250000e+00 1.250000e+00 2.500000e-01 2.500000e-01 0.000000e+00
32358: 3.000000e+00 1.400000e+00 1.200000e+00 2.000000e-01 2.000000e-01 0.000000e+00
32358: 2.833333e+00 1.500000e+00 1.333333e+00 1.666667e-01 1.666667e-01 0.000000e+00
32358: 2.857143e+00 1.428571e+00 1.285714e+00 2.857143e-01 1.428571e-01 0.000000e+00
32358: 2.750000e+00 1.750000e+00 1.125000e+00 2.500000e-01 1.250000e-01 0.000000e+00
32358: 2.777778e+00 1.555556e+00 1.222222e+00 2.222222e-01 2.222222e-01 0.000000e+00
32358: 2.700000e+00 1.700000e+00 1.100000e+00 3.000000e-01 2.000000e-01 0.000000e+00
32358: 2.727273e+00 1.545455e+00 1.272727e+00 2.727273e-01 1.818182e-01 0.000000e+00
32358: 2.666667e+00 1.583333e+00 1.166667e+00 3.333333e-01 1.666667e-01 8.333333e-02
32358: 2.615385e+00 1.538462e+00 1.307692e+00 3.076923e-01 1.538462e-01 7.692308e-02
32358: 2.642857e+00 1.571429e+00 1.214286e+00 2.857143e-01 2.142857e-01 7.142857e-02
32358: 2.600000e+00 1.533333e+00 1.266667e+00 2.666667e-01 2.666667e-01 6.666667e-02
32358: 2.687500e+00 1.562500e+00 1.187500e+00 2.500000e-01 2.500000e-01 6.250000e-02
32358: 2.647059e+00 1.529412e+00 1.294118e+00 2.352941e-01 2.352941e-01 5.882353e-02
32358: 2.666667e+00 1.555556e+00 1.277778e+00 2.222222e-01 2.222222e-01 5.555556e-02
32358: 2.631579e+00 1.526316e+00 1.368421e+00 2.105263e-01 2.105263e-01 5.263158e-02
32358: 2.600000e+00 1.600000e+00 1.300000e+00 2.500000e-01 2.000000e-01 5.000000e-02
32358: 2.571429e+00 1.571429e+00 1.380952e+00 2.380952e-01 1.904762e-01 4.761905e-02
32358: 2.590909e+00 1.545455e+00 1.409091e+00 2.272727e-01 1.818182e-01 4.545455e-02
32358: 2.565217e+00 1.608696e+00 1.347826e+00 2.608696e-01 1.739130e-01 4.347826e-02
32358: 2.541667e+00 1.541667e+00 1.416667e+00 2.916667e-01 1.666667e-01 4.166667e-02
32358: 2.520000e+00 1.600000e+00 1.360000e+00 3.200000e-01 1.600000e-01 4.000000e-02
32358: 2.500000e+00 1.576923e+00 1.423077e+00 3.076923e-01 1.538462e-01 3.846154e-02
32358: 2.481481e+00 1.629630e+00 1.407407e+00 2.962963e-01 1.481481e-01 3.703704e-02
32358: 2.464286e+00 1.607143e+00 1.464286e+00 2.857143e-01 1.428571e-01 3.571429e-02
32358: 2.482759e+00 1.586207e+00 1.448276e+00 3.103448e-01 1.379310e-01 3.448276e-02
32358: 2.533333e+00 1.566667e+00 1.433333e+00 3.000000e-01 1.333333e-01 3.333333e-02
32358: 2.516129e+00 1.580645e+00 1.419355e+00 2.903226e-01 1.612903e-01 3.225806e-02
32358: 2.500000e+00 1.531250e+00 1.500000e+00 2.812500e-01 1.562500e-01 3.125000e-02
32358: 2.484848e+00 1.575758e+00 1.454545e+00 3.030303e-01 1.515152e-01 3.030303e-02
32358: 2.470588e+00 1.529412e+00 1.529412e+00 2.941176e-01 1.470588e-01 2.941176e-02
32358: 2.485714e+00 1.542857e+00 1.514286e+00 2.857143e-01 1.428571e-01 2.857143e-02
32358: 2.472222e+00 1.583333e+00 1.500000e+00 2.777778e-01 1.388889e-01 2.777778e-02
32358: 2.459459e+00 1.540541e+00 1.540541e+00 2.972973e-01 1.351351e-01 2.702703e-02
32358: 2.447368e+00 1.578947e+00 1.526316e+00 2.894737e-01 1.315789e-01 2.631579e-02
32358: 2.461538e+00 1.564103e+00 1.538462e+00 2.820513e-01 1.282051e-01 2.564103e-02
32358: 2.450000e+00 1.600000e+00 1.500000e+00 3.000000e-01 1.250000e-01 2.500000e-02
32358: 2.439024e+00 1.585366e+00 1.536585e+00 2.926829e-01 1.219512e-01 2.439024e-02
32358: 2.428571e+00 1.595238e+00 1.523810e+00 2.857143e-01 1.428571e-01 2.380952e-02
32358: 2.418605e+00 1.558140e+00 1.581395e+00 2.790698e-01 1.395349e-01 2.325581e-02
32358: 2.431818e+00 1.568182e+00 1.545455e+00 2.954545e-01 1.363636e-01 2.272727e-02
32358: 2.466667e+00 1.555556e+00 1.533333e+00 2.888889e-01 1.333333e-01 2.222222e-02
32358: 2.456522e+00 1.565217e+00 1.521739e+00 2.826087e-01 1.304348e-01 4.347826e-02
32358: 2.446809e+00 1.574468e+00 1.531915e+00 2.765957e-01 1.276596e-01 4.255319e-02
32358: 2.458333e+00 1.562500e+00 1.520833e+00 2.916667e-01 1.250000e-01 4.166667e-02
32358: 2.469388e+00 1.571429e+00 1.510204e+00 2.857143e-01 1.224490e-01 4.081633e-02
32358: 2.460000e+00 1.540000e+00 1.540000e+00 3.000000e-01 1.200000e-01 4.000000e-02
32358: 2.470588e+00 1.549020e+00 1.529412e+00 2.941176e-01 1.176471e-01 3.921569e-02
32358: 2.461538e+00 1.538462e+00 1.519231e+00 3.269231e-01 1.153846e-01 3.846154e-02
32358: 2.471698e+00 1.566038e+00 1.490566e+00 3.207547e-01 1.132075e-01 3.773585e-02
32358: 2.462963e+00 1.555556e+00 1.481481e+00 3.518519e-01 1.111111e-01 3.703704e-02
32358: 2.490909e+00 1.563636e+00 1.454545e+00 3.454545e-01 1.090909e-01 3.636364e-02
32358: 2.482143e+00 1.553571e+00 1.464286e+00 3.392857e-01 1.250000e-01 3.571429e-02
32358: 2.456140e+00 1.578947e+00 1.456140e+00 3.333333e-01 1.403509e-01 3.508772e-02
32358: 2.482759e+00 1.568966e+00 1.448276e+00 3.275862e-01 1.379310e-01 3.448276e-02
32358: 2.457627e+00 1.576271e+00 1.457627e+00 3.389831e-01 1.355932e-01 3.389831e-02
32358: 2.466667e+00 1.566667e+00 1.466667e+00 3.333333e-01 1.333333e-01 3.333333e-02
32358: 2.442623e+00 1.606557e+00 1.442623e+00 3.278689e-01 1.475410e-01 3.278689e-02
32358: 2.435484e+00 1.596774e+00 1.467742e+00 3.225806e-01 1.451613e-01 3.225806e-02
32358: 2.412698e+00 1.603175e+00 1.492063e+00 3.174603e-01 1.428571e-01 3.174603e-02
32358: 2.406250e+00 1.593750e+00 1.484375e+00 3.281250e-01 1.406250e-01 4.687500e-02
32358: 2.384615e+00 1.600000e+00 1.492308e+00 3.384615e-01 1.384615e-01 4.615385e-02
32358: 2.378788e+00 1.590909e+00 1.500000e+00 3.484848e-01 1.363636e-01 4.545455e-02
32358: 2.373134e+00 1.582090e+00 1.507463e+00 3.432836e-01 1.343284e-01 5.970149e-02
32358: 2.382353e+00 1.573529e+00 1.514706e+00 3.382353e-01 1.323529e-01 5.882353e-02
32358: 2.376812e+00 1.594203e+00 1.507246e+00 3.333333e-01 1.304348e-01 5.797101e-02
32358: 2.357143e+00 1.600000e+00 1.514286e+00 3.285714e-01 1.428571e-01 5.714286e-02
32358: 2.366197e+00 1.591549e+00 1.507042e+00 3.239437e-01 1.549296e-01 5.633803e-02
32358: 2.347222e+00 1.611111e+00 1.513889e+00 3.194444e-01 1.527778e-01 5.555556e-02
32358: 2.342466e+00 1.616438e+00 1.520548e+00 3.150685e-01 1.506849e-01 5.479452e-02
32358: 2.324324e+00 1.621622e+00 1.527027e+00 3.243243e-01 1.486486e-01 5.405405e-02
32358: 2.333333e+00 1.626667e+00 1.520000e+00 3.200000e-01 1.466667e-01 5.333333e-02
32358: 2.328947e+00 1.605263e+00 1.552632e+00 3.157895e-01 1.447368e-01 5.263158e-02
32358: 2.311688e+00 1.610390e+00 1.558442e+00 3.246753e-01 1.428571e-01 5.194805e-02
32358: 2.320513e+00 1.602564e+00 1.551282e+00 3.205128e-01 1.538462e-01 5.128205e-02
32358: 2.303797e+00 1.620253e+00 1.556962e+00 3.164557e-01 1.518987e-01 5.063291e-02
32358: 2.312500e+00 1.600000e+00 1.562500e+00 3.250000e-01 1.500000e-01 5.000000e-02
