Forked 32386
Starting to reopen 0 and 1
Calling execv `tournament0/elexunix.py` (pid 32386)
Strategy 0: first ans is 3
Forked 32410
Starting to reopen 0 and 1
Calling execv `tournament0/alex_dany` (pid 32410)
32410: Started!
32410: Number of players: 6, position: 1, number of turns: 1000
32410: Random seed: 476488206
Strategy 1: first ans is 1
Forked 32411
Starting to reopen 0 and 1
Calling execv `tournament0/the_best_strategy.py` (pid 32411)
Strategy 2: first ans is 0
Forked 32412
Starting to reopen 0 and 1
Calling execv `tournament0/fedro.py` (pid 32412)
Strategy 3: first ans is 0
Forked 32436
Starting to reopen 0 and 1
Calling execv `tournament0/pzakorko.py` (pid 32436)
Strategy 4: first ans is 0
Forked 32437
Starting to reopen 0 and 1
Calling execv `tournament0/lounres.py` (pid 32437)
Strategy 5: first ans is 1
32410: 3.000000e+00 2.000000e+00 0.000000e+00 1.000000e+00 0.000000e+00 0.000000e+00
32410: 2.500000e+00 2.000000e+00 1.000000e+00 5.000000e-01 0.000000e+00 0.000000e+00
32410: 3.000000e+00 1.333333e+00 1.000000e+00 6.666667e-01 0.000000e+00 0.000000e+00
32410: 3.000000e+00 1.500000e+00 1.000000e+00 5.000000e-01 0.000000e+00 0.000000e+00
32410: 2.800000e+00 1.400000e+00 1.200000e+00 6.000000e-01 0.000000e+00 0.000000e+00
32410: 2.666667e+00 1.500000e+00 1.166667e+00 6.666667e-01 0.000000e+00 0.000000e+00
32410: 2.571429e+00 1.428571e+00 1.142857e+00 7.142857e-01 1.428571e-01 0.000000e+00
32410: 2.625000e+00 1.500000e+00 1.125000e+00 6.250000e-01 1.250000e-01 0.000000e+00
32410: 2.555556e+00 1.555556e+00 1.222222e+00 5.555556e-01 1.111111e-01 0.000000e+00
32410: 2.500000e+00 1.600000e+00 1.100000e+00 7.000000e-01 1.000000e-01 0.000000e+00
32410: 2.454545e+00 1.454545e+00 1.363636e+00 6.363636e-01 9.090909e-02 0.000000e+00
32410: 2.416667e+00 1.583333e+00 1.333333e+00 5.833333e-01 8.333333e-02 0.000000e+00
32410: 2.384615e+00 1.461538e+00 1.384615e+00 6.923077e-01 7.692308e-02 0.000000e+00
32410: 2.357143e+00 1.571429e+00 1.357143e+00 6.428571e-01 7.142857e-02 0.000000e+00
32410: 2.400000e+00 1.533333e+00 1.400000e+00 6.000000e-01 6.666667e-02 0.000000e+00
32410: 2.437500e+00 1.562500e+00 1.375000e+00 5.625000e-01 6.250000e-02 0.000000e+00
32410: 2.411765e+00 1.529412e+00 1.411765e+00 5.882353e-01 5.882353e-02 0.000000e+00
32410: 2.388889e+00 1.555556e+00 1.333333e+00 6.666667e-01 5.555556e-02 0.000000e+00
32410: 2.368421e+00 1.578947e+00 1.368421e+00 6.315789e-01 5.263158e-02 0.000000e+00
32410: 2.350000e+00 1.500000e+00 1.450000e+00 6.500000e-01 5.000000e-02 0.000000e+00
