Forked 32598
Starting to reopen 0 and 1
Calling execv `tournament0/pzakorko.py` (pid 32598)
Strategy 0: first ans is 0
Forked 32599
Starting to reopen 0 and 1
Calling execv `tournament0/fedro.py` (pid 32599)
Strategy 1: first ans is 0
Forked 32623
Starting to reopen 0 and 1
Calling execv `tournament0/the_best_strategy.py` (pid 32623)
Strategy 2: first ans is 0
Forked 32624
Starting to reopen 0 and 1
Calling execv `tournament0/alex_dany` (pid 32624)
32624: Started!
32624: Number of players: 6, position: 3, number of turns: 1000
32624: Random seed: 588959352
Strategy 3: first ans is 0
Forked 32625
Starting to reopen 0 and 1
Calling execv `tournament0/elexunix.py` (pid 32625)
Strategy 4: first ans is 0
Forked 32649
Starting to reopen 0 and 1
Calling execv `tournament0/lounres.py` (pid 32649)
Strategy 5: first ans is 1
32624: 5.000000e+00 1.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
32624: 3.500000e+00 1.500000e+00 0.000000e+00 1.000000e+00 0.000000e+00 0.000000e+00
32624: 3.000000e+00 1.666667e+00 3.333333e-01 6.666667e-01 3.333333e-01 0.000000e+00
32624: 2.750000e+00 1.750000e+00 7.500000e-01 5.000000e-01 2.500000e-01 0.000000e+00
32624: 2.800000e+00 1.400000e+00 8.000000e-01 6.000000e-01 4.000000e-01 0.000000e+00
32624: 2.666667e+00 1.666667e+00 8.333333e-01 5.000000e-01 3.333333e-01 0.000000e+00
32624: 2.571429e+00 1.428571e+00 1.142857e+00 4.285714e-01 4.285714e-01 0.000000e+00
32624: 2.500000e+00 1.500000e+00 1.125000e+00 5.000000e-01 3.750000e-01 0.000000e+00
32624: 2.555556e+00 1.555556e+00 1.111111e+00 4.444444e-01 3.333333e-01 0.000000e+00
32624: 2.600000e+00 1.500000e+00 1.200000e+00 4.000000e-01 3.000000e-01 0.000000e+00
32624: 2.545455e+00 1.545455e+00 1.272727e+00 3.636364e-01 2.727273e-01 0.000000e+00
32624: 2.583333e+00 1.500000e+00 1.166667e+00 4.166667e-01 2.500000e-01 8.333333e-02
32624: 2.615385e+00 1.538462e+00 1.076923e+00 3.846154e-01 3.076923e-01 7.692308e-02
32624: 2.571429e+00 1.571429e+00 1.142857e+00 3.571429e-01 2.857143e-01 7.142857e-02
32624: 2.533333e+00 1.533333e+00 1.133333e+00 4.000000e-01 3.333333e-01 6.666667e-02
32624: 2.500000e+00 1.562500e+00 1.187500e+00 3.750000e-01 3.125000e-01 6.250000e-02
32624: 2.470588e+00 1.588235e+00 1.176471e+00 4.117647e-01 2.941176e-01 5.882353e-02
