Forked 33234
Starting to reopen 0 and 1
Calling execv `tournament0/pzakorko.py` (pid 33234)
Strategy 0: first ans is 0
Forked 33235
Starting to reopen 0 and 1
Calling execv `tournament0/the_best_strategy.py` (pid 33235)
Strategy 1: first ans is 0
Forked 33236
Starting to reopen 0 and 1
Calling execv `tournament0/lounres.py` (pid 33236)
Strategy 2: first ans is 1
Forked 33237
Starting to reopen 0 and 1
Calling execv `tournament0/elexunix.py` (pid 33237)
Strategy 3: first ans is 1
Forked 33261
Starting to reopen 0 and 1
Calling execv `tournament0/alex_dany` (pid 33261)
33261: Started!
33261: Number of players: 6, position: 4, number of turns: 1000
33261: Random seed: 1136796722
Strategy 4: first ans is 1
Forked 33262
Starting to reopen 0 and 1
Calling execv `tournament0/fedro.py` (pid 33262)
Strategy 5: first ans is 0
33261: 3.000000e+00 3.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
33261: 2.500000e+00 1.500000e+00 1.500000e+00 5.000000e-01 0.000000e+00 0.000000e+00
33261: 2.666667e+00 2.000000e+00 1.000000e+00 3.333333e-01 0.000000e+00 0.000000e+00
33261: 2.750000e+00 1.500000e+00 1.500000e+00 2.500000e-01 0.000000e+00 0.000000e+00
33261: 2.800000e+00 1.800000e+00 1.200000e+00 2.000000e-01 0.000000e+00 0.000000e+00
33261: 2.666667e+00 1.833333e+00 1.333333e+00 1.666667e-01 0.000000e+00 0.000000e+00
33261: 2.714286e+00 1.571429e+00 1.285714e+00 2.857143e-01 1.428571e-01 0.000000e+00
33261: 2.625000e+00 1.500000e+00 1.500000e+00 2.500000e-01 1.250000e-01 0.000000e+00
33261: 2.555556e+00 1.555556e+00 1.333333e+00 3.333333e-01 2.222222e-01 0.000000e+00
33261: 2.700000e+00 1.500000e+00 1.300000e+00 3.000000e-01 2.000000e-01 0.000000e+00
33261: 2.818182e+00 1.545455e+00 1.181818e+00 2.727273e-01 1.818182e-01 0.000000e+00
33261: 2.750000e+00 1.500000e+00 1.250000e+00 2.500000e-01 2.500000e-01 0.000000e+00
