Forked 33499
Starting to reopen 0 and 1
Calling execv `tournament0/pzakorko.py` (pid 33499)
Strategy 0: first ans is 0
Forked 33500
Starting to reopen 0 and 1
Calling execv `tournament0/fedro.py` (pid 33500)
Strategy 1: first ans is 0
Forked 33524
Starting to reopen 0 and 1
Calling execv `tournament0/elexunix.py` (pid 33524)
Strategy 2: first ans is 3
Forked 33548
Starting to reopen 0 and 1
Calling execv `tournament0/the_best_strategy.py` (pid 33548)
Strategy 3: first ans is 0
Forked 33549
Starting to reopen 0 and 1
Calling execv `tournament0/alex_dany` (pid 33549)
33549: Started!
33549: Number of players: 6, position: 4, number of turns: 1000
33549: Random seed: 1695023711
Strategy 4: first ans is 1
Forked 33550
Starting to reopen 0 and 1
Calling execv `tournament0/lounres.py` (pid 33550)
Strategy 5: first ans is 1
33549: 3.000000e+00 2.000000e+00 0.000000e+00 1.000000e+00 0.000000e+00 0.000000e+00
33549: 2.500000e+00 1.500000e+00 1.500000e+00 5.000000e-01 0.000000e+00 0.000000e+00
33549: 2.666667e+00 1.666667e+00 1.333333e+00 3.333333e-01 0.000000e+00 0.000000e+00
33549: 2.750000e+00 1.250000e+00 1.500000e+00 2.500000e-01 2.500000e-01 0.000000e+00
33549: 2.800000e+00 1.400000e+00 1.200000e+00 4.000000e-01 2.000000e-01 0.000000e+00
33549: 2.666667e+00 1.500000e+00 1.333333e+00 3.333333e-01 1.666667e-01 0.000000e+00
33549: 2.571429e+00 1.428571e+00 1.285714e+00 5.714286e-01 1.428571e-01 0.000000e+00
33549: 2.500000e+00 1.500000e+00 1.250000e+00 5.000000e-01 2.500000e-01 0.000000e+00
33549: 2.555556e+00 1.555556e+00 1.222222e+00 4.444444e-01 2.222222e-01 0.000000e+00
33549: 2.600000e+00 1.600000e+00 1.200000e+00 4.000000e-01 2.000000e-01 0.000000e+00
33549: 2.636364e+00 1.545455e+00 1.272727e+00 3.636364e-01 1.818182e-01 0.000000e+00
33549: 2.583333e+00 1.666667e+00 1.250000e+00 3.333333e-01 1.666667e-01 0.000000e+00
33549: 2.538462e+00 1.538462e+00 1.384615e+00 3.846154e-01 1.538462e-01 0.000000e+00
33549: 2.500000e+00 1.714286e+00 1.285714e+00 3.571429e-01 1.428571e-01 0.000000e+00
33549: 2.533333e+00 1.666667e+00 1.333333e+00 3.333333e-01 1.333333e-01 0.000000e+00
33549: 2.625000e+00 1.625000e+00 1.312500e+00 3.125000e-01 1.250000e-01 0.000000e+00
33549: 2.647059e+00 1.588235e+00 1.352941e+00 2.941176e-01 1.176471e-01 0.000000e+00
33549: 2.666667e+00 1.611111e+00 1.333333e+00 2.777778e-01 1.111111e-01 0.000000e+00
33549: 2.631579e+00 1.578947e+00 1.368421e+00 2.631579e-01 1.578947e-01 0.000000e+00
33549: 2.650000e+00 1.550000e+00 1.400000e+00 2.500000e-01 1.500000e-01 0.000000e+00
33549: 2.666667e+00 1.571429e+00 1.333333e+00 2.857143e-01 1.428571e-01 0.000000e+00
33549: 2.681818e+00 1.545455e+00 1.363636e+00 2.727273e-01 1.363636e-01 0.000000e+00
33549: 2.652174e+00 1.608696e+00 1.347826e+00 2.608696e-01 1.304348e-01 0.000000e+00
33549: 2.666667e+00 1.583333e+00 1.375000e+00 2.500000e-01 1.250000e-01 0.000000e+00
33549: 2.680000e+00 1.600000e+00 1.360000e+00 2.400000e-01 1.200000e-01 0.000000e+00
33549: 2.653846e+00 1.576923e+00 1.384615e+00 2.692308e-01 1.153846e-01 0.000000e+00
33549: 2.629630e+00 1.592593e+00 1.407407e+00 2.592593e-01 1.111111e-01 0.000000e+00
33549: 2.607143e+00 1.535714e+00 1.428571e+00 2.857143e-01 1.428571e-01 0.000000e+00
33549: 2.586207e+00 1.551724e+00 1.413793e+00 2.758621e-01 1.724138e-01 0.000000e+00
33549: 2.566667e+00 1.533333e+00 1.433333e+00 2.666667e-01 2.000000e-01 0.000000e+00
33549: 2.548387e+00 1.548387e+00 1.419355e+00 2.903226e-01 1.935484e-01 0.000000e+00
33549: 2.531250e+00 1.562500e+00 1.406250e+00 3.125000e-01 1.875000e-01 0.000000e+00
33549: 2.545455e+00 1.545455e+00 1.424242e+00 3.030303e-01 1.818182e-01 0.000000e+00
33549: 2.558824e+00 1.588235e+00 1.382353e+00 2.941176e-01 1.764706e-01 0.000000e+00
33549: 2.542857e+00 1.571429e+00 1.428571e+00 2.857143e-01 1.714286e-01 0.000000e+00
33549: 2.527778e+00 1.555556e+00 1.444444e+00 2.777778e-01 1.944444e-01 0.000000e+00
33549: 2.513514e+00 1.567568e+00 1.432432e+00 2.702703e-01 2.162162e-01 0.000000e+00
33549: 2.500000e+00 1.605263e+00 1.421053e+00 2.631579e-01 2.105263e-01 0.000000e+00
33549: 2.512821e+00 1.589744e+00 1.435897e+00 2.564103e-01 2.051282e-01 0.000000e+00
33549: 2.525000e+00 1.600000e+00 1.425000e+00 2.500000e-01 2.000000e-01 0.000000e+00
33549: 2.560976e+00 1.560976e+00 1.439024e+00 2.439024e-01 1.951220e-01 0.000000e+00
33549: 2.547619e+00 1.571429e+00 1.452381e+00 2.380952e-01 1.904762e-01 0.000000e+00
33549: 2.558140e+00 1.534884e+00 1.465116e+00 2.558140e-01 1.860465e-01 0.000000e+00
33549: 2.545455e+00 1.568182e+00 1.431818e+00 2.727273e-01 1.818182e-01 0.000000e+00
33549: 2.533333e+00 1.555556e+00 1.422222e+00 3.111111e-01 1.777778e-01 0.000000e+00
33549: 2.543478e+00 1.586957e+00 1.391304e+00 3.043478e-01 1.739130e-01 0.000000e+00
33549: 2.531915e+00 1.553191e+00 1.446809e+00 2.978723e-01 1.702128e-01 0.000000e+00
