Forked 41451
Starting to reopen 0 and 1
Calling execv `tournament0/elexunix.py` (pid 41451)
Strategy 0: first ans is 2
Forked 41475
Starting to reopen 0 and 1
Calling execv `tournament0/fedro.py` (pid 41475)
Strategy 1: first ans is 0
Forked 41499
Starting to reopen 0 and 1
Calling execv `tournament0/alex_dany` (pid 41499)
41499: Started!
41499: Number of players: 3, position: 2, number of turns: 1000
41499: Random seed: 4183311584
Strategy 2: first ans is 1
41499: 1.000000e+00 1.000000e+00 1.000000e+00
41499: 2.000000e+00 5.000000e-01 5.000000e-01
41499: 1.666667e+00 6.666667e-01 6.666667e-01
41499: 1.500000e+00 1.000000e+00 5.000000e-01
41499: 1.800000e+00 8.000000e-01 4.000000e-01
41499: 1.666667e+00 8.333333e-01 5.000000e-01
41499: 1.714286e+00 8.571429e-01 4.285714e-01
41499: 1.750000e+00 8.750000e-01 3.750000e-01
41499: 1.666667e+00 8.888889e-01 4.444444e-01
41499: 1.700000e+00 9.000000e-01 4.000000e-01
41499: 1.636364e+00 1.000000e+00 3.636364e-01
41499: 1.583333e+00 1.083333e+00 3.333333e-01
41499: 1.615385e+00 1.076923e+00 3.076923e-01
41499: 1.571429e+00 1.142857e+00 2.857143e-01
41499: 1.600000e+00 1.133333e+00 2.666667e-01
41499: 1.625000e+00 1.125000e+00 2.500000e-01
41499: 1.647059e+00 1.117647e+00 2.352941e-01
41499: 1.611111e+00 1.166667e+00 2.222222e-01
41499: 1.631579e+00 1.157895e+00 2.105263e-01
41499: 1.650000e+00 1.150000e+00 2.000000e-01
41499: 1.666667e+00 1.142857e+00 1.904762e-01
41499: 1.636364e+00 1.136364e+00 2.272727e-01
41499: 1.652174e+00 1.130435e+00 2.173913e-01
41499: 1.625000e+00 1.166667e+00 2.083333e-01
41499: 1.600000e+00 1.200000e+00 2.000000e-01
41499: 1.576923e+00 1.230769e+00 1.923077e-01
41499: 1.555556e+00 1.222222e+00 2.222222e-01
41499: 1.607143e+00 1.178571e+00 2.142857e-01
41499: 1.586207e+00 1.172414e+00 2.413793e-01
41499: 1.566667e+00 1.166667e+00 2.666667e-01
41499: 1.580645e+00 1.129032e+00 2.903226e-01
41499: 1.593750e+00 1.125000e+00 2.812500e-01
41499: 1.606061e+00 1.121212e+00 2.727273e-01
41499: 1.588235e+00 1.147059e+00 2.647059e-01
41499: 1.571429e+00 1.171429e+00 2.571429e-01
41499: 1.555556e+00 1.166667e+00 2.777778e-01
41499: 1.594595e+00 1.135135e+00 2.702703e-01
41499: 1.605263e+00 1.131579e+00 2.631579e-01
41499: 1.589744e+00 1.153846e+00 2.564103e-01
41499: 1.575000e+00 1.150000e+00 2.750000e-01
41499: 1.585366e+00 1.146341e+00 2.682927e-01
41499: 1.571429e+00 1.142857e+00 2.857143e-01
41499: 1.558140e+00 1.139535e+00 3.023256e-01
41499: 1.568182e+00 1.136364e+00 2.954545e-01
41499: 1.600000e+00 1.111111e+00 2.888889e-01
41499: 1.608696e+00 1.108696e+00 2.826087e-01
41499: 1.595745e+00 1.127660e+00 2.765957e-01
41499: 1.583333e+00 1.145833e+00 2.708333e-01
41499: 1.591837e+00 1.142857e+00 2.653061e-01
41499: 1.600000e+00 1.140000e+00 2.600000e-01
41499: 1.588235e+00 1.156863e+00 2.549020e-01
41499: 1.576923e+00 1.153846e+00 2.692308e-01
41499: 1.566038e+00 1.169811e+00 2.641509e-01
41499: 1.592593e+00 1.148148e+00 2.592593e-01
41499: 1.581818e+00 1.163636e+00 2.545455e-01
41499: 1.589286e+00 1.160714e+00 2.500000e-01
41499: 1.578947e+00 1.157895e+00 2.631579e-01
41499: 1.586207e+00 1.155172e+00 2.586207e-01
41499: 1.576271e+00 1.152542e+00 2.711864e-01
41499: 1.566667e+00 1.150000e+00 2.833333e-01
41499: 1.573770e+00 1.147541e+00 2.786885e-01
41499: 1.580645e+00 1.145161e+00 2.741935e-01
41499: 1.571429e+00 1.142857e+00 2.857143e-01
41499: 1.562500e+00 1.156250e+00 2.812500e-01
41499: 1.584615e+00 1.138462e+00 2.769231e-01
41499: 1.575758e+00 1.136364e+00 2.878788e-01
41499: 1.567164e+00 1.134328e+00 2.985075e-01
