Forked 41748
Starting to reopen 0 and 1
Calling execv `tournament0/elexunix.py` (pid 41748)
Strategy 0: first ans is 0
Forked 41772
Starting to reopen 0 and 1
Calling execv `tournament0/the_best_strategy.py` (pid 41772)
Strategy 1: first ans is 0
Forked 41773
Starting to reopen 0 and 1
Calling execv `tournament0/alex_dany` (pid 41773)
41773: Started!
41773: Number of players: 3, position: 2, number of turns: 1000
41773: Random seed: 402689624
Strategy 2: first ans is 1
41773: 2.000000e+00 1.000000e+00 0.000000e+00
41773: 2.000000e+00 1.000000e+00 0.000000e+00
41773: 1.666667e+00 1.333333e+00 0.000000e+00
41773: 1.500000e+00 1.250000e+00 2.500000e-01
41773: 1.600000e+00 1.200000e+00 2.000000e-01
41773: 1.500000e+00 1.166667e+00 3.333333e-01
41773: 1.714286e+00 1.000000e+00 2.857143e-01
41773: 1.625000e+00 1.000000e+00 3.750000e-01
41773: 1.666667e+00 1.000000e+00 3.333333e-01
41773: 1.700000e+00 1.000000e+00 3.000000e-01
41773: 1.727273e+00 1.000000e+00 2.727273e-01
41773: 1.750000e+00 1.000000e+00 2.500000e-01
41773: 1.769231e+00 1.000000e+00 2.307692e-01
41773: 1.714286e+00 1.071429e+00 2.142857e-01
41773: 1.733333e+00 1.066667e+00 2.000000e-01
41773: 1.750000e+00 1.062500e+00 1.875000e-01
41773: 1.705882e+00 1.058824e+00 2.352941e-01
41773: 1.666667e+00 1.111111e+00 2.222222e-01
41773: 1.684211e+00 1.105263e+00 2.105263e-01
41773: 1.650000e+00 1.100000e+00 2.500000e-01
41773: 1.666667e+00 1.095238e+00 2.380952e-01
41773: 1.636364e+00 1.090909e+00 2.727273e-01
41773: 1.608696e+00 1.130435e+00 2.608696e-01
41773: 1.583333e+00 1.125000e+00 2.916667e-01
41773: 1.560000e+00 1.120000e+00 3.200000e-01
41773: 1.576923e+00 1.115385e+00 3.076923e-01
41773: 1.555556e+00 1.148148e+00 2.962963e-01
41773: 1.571429e+00 1.107143e+00 3.214286e-01
41773: 1.586207e+00 1.103448e+00 3.103448e-01
41773: 1.600000e+00 1.100000e+00 3.000000e-01
41773: 1.580645e+00 1.096774e+00 3.225806e-01
41773: 1.562500e+00 1.125000e+00 3.125000e-01
41773: 1.575758e+00 1.121212e+00 3.030303e-01
41773: 1.558824e+00 1.147059e+00 2.941176e-01
41773: 1.600000e+00 1.114286e+00 2.857143e-01
41773: 1.583333e+00 1.138889e+00 2.777778e-01
41773: 1.594595e+00 1.135135e+00 2.702703e-01
41773: 1.578947e+00 1.157895e+00 2.631579e-01
41773: 1.589744e+00 1.153846e+00 2.564103e-01
41773: 1.575000e+00 1.150000e+00 2.750000e-01
41773: 1.560976e+00 1.146341e+00 2.926829e-01
41773: 1.571429e+00 1.142857e+00 2.857143e-01
41773: 1.558140e+00 1.162791e+00 2.790698e-01
41773: 1.568182e+00 1.159091e+00 2.727273e-01
41773: 1.600000e+00 1.133333e+00 2.666667e-01
41773: 1.608696e+00 1.130435e+00 2.608696e-01
41773: 1.617021e+00 1.127660e+00 2.553191e-01
41773: 1.625000e+00 1.125000e+00 2.500000e-01
41773: 1.612245e+00 1.142857e+00 2.448980e-01
41773: 1.600000e+00 1.160000e+00 2.400000e-01
41773: 1.607843e+00 1.156863e+00 2.352941e-01
41773: 1.596154e+00 1.173077e+00 2.307692e-01
41773: 1.584906e+00 1.188679e+00 2.264151e-01
41773: 1.592593e+00 1.185185e+00 2.222222e-01
41773: 1.581818e+00 1.200000e+00 2.181818e-01
41773: 1.571429e+00 1.214286e+00 2.142857e-01
41773: 1.561404e+00 1.210526e+00 2.280702e-01
41773: 1.586207e+00 1.189655e+00 2.241379e-01
41773: 1.576271e+00 1.186441e+00 2.372881e-01
41773: 1.566667e+00 1.183333e+00 2.500000e-01
41773: 1.573770e+00 1.163934e+00 2.622951e-01
41773: 1.564516e+00 1.161290e+00 2.741935e-01
41773: 1.571429e+00 1.158730e+00 2.698413e-01
41773: 1.562500e+00 1.171875e+00 2.656250e-01
41773: 1.569231e+00 1.153846e+00 2.769231e-01
41773: 1.575758e+00 1.151515e+00 2.727273e-01
41773: 1.567164e+00 1.164179e+00 2.686567e-01
41773: 1.588235e+00 1.147059e+00 2.647059e-01
41773: 1.579710e+00 1.159420e+00 2.608696e-01
41773: 1.585714e+00 1.157143e+00 2.571429e-01
41773: 1.563380e+00 1.169014e+00 2.676056e-01
41773: 1.569444e+00 1.152778e+00 2.777778e-01
41773: 1.589041e+00 1.136986e+00 2.739726e-01
41773: 1.581081e+00 1.148649e+00 2.702703e-01
41773: 1.573333e+00 1.146667e+00 2.800000e-01
41773: 1.578947e+00 1.144737e+00 2.763158e-01
41773: 1.571429e+00 1.155844e+00 2.727273e-01
41773: 1.576923e+00 1.153846e+00 2.692308e-01
41773: 1.582278e+00 1.151899e+00 2.658228e-01
41773: 1.575000e+00 1.162500e+00 2.625000e-01
41773: 1.580247e+00 1.160494e+00 2.592593e-01
41773: 1.585366e+00 1.158537e+00 2.560976e-01
41773: 1.578313e+00 1.168675e+00 2.530120e-01
41773: 1.583333e+00 1.166667e+00 2.500000e-01
41773: 1.588235e+00 1.164706e+00 2.470588e-01
41773: 1.593023e+00 1.162791e+00 2.441860e-01
41773: 1.586207e+00 1.172414e+00 2.413793e-01
41773: 1.579545e+00 1.181818e+00 2.386364e-01
41773: 1.584270e+00 1.179775e+00 2.359551e-01
41773: 1.588889e+00 1.177778e+00 2.333333e-01
41773: 1.571429e+00 1.186813e+00 2.417582e-01
41773: 1.565217e+00 1.184783e+00 2.500000e-01
41773: 1.569892e+00 1.182796e+00 2.473118e-01
41773: 1.585106e+00 1.170213e+00 2.446809e-01
41773: 1.578947e+00 1.168421e+00 2.526316e-01
41773: 1.572917e+00 1.177083e+00 2.500000e-01
41773: 1.567010e+00 1.185567e+00 2.474227e-01
41773: 1.561224e+00 1.183673e+00 2.551020e-01
41773: 1.565657e+00 1.171717e+00 2.626263e-01
41773: 1.570000e+00 1.170000e+00 2.600000e-01
41773: 1.564356e+00 1.178218e+00 2.574257e-01
41773: 1.558824e+00 1.176471e+00 2.647059e-01
41773: 1.553398e+00 1.184466e+00 2.621359e-01
41773: 1.557692e+00 1.182692e+00 2.596154e-01
41773: 1.552381e+00 1.180952e+00 2.666667e-01
41773: 1.547170e+00 1.188679e+00 2.641509e-01
41773: 1.560748e+00 1.177570e+00 2.616822e-01
41773: 1.574074e+00 1.166667e+00 2.592593e-01
41773: 1.577982e+00 1.165138e+00 2.568807e-01
41773: 1.581818e+00 1.163636e+00 2.545455e-01
41773: 1.576577e+00 1.171171e+00 2.522523e-01
