Forked 41991
Starting to reopen 0 and 1
Calling execv `tournament0/the_best_strategy.py` (pid 41991)
Strategy 0: first ans is 0
Forked 41992
Starting to reopen 0 and 1
Calling execv `tournament0/alex_dany` (pid 41992)
41992: Started!
41992: Number of players: 3, position: 1, number of turns: 1000
41992: Random seed: 2278050846
Strategy 1: first ans is 1
Forked 41993
Starting to reopen 0 and 1
Calling execv `tournament0/elexunix.py` (pid 41993)
Strategy 2: first ans is 0
41992: 2.000000e+00 1.000000e+00 0.000000e+00
41992: 2.000000e+00 1.000000e+00 0.000000e+00
41992: 1.666667e+00 1.333333e+00 0.000000e+00
41992: 1.500000e+00 1.500000e+00 0.000000e+00
41992: 1.600000e+00 1.200000e+00 2.000000e-01
41992: 1.666667e+00 1.166667e+00 1.666667e-01
41992: 1.571429e+00 1.142857e+00 2.857143e-01
41992: 1.625000e+00 1.125000e+00 2.500000e-01
41992: 1.666667e+00 1.111111e+00 2.222222e-01
41992: 1.600000e+00 1.200000e+00 2.000000e-01
41992: 1.545455e+00 1.272727e+00 1.818182e-01
41992: 1.666667e+00 1.166667e+00 1.666667e-01
41992: 1.692308e+00 1.153846e+00 1.538462e-01
41992: 1.642857e+00 1.214286e+00 1.428571e-01
41992: 1.600000e+00 1.266667e+00 1.333333e-01
41992: 1.562500e+00 1.312500e+00 1.250000e-01
41992: 1.647059e+00 1.235294e+00 1.176471e-01
41992: 1.555556e+00 1.277778e+00 1.666667e-01
41992: 1.578947e+00 1.263158e+00 1.578947e-01
41992: 1.550000e+00 1.250000e+00 2.000000e-01
41992: 1.619048e+00 1.190476e+00 1.904762e-01
41992: 1.590909e+00 1.227273e+00 1.818182e-01
41992: 1.565217e+00 1.260870e+00 1.739130e-01
41992: 1.583333e+00 1.250000e+00 1.666667e-01
41992: 1.520000e+00 1.320000e+00 1.600000e-01
41992: 1.576923e+00 1.269231e+00 1.538462e-01
41992: 1.555556e+00 1.296296e+00 1.481481e-01
41992: 1.535714e+00 1.321429e+00 1.428571e-01
41992: 1.517241e+00 1.310345e+00 1.724138e-01
41992: 1.533333e+00 1.300000e+00 1.666667e-01
41992: 1.516129e+00 1.290323e+00 1.935484e-01
41992: 1.531250e+00 1.250000e+00 2.187500e-01
41992: 1.515152e+00 1.242424e+00 2.424242e-01
41992: 1.529412e+00 1.235294e+00 2.352941e-01
41992: 1.542857e+00 1.228571e+00 2.285714e-01
41992: 1.583333e+00 1.194444e+00 2.222222e-01
41992: 1.567568e+00 1.189189e+00 2.432432e-01
41992: 1.578947e+00 1.157895e+00 2.631579e-01
41992: 1.589744e+00 1.153846e+00 2.564103e-01
41992: 1.575000e+00 1.150000e+00 2.750000e-01
41992: 1.585366e+00 1.146341e+00 2.682927e-01
41992: 1.571429e+00 1.166667e+00 2.619048e-01
41992: 1.558140e+00 1.186047e+00 2.558140e-01
41992: 1.568182e+00 1.181818e+00 2.500000e-01
41992: 1.577778e+00 1.177778e+00 2.444444e-01
41992: 1.565217e+00 1.173913e+00 2.608696e-01
41992: 1.595745e+00 1.148936e+00 2.553191e-01
41992: 1.583333e+00 1.166667e+00 2.500000e-01
