Forked 42122
Starting to reopen 0 and 1
Calling execv `tournament0/lounres.py` (pid 42122)
Strategy 0: first ans is 1
Forked 42123
Starting to reopen 0 and 1
Calling execv `tournament0/pzakorko.py` (pid 42123)
Strategy 1: first ans is 0
Forked 42124
Starting to reopen 0 and 1
Calling execv `tournament0/alex_dany` (pid 42124)
42124: Started!
42124: Number of players: 3, position: 2, number of turns: 1000
42124: Random seed: 2033593131
Strategy 2: first ans is 0
42124: 2.000000e+00 1.000000e+00 0.000000e+00
42124: 1.000000e+00 1.500000e+00 5.000000e-01
42124: 1.333333e+00 1.000000e+00 6.666667e-01
42124: 1.250000e+00 1.250000e+00 5.000000e-01
42124: 1.600000e+00 1.000000e+00 4.000000e-01
42124: 1.500000e+00 1.166667e+00 3.333333e-01
42124: 1.571429e+00 1.000000e+00 4.285714e-01
42124: 1.375000e+00 1.125000e+00 5.000000e-01
42124: 1.444444e+00 1.000000e+00 5.555556e-01
42124: 1.400000e+00 1.000000e+00 6.000000e-01
42124: 1.454545e+00 9.090909e-01 6.363636e-01
42124: 1.416667e+00 9.166667e-01 6.666667e-01
42124: 1.461538e+00 9.230769e-01 6.153846e-01
42124: 1.428571e+00 1.000000e+00 5.714286e-01
42124: 1.466667e+00 1.000000e+00 5.333333e-01
42124: 1.500000e+00 1.000000e+00 5.000000e-01
42124: 1.529412e+00 1.000000e+00 4.705882e-01
42124: 1.555556e+00 1.000000e+00 4.444444e-01
42124: 1.526316e+00 1.000000e+00 4.736842e-01
42124: 1.550000e+00 1.000000e+00 4.500000e-01
42124: 1.571429e+00 1.000000e+00 4.285714e-01
42124: 1.500000e+00 1.045455e+00 4.545455e-01
42124: 1.565217e+00 1.000000e+00 4.347826e-01
42124: 1.583333e+00 1.000000e+00 4.166667e-01
42124: 1.560000e+00 1.040000e+00 4.000000e-01
42124: 1.576923e+00 1.000000e+00 4.230769e-01
42124: 1.555556e+00 1.037037e+00 4.074074e-01
42124: 1.607143e+00 1.000000e+00 3.928571e-01
42124: 1.586207e+00 1.034483e+00 3.793103e-01
42124: 1.566667e+00 1.066667e+00 3.666667e-01
42124: 1.580645e+00 1.032258e+00 3.870968e-01
42124: 1.531250e+00 1.062500e+00 4.062500e-01
42124: 1.545455e+00 1.030303e+00 4.242424e-01
42124: 1.558824e+00 1.029412e+00 4.117647e-01
42124: 1.542857e+00 1.028571e+00 4.285714e-01
42124: 1.555556e+00 1.000000e+00 4.444444e-01
42124: 1.540541e+00 1.000000e+00 4.594595e-01
42124: 1.578947e+00 9.736842e-01 4.473684e-01
42124: 1.538462e+00 1.000000e+00 4.615385e-01
42124: 1.550000e+00 9.750000e-01 4.750000e-01
42124: 1.536585e+00 1.000000e+00 4.634146e-01
42124: 1.571429e+00 9.761905e-01 4.523810e-01
42124: 1.558140e+00 1.000000e+00 4.418605e-01
42124: 1.568182e+00 9.772727e-01 4.545455e-01
42124: 1.577778e+00 9.777778e-01 4.444444e-01
42124: 1.565217e+00 1.000000e+00 4.347826e-01
42124: 1.574468e+00 9.787234e-01 4.468085e-01
42124: 1.541667e+00 1.020833e+00 4.375000e-01
42124: 1.571429e+00 1.000000e+00 4.285714e-01
42124: 1.540000e+00 1.040000e+00 4.200000e-01
42124: 1.568627e+00 1.019608e+00 4.117647e-01
42124: 1.557692e+00 1.019231e+00 4.230769e-01
42124: 1.584906e+00 1.000000e+00 4.150943e-01
42124: 1.574074e+00 1.018519e+00 4.074074e-01
42124: 1.581818e+00 1.018182e+00 4.000000e-01
42124: 1.553571e+00 1.053571e+00 3.928571e-01
42124: 1.578947e+00 1.035088e+00 3.859649e-01
42124: 1.568966e+00 1.051724e+00 3.793103e-01
42124: 1.576271e+00 1.033898e+00 3.898305e-01
42124: 1.550000e+00 1.050000e+00 4.000000e-01
42124: 1.573770e+00 1.032787e+00 3.934426e-01
42124: 1.548387e+00 1.064516e+00 3.870968e-01
42124: 1.555556e+00 1.063492e+00 3.809524e-01
42124: 1.546875e+00 1.062500e+00 3.906250e-01
42124: 1.553846e+00 1.046154e+00 4.000000e-01
42124: 1.560606e+00 1.045455e+00 3.939394e-01
42124: 1.567164e+00 1.044776e+00 3.880597e-01
42124: 1.558824e+00 1.058824e+00 3.823529e-01
42124: 1.579710e+00 1.043478e+00 3.768116e-01
42124: 1.557143e+00 1.071429e+00 3.714286e-01
42124: 1.577465e+00 1.056338e+00 3.661972e-01
42124: 1.555556e+00 1.083333e+00 3.611111e-01
42124: 1.561644e+00 1.082192e+00 3.561644e-01
42124: 1.554054e+00 1.081081e+00 3.648649e-01
42124: 1.560000e+00 1.080000e+00 3.600000e-01
42124: 1.552632e+00 1.092105e+00 3.552632e-01
42124: 1.558442e+00 1.077922e+00 3.636364e-01
42124: 1.551282e+00 1.076923e+00 3.717949e-01
42124: 1.556962e+00 1.075949e+00 3.670886e-01
42124: 1.562500e+00 1.075000e+00 3.625000e-01
42124: 1.555556e+00 1.086420e+00 3.580247e-01
42124: 1.573171e+00 1.073171e+00 3.536585e-01
42124: 1.554217e+00 1.084337e+00 3.614458e-01
42124: 1.559524e+00 1.071429e+00 3.690476e-01
42124: 1.552941e+00 1.070588e+00 3.764706e-01
42124: 1.569767e+00 1.058140e+00 3.720930e-01
42124: 1.563218e+00 1.068966e+00 3.678161e-01
42124: 1.579545e+00 1.056818e+00 3.636364e-01
42124: 1.561798e+00 1.067416e+00 3.707865e-01
42124: 1.566667e+00 1.055556e+00 3.777778e-01
42124: 1.560440e+00 1.054945e+00 3.846154e-01
42124: 1.565217e+00 1.043478e+00 3.913043e-01
42124: 1.559140e+00 1.043011e+00 3.978495e-01
42124: 1.563830e+00 1.031915e+00 4.042553e-01
42124: 1.557895e+00 1.042105e+00 4.000000e-01
42124: 1.572917e+00 1.031250e+00 3.958333e-01
42124: 1.567010e+00 1.041237e+00 3.917526e-01
42124: 1.571429e+00 1.030612e+00 3.979592e-01
42124: 1.565657e+00 1.040404e+00 3.939394e-01
42124: 1.570000e+00 1.030000e+00 4.000000e-01
42124: 1.564356e+00 1.039604e+00 3.960396e-01
42124: 1.578431e+00 1.029412e+00 3.921569e-01
42124: 1.572816e+00 1.038835e+00 3.883495e-01
42124: 1.567308e+00 1.048077e+00 3.846154e-01
42124: 1.580952e+00 1.038095e+00 3.809524e-01
42124: 1.575472e+00 1.047170e+00 3.773585e-01
42124: 1.579439e+00 1.046729e+00 3.738318e-01
42124: 1.564815e+00 1.064815e+00 3.703704e-01
42124: 1.568807e+00 1.055046e+00 3.761468e-01
42124: 1.563636e+00 1.054545e+00 3.818182e-01
42124: 1.567568e+00 1.045045e+00 3.873874e-01
42124: 1.562500e+00 1.053571e+00 3.839286e-01
42124: 1.575221e+00 1.044248e+00 3.805310e-01
42124: 1.570175e+00 1.052632e+00 3.771930e-01
42124: 1.565217e+00 1.052174e+00 3.826087e-01
42124: 1.568966e+00 1.051724e+00 3.793103e-01
42124: 1.564103e+00 1.051282e+00 3.846154e-01
42124: 1.576271e+00 1.042373e+00 3.813559e-01
42124: 1.563025e+00 1.050420e+00 3.865546e-01
42124: 1.566667e+00 1.050000e+00 3.833333e-01
42124: 1.561983e+00 1.049587e+00 3.884298e-01
42124: 1.565574e+00 1.040984e+00 3.934426e-01
42124: 1.560976e+00 1.040650e+00 3.983740e-01
42124: 1.572581e+00 1.032258e+00 3.951613e-01
42124: 1.568000e+00 1.040000e+00 3.920000e-01
42124: 1.579365e+00 1.031746e+00 3.888889e-01
42124: 1.574803e+00 1.039370e+00 3.858268e-01
42124: 1.578125e+00 1.039062e+00 3.828125e-01
42124: 1.565891e+00 1.046512e+00 3.875969e-01
42124: 1.576923e+00 1.038462e+00 3.846154e-01
42124: 1.572519e+00 1.045802e+00 3.816794e-01
42124: 1.575758e+00 1.045455e+00 3.787879e-01
42124: 1.571429e+00 1.052632e+00 3.759398e-01
42124: 1.567164e+00 1.052239e+00 3.805970e-01
42124: 1.570370e+00 1.044444e+00 3.851852e-01
42124: 1.566176e+00 1.051471e+00 3.823529e-01
42124: 1.569343e+00 1.051095e+00 3.795620e-01
42124: 1.572464e+00 1.050725e+00 3.768116e-01
42124: 1.561151e+00 1.057554e+00 3.812950e-01
42124: 1.564286e+00 1.057143e+00 3.785714e-01
42124: 1.567376e+00 1.056738e+00 3.758865e-01
42124: 1.570423e+00 1.056338e+00 3.732394e-01
42124: 1.566434e+00 1.062937e+00 3.706294e-01
42124: 1.576389e+00 1.055556e+00 3.680556e-01
42124: 1.565517e+00 1.068966e+00 3.655172e-01
42124: 1.568493e+00 1.061644e+00 3.698630e-01
42124: 1.564626e+00 1.068027e+00 3.673469e-01
42124: 1.567568e+00 1.067568e+00 3.648649e-01
42124: 1.570470e+00 1.067114e+00 3.624161e-01
42124: 1.560000e+00 1.073333e+00 3.666667e-01
42124: 1.562914e+00 1.066225e+00 3.708609e-01
42124: 1.565789e+00 1.065789e+00 3.684211e-01
42124: 1.568627e+00 1.065359e+00 3.660131e-01
42124: 1.564935e+00 1.071429e+00 3.636364e-01
42124: 1.574194e+00 1.064516e+00 3.612903e-01
42124: 1.564103e+00 1.076923e+00 3.589744e-01
42124: 1.566879e+00 1.070064e+00 3.630573e-01
42124: 1.569620e+00 1.069620e+00 3.607595e-01
42124: 1.572327e+00 1.069182e+00 3.584906e-01
42124: 1.562500e+00 1.075000e+00 3.625000e-01
42124: 1.565217e+00 1.068323e+00 3.664596e-01
42124: 1.567901e+00 1.067901e+00 3.641975e-01
42124: 1.570552e+00 1.067485e+00 3.619632e-01
42124: 1.560976e+00 1.079268e+00 3.597561e-01
42124: 1.563636e+00 1.078788e+00 3.575758e-01
42124: 1.566265e+00 1.078313e+00 3.554217e-01
42124: 1.568862e+00 1.077844e+00 3.532934e-01
42124: 1.565476e+00 1.077381e+00 3.571429e-01
42124: 1.568047e+00 1.071006e+00 3.609467e-01
