Forked 42207
Starting to reopen 0 and 1
Calling execv `tournament0/elexunix.py` (pid 42207)
Strategy 0: first ans is 0
Forked 42231
Starting to reopen 0 and 1
Calling execv `tournament0/alex_dany` (pid 42231)
42231: Started!
42231: Number of players: 3, position: 1, number of turns: 1000
42231: Random seed: 3273324130
Strategy 1: first ans is 0
Forked 42232
Starting to reopen 0 and 1
Calling execv `tournament0/fedro.py` (pid 42232)
Strategy 2: first ans is 0
42231: 3.000000e+00 0.000000e+00 0.000000e+00
42231: 2.000000e+00 1.000000e+00 0.000000e+00
42231: 2.000000e+00 1.000000e+00 0.000000e+00
42231: 1.750000e+00 1.250000e+00 0.000000e+00
42231: 1.600000e+00 1.200000e+00 2.000000e-01
42231: 1.666667e+00 1.166667e+00 1.666667e-01
42231: 1.571429e+00 1.285714e+00 1.428571e-01
42231: 1.500000e+00 1.250000e+00 2.500000e-01
42231: 1.666667e+00 1.111111e+00 2.222222e-01
42231: 1.700000e+00 1.100000e+00 2.000000e-01
42231: 1.636364e+00 1.181818e+00 1.818182e-01
42231: 1.666667e+00 1.166667e+00 1.666667e-01
42231: 1.692308e+00 1.153846e+00 1.538462e-01
42231: 1.714286e+00 1.142857e+00 1.428571e-01
42231: 1.733333e+00 1.133333e+00 1.333333e-01
42231: 1.687500e+00 1.187500e+00 1.250000e-01
42231: 1.647059e+00 1.235294e+00 1.176471e-01
42231: 1.611111e+00 1.277778e+00 1.111111e-01
42231: 1.578947e+00 1.315789e+00 1.052632e-01
42231: 1.600000e+00 1.300000e+00 1.000000e-01
42231: 1.619048e+00 1.285714e+00 9.523810e-02
42231: 1.636364e+00 1.272727e+00 9.090909e-02
42231: 1.608696e+00 1.304348e+00 8.695652e-02
42231: 1.583333e+00 1.291667e+00 1.250000e-01
42231: 1.560000e+00 1.320000e+00 1.200000e-01
42231: 1.576923e+00 1.307692e+00 1.153846e-01
42231: 1.555556e+00 1.333333e+00 1.111111e-01
42231: 1.607143e+00 1.285714e+00 1.071429e-01
42231: 1.620690e+00 1.275862e+00 1.034483e-01
42231: 1.600000e+00 1.300000e+00 1.000000e-01
42231: 1.580645e+00 1.322581e+00 9.677419e-02
42231: 1.562500e+00 1.312500e+00 1.250000e-01
42231: 1.575758e+00 1.303030e+00 1.212121e-01
42231: 1.558824e+00 1.294118e+00 1.470588e-01
42231: 1.600000e+00 1.257143e+00 1.428571e-01
42231: 1.611111e+00 1.250000e+00 1.388889e-01
42231: 1.594595e+00 1.270270e+00 1.351351e-01
42231: 1.605263e+00 1.263158e+00 1.315789e-01
42231: 1.615385e+00 1.256410e+00 1.282051e-01
42231: 1.600000e+00 1.250000e+00 1.500000e-01
42231: 1.585366e+00 1.243902e+00 1.707317e-01
42231: 1.595238e+00 1.238095e+00 1.666667e-01
42231: 1.604651e+00 1.232558e+00 1.627907e-01
42231: 1.590909e+00 1.250000e+00 1.590909e-01
42231: 1.600000e+00 1.244444e+00 1.555556e-01
42231: 1.586957e+00 1.260870e+00 1.521739e-01
42231: 1.574468e+00 1.276596e+00 1.489362e-01
42231: 1.583333e+00 1.270833e+00 1.458333e-01
42231: 1.571429e+00 1.265306e+00 1.632653e-01
42231: 1.580000e+00 1.260000e+00 1.600000e-01
42231: 1.568627e+00 1.274510e+00 1.568627e-01
42231: 1.576923e+00 1.269231e+00 1.538462e-01
42231: 1.566038e+00 1.264151e+00 1.698113e-01
42231: 1.592593e+00 1.240741e+00 1.666667e-01
42231: 1.600000e+00 1.236364e+00 1.636364e-01
42231: 1.589286e+00 1.232143e+00 1.785714e-01
42231: 1.596491e+00 1.228070e+00 1.754386e-01
42231: 1.603448e+00 1.224138e+00 1.724138e-01
42231: 1.593220e+00 1.220339e+00 1.864407e-01
42231: 1.583333e+00 1.216667e+00 2.000000e-01
42231: 1.573770e+00 1.229508e+00 1.967213e-01
42231: 1.564516e+00 1.241935e+00 1.935484e-01
42231: 1.587302e+00 1.222222e+00 1.904762e-01
42231: 1.578125e+00 1.234375e+00 1.875000e-01
42231: 1.584615e+00 1.230769e+00 1.846154e-01
