Forked 42415
Starting to reopen 0 and 1
Calling execv `tournament0/fedro.py` (pid 42415)
Strategy 0: first ans is 0
Forked 42439
Starting to reopen 0 and 1
Calling execv `tournament0/pzakorko.py` (pid 42439)
Strategy 1: first ans is 0
Forked 42440
Starting to reopen 0 and 1
Calling execv `tournament0/alex_dany` (pid 42440)
42440: Started!
42440: Number of players: 3, position: 2, number of turns: 1000
42440: Random seed: 1652405586
Strategy 2: first ans is 0
42440: 3.000000e+00 0.000000e+00 0.000000e+00
42440: 2.500000e+00 5.000000e-01 0.000000e+00
42440: 2.000000e+00 6.666667e-01 3.333333e-01
42440: 1.750000e+00 7.500000e-01 5.000000e-01
42440: 1.800000e+00 8.000000e-01 4.000000e-01
42440: 1.666667e+00 8.333333e-01 5.000000e-01
42440: 1.571429e+00 1.000000e+00 4.285714e-01
42440: 1.500000e+00 1.000000e+00 5.000000e-01
42440: 1.555556e+00 8.888889e-01 5.555556e-01
42440: 1.700000e+00 8.000000e-01 5.000000e-01
42440: 1.636364e+00 9.090909e-01 4.545455e-01
42440: 1.583333e+00 9.166667e-01 5.000000e-01
42440: 1.615385e+00 9.230769e-01 4.615385e-01
42440: 1.571429e+00 1.000000e+00 4.285714e-01
42440: 1.600000e+00 1.000000e+00 4.000000e-01
42440: 1.625000e+00 1.000000e+00 3.750000e-01
42440: 1.647059e+00 1.000000e+00 3.529412e-01
42440: 1.611111e+00 1.000000e+00 3.888889e-01
42440: 1.578947e+00 1.000000e+00 4.210526e-01
42440: 1.550000e+00 1.050000e+00 4.000000e-01
42440: 1.571429e+00 1.047619e+00 3.809524e-01
42440: 1.590909e+00 1.045455e+00 3.636364e-01
42440: 1.565217e+00 1.043478e+00 3.913043e-01
42440: 1.583333e+00 1.000000e+00 4.166667e-01
42440: 1.560000e+00 1.000000e+00 4.400000e-01
42440: 1.615385e+00 9.615385e-01 4.230769e-01
42440: 1.629630e+00 9.629630e-01 4.074074e-01
42440: 1.607143e+00 9.642857e-01 4.285714e-01
42440: 1.586207e+00 1.000000e+00 4.137931e-01
42440: 1.600000e+00 1.000000e+00 4.000000e-01
42440: 1.580645e+00 1.032258e+00 3.870968e-01
42440: 1.562500e+00 1.031250e+00 4.062500e-01
42440: 1.575758e+00 1.000000e+00 4.242424e-01
42440: 1.558824e+00 1.029412e+00 4.117647e-01
42440: 1.571429e+00 1.028571e+00 4.000000e-01
42440: 1.555556e+00 1.027778e+00 4.166667e-01
42440: 1.594595e+00 1.000000e+00 4.054054e-01
42440: 1.578947e+00 1.000000e+00 4.210526e-01
42440: 1.564103e+00 1.025641e+00 4.102564e-01
42440: 1.575000e+00 1.000000e+00 4.250000e-01
42440: 1.560976e+00 1.024390e+00 4.146341e-01
42440: 1.571429e+00 1.023810e+00 4.047619e-01
