Forked 42550
Starting to reopen 0 and 1
Calling execv `tournament0/pzakorko.py` (pid 42550)
Strategy 0: first ans is 0
Forked 42551
Starting to reopen 0 and 1
Calling execv `tournament0/alex_dany` (pid 42551)
42551: Started!
42551: Number of players: 3, position: 1, number of turns: 1000
42551: Random seed: 58829606
Strategy 1: first ans is 1
Forked 42552
Starting to reopen 0 and 1
Calling execv `tournament0/elexunix.py` (pid 42552)
Strategy 2: first ans is 2
42551: 1.000000e+00 1.000000e+00 1.000000e+00
42551: 1.500000e+00 5.000000e-01 1.000000e+00
42551: 1.333333e+00 6.666667e-01 1.000000e+00
42551: 1.250000e+00 7.500000e-01 1.000000e+00
42551: 1.400000e+00 6.000000e-01 1.000000e+00
42551: 1.500000e+00 5.000000e-01 1.000000e+00
42551: 1.571429e+00 5.714286e-01 8.571429e-01
42551: 1.500000e+00 7.500000e-01 7.500000e-01
42551: 1.666667e+00 6.666667e-01 6.666667e-01
42551: 1.500000e+00 8.000000e-01 7.000000e-01
42551: 1.545455e+00 7.272727e-01 7.272727e-01
42551: 1.583333e+00 6.666667e-01 7.500000e-01
42551: 1.615385e+00 6.923077e-01 6.923077e-01
42551: 1.500000e+00 7.857143e-01 7.142857e-01
42551: 1.466667e+00 7.333333e-01 8.000000e-01
42551: 1.437500e+00 6.875000e-01 8.750000e-01
42551: 1.411765e+00 7.058824e-01 8.823529e-01
42551: 1.444444e+00 6.666667e-01 8.888889e-01
42551: 1.526316e+00 6.315789e-01 8.421053e-01
42551: 1.500000e+00 6.000000e-01 9.000000e-01
42551: 1.476190e+00 6.190476e-01 9.047619e-01
42551: 1.545455e+00 5.909091e-01 8.636364e-01
42551: 1.521739e+00 6.086957e-01 8.695652e-01
42551: 1.541667e+00 5.833333e-01 8.750000e-01
42551: 1.560000e+00 6.000000e-01 8.400000e-01
42551: 1.538462e+00 6.153846e-01 8.461538e-01
42551: 1.518519e+00 6.296296e-01 8.518519e-01
42551: 1.535714e+00 6.071429e-01 8.571429e-01
42551: 1.517241e+00 6.206897e-01 8.620690e-01
42551: 1.533333e+00 6.333333e-01 8.333333e-01
42551: 1.516129e+00 6.451613e-01 8.387097e-01
42551: 1.500000e+00 6.562500e-01 8.437500e-01
42551: 1.515152e+00 6.666667e-01 8.181818e-01
42551: 1.529412e+00 6.764706e-01 7.941176e-01
42551: 1.514286e+00 6.571429e-01 8.285714e-01
42551: 1.555556e+00 6.388889e-01 8.055556e-01
42551: 1.594595e+00 6.216216e-01 7.837838e-01
42551: 1.578947e+00 6.578947e-01 7.631579e-01
42551: 1.564103e+00 6.666667e-01 7.692308e-01
42551: 1.600000e+00 6.500000e-01 7.500000e-01
42551: 1.585366e+00 6.829268e-01 7.317073e-01
42551: 1.547619e+00 7.380952e-01 7.142857e-01
42551: 1.558140e+00 7.441860e-01 6.976744e-01
42551: 1.545455e+00 7.272727e-01 7.272727e-01
42551: 1.577778e+00 7.111111e-01 7.111111e-01
42551: 1.543478e+00 7.608696e-01 6.956522e-01
42551: 1.553191e+00 7.446809e-01 7.021277e-01
42551: 1.541667e+00 7.291667e-01 7.291667e-01
42551: 1.530612e+00 7.346939e-01 7.346939e-01
42551: 1.520000e+00 7.400000e-01 7.400000e-01
42551: 1.549020e+00 7.254902e-01 7.254902e-01
42551: 1.538462e+00 7.307692e-01 7.307692e-01
42551: 1.547170e+00 7.169811e-01 7.358491e-01
42551: 1.574074e+00 7.037037e-01 7.222222e-01
42551: 1.545455e+00 7.272727e-01 7.272727e-01
42551: 1.553571e+00 7.321429e-01 7.142857e-01
42551: 1.561404e+00 7.192982e-01 7.192982e-01
42551: 1.568966e+00 7.068966e-01 7.241379e-01
42551: 1.559322e+00 7.118644e-01 7.288136e-01
42551: 1.550000e+00 7.000000e-01 7.500000e-01
42551: 1.573770e+00 6.885246e-01 7.377049e-01
42551: 1.564516e+00 6.935484e-01 7.419355e-01
42551: 1.555556e+00 6.825397e-01 7.619048e-01
42551: 1.562500e+00 6.875000e-01 7.500000e-01
42551: 1.569231e+00 6.769231e-01 7.538462e-01
42551: 1.560606e+00 6.818182e-01 7.575758e-01
42551: 1.567164e+00 6.865672e-01 7.462687e-01
42551: 1.573529e+00 6.911765e-01 7.352941e-01
42551: 1.565217e+00 6.956522e-01 7.391304e-01
42551: 1.571429e+00 6.857143e-01 7.428571e-01
42551: 1.563380e+00 6.901408e-01 7.464789e-01
42551: 1.555556e+00 6.805556e-01 7.638889e-01
42551: 1.561644e+00 6.849315e-01 7.534247e-01
42551: 1.554054e+00 7.027027e-01 7.432432e-01
42551: 1.560000e+00 7.066667e-01 7.333333e-01
42551: 1.552632e+00 7.105263e-01 7.368421e-01
42551: 1.545455e+00 7.142857e-01 7.402597e-01
42551: 1.538462e+00 7.179487e-01 7.435897e-01
42551: 1.531646e+00 7.088608e-01 7.594937e-01
42551: 1.525000e+00 7.125000e-01 7.625000e-01
42551: 1.518519e+00 7.160494e-01 7.654321e-01
42551: 1.536585e+00 7.073171e-01 7.560976e-01
42551: 1.542169e+00 6.987952e-01 7.590361e-01
42551: 1.547619e+00 6.904762e-01 7.619048e-01
42551: 1.541176e+00 6.823529e-01 7.764706e-01
42551: 1.546512e+00 6.744186e-01 7.790698e-01
42551: 1.540230e+00 6.781609e-01 7.816092e-01
42551: 1.545455e+00 6.818182e-01 7.727273e-01
42551: 1.550562e+00 6.741573e-01 7.752809e-01
42551: 1.566667e+00 6.666667e-01 7.666667e-01
42551: 1.560440e+00 6.703297e-01 7.692308e-01
42551: 1.565217e+00 6.630435e-01 7.717391e-01
42551: 1.569892e+00 6.666667e-01 7.634409e-01
42551: 1.585106e+00 6.595745e-01 7.553191e-01
42551: 1.589474e+00 6.631579e-01 7.473684e-01
42551: 1.583333e+00 6.666667e-01 7.500000e-01
42551: 1.567010e+00 6.804124e-01 7.525773e-01
42551: 1.571429e+00 6.836735e-01 7.448980e-01
42551: 1.555556e+00 6.969697e-01 7.474747e-01
42551: 1.560000e+00 6.900000e-01 7.500000e-01
42551: 1.564356e+00 6.831683e-01 7.524752e-01
42551: 1.558824e+00 6.960784e-01 7.450980e-01
42551: 1.553398e+00 7.087379e-01 7.378641e-01
42551: 1.557692e+00 7.019231e-01 7.403846e-01
42551: 1.552381e+00 6.952381e-01 7.523810e-01
42551: 1.547170e+00 6.981132e-01 7.547170e-01
42551: 1.551402e+00 6.915888e-01 7.570093e-01
42551: 1.546296e+00 6.944444e-01 7.592593e-01
42551: 1.559633e+00 6.880734e-01 7.522936e-01
42551: 1.563636e+00 6.818182e-01 7.545455e-01
42551: 1.567568e+00 6.756757e-01 7.567568e-01
42551: 1.571429e+00 6.696429e-01 7.589286e-01
42551: 1.575221e+00 6.725664e-01 7.522124e-01
42551: 1.561404e+00 6.842105e-01 7.543860e-01
42551: 1.556522e+00 6.782609e-01 7.652174e-01
42551: 1.568966e+00 6.724138e-01 7.586207e-01
42551: 1.564103e+00 6.666667e-01 7.692308e-01
42551: 1.567797e+00 6.694915e-01 7.627119e-01
42551: 1.571429e+00 6.722689e-01 7.563025e-01
42551: 1.566667e+00 6.833333e-01 7.500000e-01
42551: 1.570248e+00 6.776860e-01 7.520661e-01
42551: 1.565574e+00 6.885246e-01 7.459016e-01
42551: 1.560976e+00 6.910569e-01 7.479675e-01
42551: 1.564516e+00 6.854839e-01 7.500000e-01
42551: 1.568000e+00 6.880000e-01 7.440000e-01
42551: 1.579365e+00 6.825397e-01 7.380952e-01
42551: 1.566929e+00 6.850394e-01 7.480315e-01
42551: 1.570312e+00 6.875000e-01 7.421875e-01
42551: 1.565891e+00 6.899225e-01 7.441860e-01
42551: 1.576923e+00 6.846154e-01 7.384615e-01
42551: 1.572519e+00 6.946565e-01 7.328244e-01
42551: 1.568182e+00 6.969697e-01 7.348485e-01
42551: 1.571429e+00 6.917293e-01 7.368421e-01
42551: 1.574627e+00 6.940299e-01 7.313433e-01
42551: 1.562963e+00 7.037037e-01 7.333333e-01
42551: 1.573529e+00 6.985294e-01 7.279412e-01
42551: 1.569343e+00 7.007299e-01 7.299270e-01
42551: 1.572464e+00 7.028986e-01 7.246377e-01
42551: 1.568345e+00 7.122302e-01 7.194245e-01
42551: 1.578571e+00 7.071429e-01 7.142857e-01
42551: 1.567376e+00 7.163121e-01 7.163121e-01
42551: 1.570423e+00 7.112676e-01 7.183099e-01
42551: 1.566434e+00 7.132867e-01 7.202797e-01
42551: 1.576389e+00 7.083333e-01 7.152778e-01
42551: 1.572414e+00 7.103448e-01 7.172414e-01
42551: 1.568493e+00 7.123288e-01 7.191781e-01
42551: 1.571429e+00 7.142857e-01 7.142857e-01
42551: 1.560811e+00 7.229730e-01 7.162162e-01
42551: 1.563758e+00 7.248322e-01 7.114094e-01
42551: 1.560000e+00 7.333333e-01 7.066667e-01
42551: 1.569536e+00 7.284768e-01 7.019868e-01
42551: 1.578947e+00 7.236842e-01 6.973684e-01
42551: 1.568627e+00 7.385621e-01 6.928105e-01
42551: 1.564935e+00 7.402597e-01 6.948052e-01
42551: 1.561290e+00 7.419355e-01 6.967742e-01
42551: 1.570513e+00 7.371795e-01 6.923077e-01
42551: 1.560510e+00 7.515924e-01 6.878981e-01
42551: 1.563291e+00 7.468354e-01 6.898734e-01
42551: 1.566038e+00 7.484277e-01 6.855346e-01
42551: 1.568750e+00 7.500000e-01 6.812500e-01
42551: 1.571429e+00 7.515528e-01 6.770186e-01
42551: 1.567901e+00 7.530864e-01 6.790123e-01
42551: 1.564417e+00 7.484663e-01 6.871166e-01
42551: 1.560976e+00 7.560976e-01 6.829268e-01
42551: 1.557576e+00 7.575758e-01 6.848485e-01
42551: 1.560241e+00 7.590361e-01 6.807229e-01
42551: 1.556886e+00 7.604790e-01 6.826347e-01
42551: 1.559524e+00 7.559524e-01 6.845238e-01
42551: 1.556213e+00 7.573964e-01 6.863905e-01
42551: 1.552941e+00 7.588235e-01 6.882353e-01
42551: 1.549708e+00 7.602339e-01 6.900585e-01
42551: 1.552326e+00 7.558140e-01 6.918605e-01
42551: 1.560694e+00 7.514451e-01 6.878613e-01
42551: 1.557471e+00 7.528736e-01 6.896552e-01
42551: 1.560000e+00 7.485714e-01 6.914286e-01
42551: 1.562500e+00 7.500000e-01 6.875000e-01
42551: 1.564972e+00 7.457627e-01 6.892655e-01
42551: 1.561798e+00 7.471910e-01 6.910112e-01
42551: 1.564246e+00 7.486034e-01 6.871508e-01
42551: 1.572222e+00 7.444444e-01 6.833333e-01
42551: 1.563536e+00 7.569061e-01 6.795580e-01
42551: 1.565934e+00 7.582418e-01 6.758242e-01
42551: 1.562842e+00 7.595628e-01 6.775956e-01
42551: 1.565217e+00 7.608696e-01 6.739130e-01
42551: 1.567568e+00 7.567568e-01 6.756757e-01
42551: 1.575269e+00 7.526882e-01 6.720430e-01
42551: 1.572193e+00 7.540107e-01 6.737968e-01
42551: 1.563830e+00 7.553191e-01 6.808511e-01
42551: 1.560847e+00 7.513228e-01 6.878307e-01
42551: 1.563158e+00 7.526316e-01 6.842105e-01
42551: 1.560209e+00 7.539267e-01 6.858639e-01
42551: 1.562500e+00 7.500000e-01 6.875000e-01
42551: 1.559585e+00 7.512953e-01 6.891192e-01
42551: 1.561856e+00 7.474227e-01 6.907216e-01
42551: 1.564103e+00 7.487179e-01 6.871795e-01
42551: 1.571429e+00 7.448980e-01 6.836735e-01
42551: 1.573604e+00 7.461929e-01 6.802030e-01
42551: 1.565657e+00 7.525253e-01 6.818182e-01
42551: 1.562814e+00 7.487437e-01 6.884422e-01
42551: 1.570000e+00 7.450000e-01 6.850000e-01
42551: 1.567164e+00 7.462687e-01 6.865672e-01
42551: 1.564356e+00 7.524752e-01 6.831683e-01
42551: 1.566502e+00 7.487685e-01 6.847291e-01
42551: 1.563725e+00 7.450980e-01 6.911765e-01
42551: 1.565854e+00 7.463415e-01 6.878049e-01
42551: 1.563107e+00 7.524272e-01 6.844660e-01
42551: 1.565217e+00 7.536232e-01 6.811594e-01
42551: 1.572115e+00 7.500000e-01 6.778846e-01
42551: 1.564593e+00 7.559809e-01 6.794258e-01
42551: 1.566667e+00 7.571429e-01 6.761905e-01
42551: 1.568720e+00 7.582938e-01 6.729858e-01
42551: 1.570755e+00 7.594340e-01 6.698113e-01
42551: 1.568075e+00 7.605634e-01 6.713615e-01
42551: 1.565421e+00 7.616822e-01 6.728972e-01
42551: 1.572093e+00 7.581395e-01 6.697674e-01
42551: 1.564815e+00 7.592593e-01 6.759259e-01
42551: 1.571429e+00 7.557604e-01 6.728111e-01
42551: 1.568807e+00 7.568807e-01 6.743119e-01
42551: 1.570776e+00 7.534247e-01 6.757991e-01
42551: 1.563636e+00 7.590909e-01 6.772727e-01
42551: 1.565611e+00 7.601810e-01 6.742081e-01
42551: 1.567568e+00 7.567568e-01 6.756757e-01
42551: 1.565022e+00 7.623318e-01 6.726457e-01
42551: 1.566964e+00 7.633929e-01 6.696429e-01
42551: 1.564444e+00 7.600000e-01 6.755556e-01
42551: 1.561947e+00 7.610619e-01 6.769912e-01
42551: 1.559471e+00 7.621145e-01 6.784141e-01
42551: 1.557018e+00 7.675439e-01 6.754386e-01
42551: 1.558952e+00 7.641921e-01 6.768559e-01
42551: 1.560870e+00 7.608696e-01 6.782609e-01
42551: 1.567100e+00 7.575758e-01 6.753247e-01
42551: 1.568966e+00 7.543103e-01 6.767241e-01
42551: 1.570815e+00 7.553648e-01 6.738197e-01
42551: 1.568376e+00 7.606838e-01 6.709402e-01
42551: 1.565957e+00 7.617021e-01 6.723404e-01
42551: 1.563559e+00 7.627119e-01 6.737288e-01
42551: 1.565401e+00 7.594937e-01 6.751055e-01
42551: 1.567227e+00 7.605042e-01 6.722689e-01
42551: 1.564854e+00 7.573222e-01 6.778243e-01
42551: 1.566667e+00 7.583333e-01 6.750000e-01
42551: 1.564315e+00 7.593361e-01 6.763485e-01
42551: 1.561983e+00 7.644628e-01 6.735537e-01
42551: 1.559671e+00 7.613169e-01 6.790123e-01
42551: 1.565574e+00 7.581967e-01 6.762295e-01
42551: 1.567347e+00 7.591837e-01 6.734694e-01
42551: 1.573171e+00 7.560976e-01 6.707317e-01
42551: 1.570850e+00 7.611336e-01 6.680162e-01
42551: 1.568548e+00 7.661290e-01 6.653226e-01
42551: 1.570281e+00 7.630522e-01 6.666667e-01
42551: 1.568000e+00 7.640000e-01 6.680000e-01
42551: 1.565737e+00 7.649402e-01 6.693227e-01
42551: 1.563492e+00 7.698413e-01 6.666667e-01
