Forked 42793
Starting to reopen 0 and 1
Calling execv `tournament0/fedro.py` (pid 42793)
Strategy 0: first ans is 0
Forked 42817
Starting to reopen 0 and 1
Calling execv `tournament0/alex_dany` (pid 42817)
42817: Started!
42817: Number of players: 3, position: 1, number of turns: 1000
42817: Random seed: 1322616229
Strategy 1: first ans is 0
Forked 42818
Starting to reopen 0 and 1
Calling execv `tournament0/lounres.py` (pid 42818)
Strategy 2: first ans is 1
42817: 2.000000e+00 1.000000e+00 0.000000e+00
42817: 1.500000e+00 1.500000e+00 0.000000e+00
42817: 2.000000e+00 1.000000e+00 0.000000e+00
42817: 1.750000e+00 1.250000e+00 0.000000e+00
42817: 1.800000e+00 1.200000e+00 0.000000e+00
42817: 1.666667e+00 1.333333e+00 0.000000e+00
42817: 1.714286e+00 1.285714e+00 0.000000e+00
42817: 1.625000e+00 1.375000e+00 0.000000e+00
42817: 1.666667e+00 1.333333e+00 0.000000e+00
42817: 1.600000e+00 1.400000e+00 0.000000e+00
42817: 1.636364e+00 1.363636e+00 0.000000e+00
42817: 1.583333e+00 1.416667e+00 0.000000e+00
42817: 1.615385e+00 1.384615e+00 0.000000e+00
42817: 1.571429e+00 1.428571e+00 0.000000e+00
42817: 1.600000e+00 1.400000e+00 0.000000e+00
42817: 1.562500e+00 1.437500e+00 0.000000e+00
42817: 1.647059e+00 1.352941e+00 0.000000e+00
42817: 1.611111e+00 1.388889e+00 0.000000e+00
42817: 1.631579e+00 1.368421e+00 0.000000e+00
42817: 1.600000e+00 1.400000e+00 0.000000e+00
42817: 1.619048e+00 1.380952e+00 0.000000e+00
42817: 1.590909e+00 1.409091e+00 0.000000e+00
42817: 1.608696e+00 1.391304e+00 0.000000e+00
42817: 1.583333e+00 1.416667e+00 0.000000e+00
42817: 1.600000e+00 1.400000e+00 0.000000e+00
42817: 1.576923e+00 1.423077e+00 0.000000e+00
42817: 1.592593e+00 1.407407e+00 0.000000e+00
42817: 1.571429e+00 1.428571e+00 0.000000e+00
42817: 1.586207e+00 1.413793e+00 0.000000e+00
42817: 1.566667e+00 1.433333e+00 0.000000e+00
42817: 1.612903e+00 1.387097e+00 0.000000e+00
42817: 1.593750e+00 1.406250e+00 0.000000e+00
42817: 1.606061e+00 1.393939e+00 0.000000e+00
42817: 1.588235e+00 1.411765e+00 0.000000e+00
42817: 1.600000e+00 1.400000e+00 0.000000e+00
42817: 1.583333e+00 1.416667e+00 0.000000e+00
42817: 1.594595e+00 1.405405e+00 0.000000e+00
42817: 1.578947e+00 1.421053e+00 0.000000e+00
42817: 1.589744e+00 1.410256e+00 0.000000e+00
42817: 1.575000e+00 1.425000e+00 0.000000e+00
42817: 1.585366e+00 1.414634e+00 0.000000e+00
42817: 1.571429e+00 1.428571e+00 0.000000e+00
42817: 1.581395e+00 1.418605e+00 0.000000e+00
42817: 1.568182e+00 1.431818e+00 0.000000e+00
42817: 1.600000e+00 1.400000e+00 0.000000e+00
42817: 1.586957e+00 1.413043e+00 0.000000e+00
42817: 1.595745e+00 1.404255e+00 0.000000e+00
42817: 1.583333e+00 1.416667e+00 0.000000e+00
42817: 1.591837e+00 1.408163e+00 0.000000e+00
42817: 1.580000e+00 1.420000e+00 0.000000e+00
42817: 1.588235e+00 1.411765e+00 0.000000e+00
42817: 1.576923e+00 1.423077e+00 0.000000e+00
42817: 1.584906e+00 1.415094e+00 0.000000e+00
42817: 1.574074e+00 1.425926e+00 0.000000e+00
42817: 1.581818e+00 1.418182e+00 0.000000e+00
42817: 1.571429e+00 1.428571e+00 0.000000e+00
42817: 1.578947e+00 1.421053e+00 0.000000e+00
42817: 1.568966e+00 1.431034e+00 0.000000e+00
42817: 1.593220e+00 1.406780e+00 0.000000e+00
42817: 1.583333e+00 1.416667e+00 0.000000e+00
42817: 1.590164e+00 1.409836e+00 0.000000e+00
42817: 1.580645e+00 1.419355e+00 0.000000e+00
42817: 1.587302e+00 1.412698e+00 0.000000e+00
42817: 1.578125e+00 1.421875e+00 0.000000e+00
42817: 1.584615e+00 1.415385e+00 0.000000e+00
42817: 1.575758e+00 1.424242e+00 0.000000e+00
42817: 1.582090e+00 1.417910e+00 0.000000e+00
42817: 1.573529e+00 1.426471e+00 0.000000e+00
42817: 1.579710e+00 1.420290e+00 0.000000e+00
42817: 1.571429e+00 1.428571e+00 0.000000e+00
42817: 1.577465e+00 1.422535e+00 0.000000e+00
42817: 1.569444e+00 1.430556e+00 0.000000e+00
42817: 1.589041e+00 1.410959e+00 0.000000e+00
42817: 1.581081e+00 1.418919e+00 0.000000e+00
42817: 1.586667e+00 1.413333e+00 0.000000e+00
42817: 1.578947e+00 1.421053e+00 0.000000e+00
42817: 1.584416e+00 1.415584e+00 0.000000e+00
42817: 1.576923e+00 1.423077e+00 0.000000e+00
42817: 1.582278e+00 1.417722e+00 0.000000e+00
42817: 1.575000e+00 1.425000e+00 0.000000e+00
42817: 1.580247e+00 1.419753e+00 0.000000e+00
42817: 1.573171e+00 1.426829e+00 0.000000e+00
42817: 1.578313e+00 1.421687e+00 0.000000e+00
42817: 1.571429e+00 1.428571e+00 0.000000e+00
42817: 1.576471e+00 1.423529e+00 0.000000e+00
42817: 1.569767e+00 1.430233e+00 0.000000e+00
42817: 1.586207e+00 1.413793e+00 0.000000e+00
42817: 1.579545e+00 1.420455e+00 0.000000e+00
42817: 1.584270e+00 1.415730e+00 0.000000e+00
42817: 1.577778e+00 1.422222e+00 0.000000e+00
42817: 1.582418e+00 1.417582e+00 0.000000e+00
42817: 1.576087e+00 1.423913e+00 0.000000e+00
42817: 1.580645e+00 1.419355e+00 0.000000e+00
42817: 1.574468e+00 1.425532e+00 0.000000e+00
42817: 1.578947e+00 1.421053e+00 0.000000e+00
42817: 1.572917e+00 1.427083e+00 0.000000e+00
42817: 1.577320e+00 1.422680e+00 0.000000e+00
42817: 1.571429e+00 1.428571e+00 0.000000e+00
42817: 1.575758e+00 1.424242e+00 0.000000e+00
42817: 1.570000e+00 1.430000e+00 0.000000e+00
42817: 1.564356e+00 1.435644e+00 0.000000e+00
42817: 1.578431e+00 1.421569e+00 0.000000e+00
42817: 1.572816e+00 1.427184e+00 0.000000e+00
42817: 1.576923e+00 1.423077e+00 0.000000e+00
42817: 1.571429e+00 1.428571e+00 0.000000e+00
42817: 1.566038e+00 1.433962e+00 0.000000e+00
42817: 1.579439e+00 1.420561e+00 0.000000e+00
42817: 1.574074e+00 1.425926e+00 0.000000e+00
42817: 1.577982e+00 1.422018e+00 0.000000e+00
42817: 1.572727e+00 1.427273e+00 0.000000e+00
42817: 1.567568e+00 1.432432e+00 0.000000e+00
42817: 1.580357e+00 1.419643e+00 0.000000e+00
42817: 1.575221e+00 1.424779e+00 0.000000e+00
42817: 1.570175e+00 1.429825e+00 0.000000e+00
42817: 1.573913e+00 1.426087e+00 0.000000e+00
42817: 1.568966e+00 1.431034e+00 0.000000e+00
42817: 1.581197e+00 1.418803e+00 0.000000e+00
42817: 1.576271e+00 1.423729e+00 0.000000e+00
42817: 1.571429e+00 1.428571e+00 0.000000e+00
42817: 1.575000e+00 1.425000e+00 0.000000e+00
