Forked 42870
Starting to reopen 0 and 1
Calling execv `tournament0/the_best_strategy.py` (pid 42870)
Strategy 0: first ans is 0
Forked 42871
Starting to reopen 0 and 1
Calling execv `tournament0/elexunix.py` (pid 42871)
Strategy 1: first ans is 0
Forked 42895
Starting to reopen 0 and 1
Calling execv `tournament0/alex_dany` (pid 42895)
42895: Started!
42895: Number of players: 3, position: 2, number of turns: 1000
42895: Random seed: 2338087744
Strategy 2: first ans is 1
42895: 2.000000e+00 1.000000e+00 0.000000e+00
42895: 2.000000e+00 1.000000e+00 0.000000e+00
42895: 1.666667e+00 1.333333e+00 0.000000e+00
42895: 1.500000e+00 1.500000e+00 0.000000e+00
42895: 1.800000e+00 1.200000e+00 0.000000e+00
42895: 1.666667e+00 1.166667e+00 1.666667e-01
42895: 1.571429e+00 1.285714e+00 1.428571e-01
42895: 1.500000e+00 1.250000e+00 2.500000e-01
42895: 1.555556e+00 1.111111e+00 3.333333e-01
42895: 1.700000e+00 1.000000e+00 3.000000e-01
42895: 1.636364e+00 1.090909e+00 2.727273e-01
42895: 1.583333e+00 1.166667e+00 2.500000e-01
42895: 1.538462e+00 1.230769e+00 2.307692e-01
42895: 1.500000e+00 1.214286e+00 2.857143e-01
42895: 1.600000e+00 1.133333e+00 2.666667e-01
42895: 1.562500e+00 1.187500e+00 2.500000e-01
42895: 1.529412e+00 1.235294e+00 2.352941e-01
42895: 1.500000e+00 1.222222e+00 2.777778e-01
42895: 1.526316e+00 1.210526e+00 2.631579e-01
42895: 1.550000e+00 1.200000e+00 2.500000e-01
42895: 1.619048e+00 1.142857e+00 2.380952e-01
42895: 1.590909e+00 1.181818e+00 2.272727e-01
42895: 1.521739e+00 1.260870e+00 2.173913e-01
42895: 1.583333e+00 1.208333e+00 2.083333e-01
42895: 1.560000e+00 1.240000e+00 2.000000e-01
42895: 1.576923e+00 1.192308e+00 2.307692e-01
42895: 1.555556e+00 1.222222e+00 2.222222e-01
42895: 1.571429e+00 1.214286e+00 2.142857e-01
42895: 1.551724e+00 1.206897e+00 2.413793e-01
42895: 1.566667e+00 1.200000e+00 2.333333e-01
42895: 1.548387e+00 1.193548e+00 2.580645e-01
42895: 1.531250e+00 1.187500e+00 2.812500e-01
42895: 1.515152e+00 1.181818e+00 3.030303e-01
42895: 1.529412e+00 1.176471e+00 2.941176e-01
42895: 1.514286e+00 1.171429e+00 3.142857e-01
42895: 1.527778e+00 1.166667e+00 3.055556e-01
42895: 1.540541e+00 1.162162e+00 2.972973e-01
42895: 1.578947e+00 1.131579e+00 2.894737e-01
42895: 1.564103e+00 1.153846e+00 2.820513e-01
42895: 1.575000e+00 1.125000e+00 3.000000e-01
42895: 1.536585e+00 1.146341e+00 3.170732e-01
42895: 1.547619e+00 1.142857e+00 3.095238e-01
42895: 1.534884e+00 1.139535e+00 3.255814e-01
42895: 1.568182e+00 1.113636e+00 3.181818e-01
42895: 1.577778e+00 1.111111e+00 3.111111e-01
42895: 1.565217e+00 1.130435e+00 3.043478e-01
42895: 1.553191e+00 1.127660e+00 3.191489e-01
42895: 1.562500e+00 1.104167e+00 3.333333e-01
42895: 1.551020e+00 1.102041e+00 3.469388e-01
42895: 1.560000e+00 1.100000e+00 3.400000e-01
42895: 1.568627e+00 1.098039e+00 3.333333e-01
42895: 1.557692e+00 1.115385e+00 3.269231e-01
42895: 1.547170e+00 1.132075e+00 3.207547e-01
42895: 1.555556e+00 1.111111e+00 3.333333e-01
42895: 1.563636e+00 1.109091e+00 3.272727e-01
42895: 1.589286e+00 1.089286e+00 3.214286e-01
42895: 1.561404e+00 1.105263e+00 3.333333e-01
42895: 1.568966e+00 1.103448e+00 3.275862e-01
42895: 1.576271e+00 1.101695e+00 3.220339e-01
42895: 1.550000e+00 1.133333e+00 3.166667e-01
42895: 1.540984e+00 1.147541e+00 3.114754e-01
42895: 1.548387e+00 1.129032e+00 3.225806e-01
42895: 1.571429e+00 1.111111e+00 3.174603e-01
42895: 1.562500e+00 1.125000e+00 3.125000e-01
42895: 1.569231e+00 1.123077e+00 3.076923e-01
42895: 1.575758e+00 1.121212e+00 3.030303e-01
42895: 1.567164e+00 1.134328e+00 2.985075e-01
42895: 1.588235e+00 1.117647e+00 2.941176e-01
42895: 1.565217e+00 1.144928e+00 2.898551e-01
42895: 1.571429e+00 1.142857e+00 2.857143e-01
42895: 1.549296e+00 1.154930e+00 2.957746e-01
42895: 1.569444e+00 1.138889e+00 2.916667e-01
42895: 1.561644e+00 1.136986e+00 3.013699e-01
42895: 1.554054e+00 1.135135e+00 3.108108e-01
42895: 1.573333e+00 1.120000e+00 3.066667e-01
42895: 1.565789e+00 1.131579e+00 3.026316e-01
42895: 1.571429e+00 1.129870e+00 2.987013e-01
42895: 1.576923e+00 1.128205e+00 2.948718e-01
42895: 1.582278e+00 1.126582e+00 2.911392e-01
42895: 1.587500e+00 1.125000e+00 2.875000e-01
42895: 1.567901e+00 1.135802e+00 2.962963e-01
42895: 1.573171e+00 1.134146e+00 2.926829e-01
42895: 1.566265e+00 1.144578e+00 2.891566e-01
42895: 1.559524e+00 1.154762e+00 2.857143e-01
42895: 1.552941e+00 1.164706e+00 2.823529e-01
42895: 1.546512e+00 1.162791e+00 2.906977e-01
42895: 1.540230e+00 1.172414e+00 2.873563e-01
42895: 1.556818e+00 1.159091e+00 2.840909e-01
42895: 1.561798e+00 1.146067e+00 2.921348e-01
