Forked 42897
Starting to reopen 0 and 1
Calling execv `tournament0/alex_dany` (pid 42897)
42897: Started!
42897: Number of players: 3, position: 0, number of turns: 1000
42897: Random seed: 2078214201
Strategy 0: first ans is 1
Forked 42898
Starting to reopen 0 and 1
Calling execv `tournament0/lounres.py` (pid 42898)
Strategy 1: first ans is 1
Forked 42899
Starting to reopen 0 and 1
Calling execv `tournament0/pzakorko.py` (pid 42899)
Strategy 2: first ans is 0
42897: 1.000000e+00 2.000000e+00 0.000000e+00
42897: 1.500000e+00 1.000000e+00 5.000000e-01
42897: 1.666667e+00 1.000000e+00 3.333333e-01
42897: 1.500000e+00 1.250000e+00 2.500000e-01
42897: 1.600000e+00 1.200000e+00 2.000000e-01
42897: 1.333333e+00 1.500000e+00 1.666667e-01
42897: 1.428571e+00 1.285714e+00 2.857143e-01
42897: 1.375000e+00 1.250000e+00 3.750000e-01
42897: 1.555556e+00 1.111111e+00 3.333333e-01
42897: 1.500000e+00 1.100000e+00 4.000000e-01
42897: 1.636364e+00 1.000000e+00 3.636364e-01
42897: 1.500000e+00 1.083333e+00 4.166667e-01
42897: 1.615385e+00 1.000000e+00 3.846154e-01
42897: 1.571429e+00 1.071429e+00 3.571429e-01
42897: 1.533333e+00 1.066667e+00 4.000000e-01
42897: 1.625000e+00 1.000000e+00 3.750000e-01
42897: 1.588235e+00 1.058824e+00 3.529412e-01
42897: 1.611111e+00 1.055556e+00 3.333333e-01
42897: 1.526316e+00 1.105263e+00 3.684211e-01
42897: 1.600000e+00 1.050000e+00 3.500000e-01
42897: 1.523810e+00 1.142857e+00 3.333333e-01
42897: 1.590909e+00 1.090909e+00 3.181818e-01
42897: 1.521739e+00 1.130435e+00 3.478261e-01
42897: 1.583333e+00 1.083333e+00 3.333333e-01
42897: 1.560000e+00 1.120000e+00 3.200000e-01
42897: 1.615385e+00 1.076923e+00 3.076923e-01
42897: 1.555556e+00 1.148148e+00 2.962963e-01
42897: 1.607143e+00 1.107143e+00 2.857143e-01
42897: 1.551724e+00 1.137931e+00 3.103448e-01
42897: 1.600000e+00 1.100000e+00 3.000000e-01
42897: 1.580645e+00 1.129032e+00 2.903226e-01
42897: 1.593750e+00 1.125000e+00 2.812500e-01
42897: 1.545455e+00 1.151515e+00 3.030303e-01
42897: 1.588235e+00 1.117647e+00 2.941176e-01
42897: 1.571429e+00 1.142857e+00 2.857143e-01
42897: 1.583333e+00 1.138889e+00 2.777778e-01
42897: 1.540541e+00 1.162162e+00 2.972973e-01
42897: 1.578947e+00 1.131579e+00 2.894737e-01
42897: 1.564103e+00 1.153846e+00 2.820513e-01
42897: 1.575000e+00 1.150000e+00 2.750000e-01
42897: 1.536585e+00 1.170732e+00 2.926829e-01
42897: 1.571429e+00 1.142857e+00 2.857143e-01
42897: 1.534884e+00 1.186047e+00 2.790698e-01
42897: 1.545455e+00 1.159091e+00 2.954545e-01
42897: 1.533333e+00 1.155556e+00 3.111111e-01
42897: 1.565217e+00 1.130435e+00 3.043478e-01
42897: 1.574468e+00 1.127660e+00 2.978723e-01
42897: 1.541667e+00 1.145833e+00 3.125000e-01
