Forked 28411
Starting to reopen 0 and 1
Calling execv `tournament0/alex_dany` (pid 28411)
28411: Started!
28411: Number of players: 6, position: 0, number of turns: 1000
28411: Random seed: 1379042067
Strategy 0: first ans is 1
Forked 28412
Starting to reopen 0 and 1
Calling execv `tournament0/fedro.py` (pid 28412)
Strategy 1: first ans is 0
Forked 28436
Starting to reopen 0 and 1
Calling execv `tournament0/pzakorko.py` (pid 28436)
Strategy 2: first ans is 0
Forked 28437
Starting to reopen 0 and 1
Calling execv `tournament0/lounres.py` (pid 28437)
Strategy 3: first ans is 1
Forked 28438
Starting to reopen 0 and 1
Calling execv `tournament0/elexunix.py` (pid 28438)
Strategy 4: first ans is 3
Forked 28462
Starting to reopen 0 and 1
Calling execv `tournament0/the_best_strategy.py` (pid 28462)
Strategy 5: first ans is 0
28411: 3.000000e+00 2.000000e+00 0.000000e+00 1.000000e+00 0.000000e+00 0.000000e+00
28411: 2.500000e+00 1.000000e+00 2.000000e+00 5.000000e-01 0.000000e+00 0.000000e+00
28411: 3.000000e+00 1.333333e+00 1.333333e+00 3.333333e-01 0.000000e+00 0.000000e+00
28411: 2.750000e+00 1.250000e+00 1.750000e+00 2.500000e-01 0.000000e+00 0.000000e+00
28411: 2.600000e+00 1.600000e+00 1.600000e+00 2.000000e-01 0.000000e+00 0.000000e+00
28411: 2.500000e+00 1.333333e+00 1.666667e+00 5.000000e-01 0.000000e+00 0.000000e+00
28411: 2.428571e+00 1.428571e+00 1.571429e+00 4.285714e-01 1.428571e-01 0.000000e+00
28411: 2.625000e+00 1.375000e+00 1.500000e+00 3.750000e-01 1.250000e-01 0.000000e+00
28411: 2.555556e+00 1.555556e+00 1.444444e+00 3.333333e-01 1.111111e-01 0.000000e+00
28411: 2.500000e+00 1.500000e+00 1.500000e+00 3.000000e-01 2.000000e-01 0.000000e+00
28411: 2.545455e+00 1.636364e+00 1.363636e+00 2.727273e-01 1.818182e-01 0.000000e+00
28411: 2.583333e+00 1.583333e+00 1.416667e+00 2.500000e-01 1.666667e-01 0.000000e+00
28411: 2.615385e+00 1.538462e+00 1.461538e+00 2.307692e-01 1.538462e-01 0.000000e+00
28411: 2.642857e+00 1.571429e+00 1.428571e+00 2.142857e-01 1.428571e-01 0.000000e+00
28411: 2.666667e+00 1.466667e+00 1.533333e+00 2.000000e-01 1.333333e-01 0.000000e+00
28411: 2.687500e+00 1.500000e+00 1.500000e+00 1.875000e-01 1.250000e-01 0.000000e+00
28411: 2.705882e+00 1.470588e+00 1.529412e+00 1.764706e-01 1.176471e-01 0.000000e+00
28411: 2.666667e+00 1.555556e+00 1.444444e+00 1.666667e-01 1.666667e-01 0.000000e+00
28411: 2.684211e+00 1.526316e+00 1.473684e+00 1.578947e-01 1.578947e-01 0.000000e+00
28411: 2.650000e+00 1.650000e+00 1.400000e+00 1.500000e-01 1.500000e-01 0.000000e+00
28411: 2.666667e+00 1.571429e+00 1.428571e+00 1.904762e-01 1.428571e-01 0.000000e+00
28411: 2.727273e+00 1.545455e+00 1.409091e+00 1.818182e-01 1.363636e-01 0.000000e+00
28411: 2.695652e+00 1.565217e+00 1.347826e+00 2.173913e-01 1.304348e-01 4.347826e-02
28411: 2.708333e+00 1.541667e+00 1.375000e+00 2.083333e-01 1.250000e-01 4.166667e-02
28411: 2.720000e+00 1.600000e+00 1.320000e+00 2.000000e-01 1.200000e-01 4.000000e-02
28411: 2.730769e+00 1.538462e+00 1.346154e+00 2.307692e-01 1.153846e-01 3.846154e-02
28411: 2.703704e+00 1.555556e+00 1.333333e+00 2.592593e-01 1.111111e-01 3.703704e-02
28411: 2.678571e+00 1.571429e+00 1.321429e+00 2.500000e-01 1.428571e-01 3.571429e-02
28411: 2.655172e+00 1.586207e+00 1.344828e+00 2.413793e-01 1.379310e-01 3.448276e-02
28411: 2.666667e+00 1.533333e+00 1.366667e+00 2.666667e-01 1.333333e-01 3.333333e-02
28411: 2.645161e+00 1.548387e+00 1.322581e+00 2.580645e-01 1.612903e-01 6.451613e-02
28411: 2.625000e+00 1.562500e+00 1.343750e+00 2.500000e-01 1.562500e-01 6.250000e-02
28411: 2.606061e+00 1.545455e+00 1.303030e+00 3.333333e-01 1.515152e-01 6.060606e-02
28411: 2.617647e+00 1.558824e+00 1.264706e+00 3.529412e-01 1.470588e-01 5.882353e-02
28411: 2.600000e+00 1.542857e+00 1.314286e+00 3.428571e-01 1.428571e-01 5.714286e-02
28411: 2.638889e+00 1.555556e+00 1.277778e+00 3.333333e-01 1.388889e-01 5.555556e-02
28411: 2.594595e+00 1.567568e+00 1.324324e+00 3.243243e-01 1.351351e-01 5.405405e-02
28411: 2.578947e+00 1.578947e+00 1.342105e+00 3.157895e-01 1.315789e-01 5.263158e-02
28411: 2.538462e+00 1.564103e+00 1.358974e+00 3.589744e-01 1.282051e-01 5.128205e-02
28411: 2.525000e+00 1.550000e+00 1.375000e+00 3.500000e-01 1.500000e-01 5.000000e-02
28411: 2.512195e+00 1.585366e+00 1.341463e+00 3.414634e-01 1.707317e-01 4.878049e-02
28411: 2.476190e+00 1.547619e+00 1.404762e+00 3.333333e-01 1.904762e-01 4.761905e-02
28411: 2.465116e+00 1.581395e+00 1.395349e+00 3.255814e-01 1.860465e-01 4.651163e-02
28411: 2.454545e+00 1.590909e+00 1.409091e+00 3.181818e-01 1.818182e-01 4.545455e-02
28411: 2.422222e+00 1.577778e+00 1.422222e+00 3.333333e-01 2.000000e-01 4.444444e-02
28411: 2.434783e+00 1.565217e+00 1.434783e+00 3.260870e-01 1.956522e-01 4.347826e-02
28411: 2.404255e+00 1.574468e+00 1.425532e+00 3.404255e-01 2.127660e-01 4.255319e-02
28411: 2.395833e+00 1.583333e+00 1.416667e+00 3.541667e-01 2.083333e-01 4.166667e-02
28411: 2.367347e+00 1.551020e+00 1.469388e+00 3.673469e-01 2.040816e-01 4.081633e-02
28411: 2.360000e+00 1.560000e+00 1.460000e+00 3.800000e-01 2.000000e-01 4.000000e-02
28411: 2.333333e+00 1.549020e+00 1.470588e+00 4.117647e-01 1.960784e-01 3.921569e-02
28411: 2.326923e+00 1.557692e+00 1.461538e+00 4.038462e-01 2.115385e-01 3.846154e-02
28411: 2.320755e+00 1.566038e+00 1.452830e+00 4.150943e-01 2.075472e-01 3.773585e-02
28411: 2.296296e+00 1.574074e+00 1.462963e+00 4.259259e-01 2.037037e-01 3.703704e-02
28411: 2.309091e+00 1.563636e+00 1.472727e+00 4.181818e-01 2.000000e-01 3.636364e-02
28411: 2.303571e+00 1.571429e+00 1.464286e+00 4.107143e-01 1.964286e-01 5.357143e-02
28411: 2.280702e+00 1.543860e+00 1.491228e+00 4.210526e-01 2.105263e-01 5.263158e-02
28411: 2.293103e+00 1.534483e+00 1.500000e+00 4.137931e-01 2.068966e-01 5.172414e-02
28411: 2.288136e+00 1.559322e+00 1.491525e+00 4.067797e-01 2.033898e-01 5.084746e-02
28411: 2.300000e+00 1.550000e+00 1.500000e+00 4.000000e-01 2.000000e-01 5.000000e-02
28411: 2.278689e+00 1.573770e+00 1.491803e+00 4.098361e-01 1.967213e-01 4.918033e-02
28411: 2.290323e+00 1.548387e+00 1.500000e+00 4.193548e-01 1.935484e-01 4.838710e-02
28411: 2.269841e+00 1.571429e+00 1.492063e+00 4.126984e-01 1.904762e-01 6.349206e-02
28411: 2.265625e+00 1.562500e+00 1.515625e+00 4.062500e-01 1.875000e-01 6.250000e-02
28411: 2.261538e+00 1.569231e+00 1.523077e+00 4.000000e-01 1.846154e-01 6.153846e-02
28411: 2.242424e+00 1.575758e+00 1.530303e+00 4.090909e-01 1.818182e-01 6.060606e-02
28411: 2.238806e+00 1.567164e+00 1.537313e+00 4.029851e-01 1.940299e-01 5.970149e-02
28411: 2.235294e+00 1.573529e+00 1.544118e+00 3.970588e-01 1.911765e-01 5.882353e-02
28411: 2.246377e+00 1.550725e+00 1.550725e+00 4.057971e-01 1.884058e-01 5.797101e-02
28411: 2.228571e+00 1.571429e+00 1.542857e+00 4.142857e-01 1.857143e-01 5.714286e-02
28411: 2.239437e+00 1.549296e+00 1.563380e+00 4.084507e-01 1.830986e-01 5.633803e-02
28411: 2.236111e+00 1.569444e+00 1.555556e+00 4.027778e-01 1.805556e-01 5.555556e-02
28411: 2.219178e+00 1.575342e+00 1.575342e+00 3.972603e-01 1.780822e-01 5.479452e-02
28411: 2.216216e+00 1.554054e+00 1.567568e+00 4.189189e-01 1.891892e-01 5.405405e-02
28411: 2.200000e+00 1.560000e+00 1.560000e+00 4.400000e-01 1.866667e-01 5.333333e-02
28411: 2.197368e+00 1.565789e+00 1.552632e+00 4.342105e-01 1.973684e-01 5.263158e-02
28411: 2.181818e+00 1.571429e+00 1.558442e+00 4.415584e-01 1.948052e-01 5.194805e-02
28411: 2.179487e+00 1.551282e+00 1.576923e+00 4.358974e-01 2.051282e-01 5.128205e-02
28411: 2.189873e+00 1.569620e+00 1.556962e+00 4.303797e-01 2.025316e-01 5.063291e-02
28411: 2.175000e+00 1.562500e+00 1.575000e+00 4.250000e-01 2.125000e-01 5.000000e-02
28411: 2.172840e+00 1.567901e+00 1.567901e+00 4.320988e-01 2.098765e-01 4.938272e-02
28411: 2.158537e+00 1.560976e+00 1.573171e+00 4.512195e-01 2.073171e-01 4.878049e-02
28411: 2.156627e+00 1.566265e+00 1.578313e+00 4.457831e-01 2.048193e-01 4.819277e-02
28411: 2.154762e+00 1.559524e+00 1.583333e+00 4.523810e-01 2.023810e-01 4.761905e-02
28411: 2.152941e+00 1.576471e+00 1.564706e+00 4.588235e-01 2.000000e-01 4.705882e-02
28411: 2.139535e+00 1.569767e+00 1.581395e+00 4.651163e-01 1.976744e-01 4.651163e-02
28411: 2.137931e+00 1.563218e+00 1.586207e+00 4.597701e-01 1.954023e-01 5.747126e-02
28411: 2.147727e+00 1.568182e+00 1.579545e+00 4.545455e-01 1.931818e-01 5.681818e-02
28411: 2.157303e+00 1.561798e+00 1.584270e+00 4.494382e-01 1.910112e-01 5.617978e-02
28411: 2.144444e+00 1.566667e+00 1.588889e+00 4.555556e-01 1.888889e-01 5.555556e-02
28411: 2.142857e+00 1.560440e+00 1.582418e+00 4.725275e-01 1.868132e-01 5.494505e-02
28411: 2.130435e+00 1.576087e+00 1.586957e+00 4.673913e-01 1.847826e-01 5.434783e-02
28411: 2.139785e+00 1.559140e+00 1.591398e+00 4.731183e-01 1.827957e-01 5.376344e-02
28411: 2.127660e+00 1.563830e+00 1.595745e+00 4.787234e-01 1.808511e-01 5.319149e-02
28411: 2.136842e+00 1.557895e+00 1.600000e+00 4.736842e-01 1.789474e-01 5.263158e-02
28411: 2.125000e+00 1.562500e+00 1.604167e+00 4.791667e-01 1.770833e-01 5.208333e-02
28411: 2.123711e+00 1.567010e+00 1.597938e+00 4.845361e-01 1.752577e-01 5.154639e-02
28411: 2.122449e+00 1.571429e+00 1.602041e+00 4.795918e-01 1.734694e-01 5.102041e-02
28411: 2.121212e+00 1.565657e+00 1.595960e+00 4.949495e-01 1.717172e-01 5.050505e-02
28411: 2.110000e+00 1.570000e+00 1.600000e+00 5.000000e-01 1.700000e-01 5.000000e-02
28411: 2.108911e+00 1.554455e+00 1.594059e+00 5.049505e-01 1.881188e-01 4.950495e-02
28411: 2.107843e+00 1.568627e+00 1.588235e+00 5.000000e-01 1.862745e-01 4.901961e-02
28411: 2.106796e+00 1.572816e+00 1.592233e+00 4.951456e-01 1.844660e-01 4.854369e-02
28411: 2.096154e+00 1.576923e+00 1.586538e+00 5.096154e-01 1.826923e-01 4.807692e-02
28411: 2.104762e+00 1.571429e+00 1.580952e+00 5.142857e-01 1.809524e-01 4.761905e-02
28411: 2.103774e+00 1.575472e+00 1.575472e+00 5.188679e-01 1.792453e-01 4.716981e-02
28411: 2.102804e+00 1.570093e+00 1.579439e+00 5.233645e-01 1.775701e-01 4.672897e-02
28411: 2.092593e+00 1.583333e+00 1.574074e+00 5.277778e-01 1.759259e-01 4.629630e-02
28411: 2.100917e+00 1.577982e+00 1.568807e+00 5.321101e-01 1.743119e-01 4.587156e-02
28411: 2.100000e+00 1.581818e+00 1.563636e+00 5.363636e-01 1.727273e-01 4.545455e-02
28411: 2.099099e+00 1.576577e+00 1.576577e+00 5.315315e-01 1.711712e-01 4.504505e-02
28411: 2.098214e+00 1.580357e+00 1.571429e+00 5.357143e-01 1.696429e-01 4.464286e-02
28411: 2.088496e+00 1.575221e+00 1.566372e+00 5.575221e-01 1.681416e-01 4.424779e-02
28411: 2.105263e+00 1.561404e+00 1.570175e+00 5.526316e-01 1.666667e-01 4.385965e-02
28411: 2.104348e+00 1.573913e+00 1.565217e+00 5.478261e-01 1.652174e-01 4.347826e-02
28411: 2.103448e+00 1.560345e+00 1.577586e+00 5.431034e-01 1.724138e-01 4.310345e-02
28411: 2.102564e+00 1.564103e+00 1.572650e+00 5.470085e-01 1.709402e-01 4.273504e-02
28411: 2.093220e+00 1.559322e+00 1.576271e+00 5.508475e-01 1.779661e-01 4.237288e-02
28411: 2.092437e+00 1.563025e+00 1.563025e+00 5.546218e-01 1.848739e-01 4.201681e-02
28411: 2.091667e+00 1.558333e+00 1.566667e+00 5.583333e-01 1.833333e-01 4.166667e-02
28411: 2.099174e+00 1.561983e+00 1.561983e+00 5.537190e-01 1.818182e-01 4.132231e-02
28411: 2.098361e+00 1.557377e+00 1.573770e+00 5.491803e-01 1.803279e-01 4.098361e-02
28411: 2.089431e+00 1.569106e+00 1.569106e+00 5.528455e-01 1.788618e-01 4.065041e-02
28411: 2.104839e+00 1.564516e+00 1.564516e+00 5.483871e-01 1.774194e-01 4.032258e-02
28411: 2.096000e+00 1.576000e+00 1.568000e+00 5.440000e-01 1.760000e-01 4.000000e-02
28411: 2.095238e+00 1.571429e+00 1.571429e+00 5.476190e-01 1.746032e-01 3.968254e-02
28411: 2.086614e+00 1.566929e+00 1.574803e+00 5.590551e-01 1.732283e-01 3.937008e-02
28411: 2.085938e+00 1.570312e+00 1.570312e+00 5.546875e-01 1.796875e-01 3.906250e-02
28411: 2.085271e+00 1.565891e+00 1.565891e+00 5.581395e-01 1.860465e-01 3.875969e-02
28411: 2.084615e+00 1.576923e+00 1.553846e+00 5.615385e-01 1.846154e-01 3.846154e-02
28411: 2.076336e+00 1.587786e+00 1.557252e+00 5.572519e-01 1.832061e-01 3.816794e-02
28411: 2.083333e+00 1.575758e+00 1.568182e+00 5.530303e-01 1.818182e-01 3.787879e-02
28411: 2.082707e+00 1.571429e+00 1.578947e+00 5.488722e-01 1.804511e-01 3.759398e-02
28411: 2.074627e+00 1.582090e+00 1.574627e+00 5.522388e-01 1.791045e-01 3.731343e-02
28411: 2.081481e+00 1.570370e+00 1.577778e+00 5.555556e-01 1.777778e-01 3.703704e-02
28411: 2.073529e+00 1.566176e+00 1.573529e+00 5.588235e-01 1.838235e-01 4.411765e-02
28411: 2.072993e+00 1.583942e+00 1.562044e+00 5.547445e-01 1.824818e-01 4.379562e-02
28411: 2.065217e+00 1.586957e+00 1.572464e+00 5.507246e-01 1.811594e-01 4.347826e-02
28411: 2.079137e+00 1.575540e+00 1.568345e+00 5.539568e-01 1.798561e-01 4.316547e-02
