Forked 28517
Starting to reopen 0 and 1
Calling execv `tournament0/the_best_strategy.py` (pid 28517)
Strategy 0: first ans is 0
Forked 28518
Starting to reopen 0 and 1
Calling execv `tournament0/elexunix.py` (pid 28518)
Strategy 1: first ans is 3
Forked 28542
Starting to reopen 0 and 1
Calling execv `tournament0/pzakorko.py` (pid 28542)
Strategy 2: first ans is 0
Forked 28543
Starting to reopen 0 and 1
Calling execv `tournament0/alex_dany` (pid 28543)
28543: Started!
28543: Number of players: 6, position: 3, number of turns: 1000
28543: Random seed: 3917023004
Strategy 3: first ans is 1
Forked 28544
Starting to reopen 0 and 1
Calling execv `tournament0/lounres.py` (pid 28544)
Strategy 4: first ans is 1
Forked 28545
Starting to reopen 0 and 1
Calling execv `tournament0/fedro.py` (pid 28545)
Strategy 5: first ans is 0
28543: 3.000000e+00 2.000000e+00 0.000000e+00 1.000000e+00 0.000000e+00 0.000000e+00
28543: 2.500000e+00 1.500000e+00 1.500000e+00 5.000000e-01 0.000000e+00 0.000000e+00
28543: 2.666667e+00 1.666667e+00 1.000000e+00 3.333333e-01 3.333333e-01 0.000000e+00
28543: 2.500000e+00 1.250000e+00 1.500000e+00 2.500000e-01 2.500000e-01 2.500000e-01
28543: 2.600000e+00 1.400000e+00 1.400000e+00 2.000000e-01 2.000000e-01 2.000000e-01
28543: 2.500000e+00 1.500000e+00 1.500000e+00 1.666667e-01 1.666667e-01 1.666667e-01
28543: 2.428571e+00 1.571429e+00 1.285714e+00 2.857143e-01 2.857143e-01 1.428571e-01
28543: 2.500000e+00 1.500000e+00 1.375000e+00 2.500000e-01 2.500000e-01 1.250000e-01
28543: 2.555556e+00 1.666667e+00 1.222222e+00 2.222222e-01 2.222222e-01 1.111111e-01
28543: 2.500000e+00 1.500000e+00 1.400000e+00 3.000000e-01 2.000000e-01 1.000000e-01
28543: 2.454545e+00 1.727273e+00 1.272727e+00 2.727273e-01 1.818182e-01 9.090909e-02
28543: 2.500000e+00 1.583333e+00 1.333333e+00 3.333333e-01 1.666667e-01 8.333333e-02
28543: 2.461538e+00 1.538462e+00 1.384615e+00 3.846154e-01 1.538462e-01 7.692308e-02
28543: 2.500000e+00 1.642857e+00 1.285714e+00 3.571429e-01 1.428571e-01 7.142857e-02
28543: 2.466667e+00 1.600000e+00 1.400000e+00 3.333333e-01 1.333333e-01 6.666667e-02
28543: 2.437500e+00 1.562500e+00 1.437500e+00 3.750000e-01 1.250000e-01 6.250000e-02
28543: 2.411765e+00 1.588235e+00 1.352941e+00 4.117647e-01 1.176471e-01 1.176471e-01
28543: 2.388889e+00 1.555556e+00 1.444444e+00 3.888889e-01 1.111111e-01 1.111111e-01
28543: 2.421053e+00 1.631579e+00 1.368421e+00 3.684211e-01 1.052632e-01 1.052632e-01
28543: 2.400000e+00 1.550000e+00 1.450000e+00 3.500000e-01 1.500000e-01 1.000000e-01
28543: 2.428571e+00 1.571429e+00 1.380952e+00 3.333333e-01 1.904762e-01 9.523810e-02
28543: 2.409091e+00 1.545455e+00 1.409091e+00 3.636364e-01 1.818182e-01 9.090909e-02
28543: 2.391304e+00 1.565217e+00 1.434783e+00 3.478261e-01 1.739130e-01 8.695652e-02
28543: 2.458333e+00 1.541667e+00 1.375000e+00 3.750000e-01 1.666667e-01 8.333333e-02
28543: 2.480000e+00 1.560000e+00 1.360000e+00 3.600000e-01 1.600000e-01 8.000000e-02
28543: 2.500000e+00 1.576923e+00 1.346154e+00 3.461538e-01 1.538462e-01 7.692308e-02
28543: 2.518519e+00 1.518519e+00 1.407407e+00 3.333333e-01 1.481481e-01 7.407407e-02
28543: 2.500000e+00 1.571429e+00 1.392857e+00 3.214286e-01 1.428571e-01 7.142857e-02
28543: 2.482759e+00 1.551724e+00 1.448276e+00 3.103448e-01 1.379310e-01 6.896552e-02
28543: 2.500000e+00 1.566667e+00 1.400000e+00 3.000000e-01 1.333333e-01 1.000000e-01
28543: 2.516129e+00 1.548387e+00 1.387097e+00 3.225806e-01 1.290323e-01 9.677419e-02
