Forked 28570
Starting to reopen 0 and 1
Calling execv `tournament0/elexunix.py` (pid 28570)
Strategy 0: first ans is 2
Forked 28594
Starting to reopen 0 and 1
Calling execv `tournament0/lounres.py` (pid 28594)
Strategy 1: first ans is 1
Forked 28595
Starting to reopen 0 and 1
Calling execv `tournament0/the_best_strategy.py` (pid 28595)
Strategy 2: first ans is 0
Forked 28596
Starting to reopen 0 and 1
Calling execv `tournament0/fedro.py` (pid 28596)
Strategy 3: first ans is 0
Forked 28620
Starting to reopen 0 and 1
Calling execv `tournament0/pzakorko.py` (pid 28620)
Strategy 4: first ans is 0
Forked 28621
Starting to reopen 0 and 1
Calling execv `tournament0/alex_dany` (pid 28621)
28621: Started!
28621: Number of players: 6, position: 5, number of turns: 1000
28621: Random seed: 3636329263
Strategy 5: first ans is 1
28621: 3.000000e+00 2.000000e+00 1.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
28621: 2.500000e+00 2.000000e+00 1.500000e+00 0.000000e+00 0.000000e+00 0.000000e+00
28621: 2.666667e+00 1.333333e+00 1.333333e+00 6.666667e-01 0.000000e+00 0.000000e+00
28621: 2.500000e+00 1.750000e+00 1.000000e+00 5.000000e-01 2.500000e-01 0.000000e+00
28621: 2.400000e+00 1.600000e+00 1.400000e+00 4.000000e-01 2.000000e-01 0.000000e+00
28621: 2.500000e+00 1.500000e+00 1.333333e+00 5.000000e-01 1.666667e-01 0.000000e+00
28621: 2.428571e+00 1.714286e+00 1.285714e+00 4.285714e-01 1.428571e-01 0.000000e+00
28621: 2.375000e+00 1.625000e+00 1.500000e+00 3.750000e-01 1.250000e-01 0.000000e+00
28621: 2.333333e+00 1.555556e+00 1.555556e+00 4.444444e-01 1.111111e-01 0.000000e+00
28621: 2.300000e+00 1.600000e+00 1.600000e+00 4.000000e-01 1.000000e-01 0.000000e+00
28621: 2.272727e+00 1.545455e+00 1.454545e+00 6.363636e-01 9.090909e-02 0.000000e+00
28621: 2.250000e+00 1.583333e+00 1.416667e+00 5.833333e-01 1.666667e-01 0.000000e+00
28621: 2.384615e+00 1.461538e+00 1.461538e+00 5.384615e-01 1.538462e-01 0.000000e+00
28621: 2.357143e+00 1.500000e+00 1.428571e+00 5.000000e-01 2.142857e-01 0.000000e+00
28621: 2.466667e+00 1.466667e+00 1.400000e+00 4.666667e-01 2.000000e-01 0.000000e+00
28621: 2.500000e+00 1.500000e+00 1.312500e+00 5.000000e-01 1.875000e-01 0.000000e+00
28621: 2.470588e+00 1.470588e+00 1.352941e+00 4.705882e-01 2.352941e-01 0.000000e+00
28621: 2.444444e+00 1.500000e+00 1.388889e+00 4.444444e-01 2.222222e-01 0.000000e+00
28621: 2.421053e+00 1.473684e+00 1.368421e+00 4.736842e-01 2.631579e-01 0.000000e+00
28621: 2.450000e+00 1.500000e+00 1.300000e+00 5.000000e-01 2.500000e-01 0.000000e+00
28621: 2.476190e+00 1.476190e+00 1.333333e+00 4.761905e-01 2.380952e-01 0.000000e+00
28621: 2.454545e+00 1.545455e+00 1.318182e+00 4.545455e-01 2.272727e-01 0.000000e+00
28621: 2.434783e+00 1.521739e+00 1.304348e+00 5.217391e-01 2.173913e-01 0.000000e+00
28621: 2.458333e+00 1.583333e+00 1.250000e+00 5.000000e-01 2.083333e-01 0.000000e+00
28621: 2.520000e+00 1.520000e+00 1.280000e+00 4.800000e-01 2.000000e-01 0.000000e+00
28621: 2.538462e+00 1.538462e+00 1.269231e+00 4.615385e-01 1.923077e-01 0.000000e+00
28621: 2.555556e+00 1.555556e+00 1.259259e+00 4.444444e-01 1.851852e-01 0.000000e+00
28621: 2.571429e+00 1.535714e+00 1.250000e+00 4.285714e-01 2.142857e-01 0.000000e+00
28621: 2.551724e+00 1.551724e+00 1.241379e+00 4.137931e-01 2.068966e-01 3.448276e-02
28621: 2.533333e+00 1.600000e+00 1.233333e+00 4.000000e-01 2.000000e-01 3.333333e-02
28621: 2.516129e+00 1.548387e+00 1.290323e+00 4.193548e-01 1.935484e-01 3.225806e-02
28621: 2.500000e+00 1.593750e+00 1.250000e+00 4.062500e-01 2.187500e-01 3.125000e-02
28621: 2.515152e+00 1.575758e+00 1.272727e+00 3.939394e-01 2.121212e-01 3.030303e-02
28621: 2.529412e+00 1.588235e+00 1.264706e+00 3.823529e-01 2.058824e-01 2.941176e-02
28621: 2.542857e+00 1.542857e+00 1.285714e+00 4.000000e-01 2.000000e-01 2.857143e-02
28621: 2.527778e+00 1.555556e+00 1.305556e+00 3.888889e-01 1.944444e-01 2.777778e-02
28621: 2.567568e+00 1.540541e+00 1.270270e+00 4.054054e-01 1.891892e-01 2.702703e-02
28621: 2.578947e+00 1.552632e+00 1.236842e+00 4.210526e-01 1.842105e-01 2.631579e-02
28621: 2.589744e+00 1.538462e+00 1.230769e+00 4.358974e-01 1.794872e-01 2.564103e-02
28621: 2.575000e+00 1.550000e+00 1.250000e+00 4.250000e-01 1.750000e-01 2.500000e-02
28621: 2.560976e+00 1.536585e+00 1.219512e+00 4.878049e-01 1.707317e-01 2.439024e-02
28621: 2.547619e+00 1.571429e+00 1.214286e+00 4.761905e-01 1.666667e-01 2.380952e-02
28621: 2.558140e+00 1.534884e+00 1.232558e+00 4.651163e-01 1.627907e-01 4.651163e-02
28621: 2.545455e+00 1.568182e+00 1.204545e+00 4.545455e-01 1.590909e-01 6.818182e-02
28621: 2.533333e+00 1.555556e+00 1.222222e+00 4.444444e-01 1.555556e-01 8.888889e-02
28621: 2.521739e+00 1.565217e+00 1.217391e+00 4.347826e-01 1.739130e-01 8.695652e-02
28621: 2.510638e+00 1.553191e+00 1.212766e+00 4.468085e-01 1.914894e-01 8.510638e-02
28621: 2.500000e+00 1.562500e+00 1.208333e+00 4.583333e-01 1.875000e-01 8.333333e-02
28621: 2.510204e+00 1.571429e+00 1.204082e+00 4.489796e-01 1.836735e-01 8.163265e-02
28621: 2.520000e+00 1.540000e+00 1.240000e+00 4.400000e-01 1.800000e-01 8.000000e-02
28621: 2.509804e+00 1.568627e+00 1.235294e+00 4.313725e-01 1.764706e-01 7.843137e-02
28621: 2.480769e+00 1.557692e+00 1.269231e+00 4.230769e-01 1.923077e-01 7.692308e-02
28621: 2.509434e+00 1.566038e+00 1.245283e+00 4.150943e-01 1.886792e-01 7.547170e-02
28621: 2.500000e+00 1.574074e+00 1.259259e+00 4.074074e-01 1.851852e-01 7.407407e-02
28621: 2.472727e+00 1.563636e+00 1.272727e+00 4.363636e-01 1.818182e-01 7.272727e-02
28621: 2.482143e+00 1.553571e+00 1.285714e+00 4.285714e-01 1.785714e-01 7.142857e-02
28621: 2.456140e+00 1.578947e+00 1.298246e+00 4.210526e-01 1.754386e-01 7.017544e-02
28621: 2.448276e+00 1.586207e+00 1.310345e+00 4.137931e-01 1.724138e-01 6.896552e-02
28621: 2.440678e+00 1.576271e+00 1.322034e+00 4.237288e-01 1.694915e-01 6.779661e-02
28621: 2.433333e+00 1.583333e+00 1.333333e+00 4.166667e-01 1.666667e-01 6.666667e-02
28621: 2.409836e+00 1.573770e+00 1.360656e+00 4.262295e-01 1.639344e-01 6.557377e-02
28621: 2.419355e+00 1.580645e+00 1.354839e+00 4.193548e-01 1.612903e-01 6.451613e-02
28621: 2.396825e+00 1.587302e+00 1.380952e+00 4.126984e-01 1.587302e-01 6.349206e-02
28621: 2.390625e+00 1.578125e+00 1.390625e+00 4.062500e-01 1.718750e-01 6.250000e-02
28621: 2.369231e+00 1.584615e+00 1.384615e+00 4.153846e-01 1.846154e-01 6.153846e-02
28621: 2.363636e+00 1.575758e+00 1.409091e+00 4.090909e-01 1.818182e-01 6.060606e-02
28621: 2.358209e+00 1.567164e+00 1.417910e+00 4.179104e-01 1.791045e-01 5.970149e-02
28621: 2.352941e+00 1.573529e+00 1.426471e+00 4.117647e-01 1.764706e-01 5.882353e-02
28621: 2.333333e+00 1.565217e+00 1.434783e+00 4.202899e-01 1.884058e-01 5.797101e-02
28621: 2.328571e+00 1.571429e+00 1.428571e+00 4.285714e-01 1.857143e-01 5.714286e-02
28621: 2.309859e+00 1.549296e+00 1.464789e+00 4.225352e-01 1.971831e-01 5.633803e-02
28621: 2.305556e+00 1.541667e+00 1.486111e+00 4.166667e-01 1.944444e-01 5.555556e-02
28621: 2.287671e+00 1.547945e+00 1.493151e+00 4.246575e-01 1.917808e-01 5.479452e-02
28621: 2.297297e+00 1.540541e+00 1.500000e+00 4.189189e-01 1.891892e-01 5.405405e-02
28621: 2.293333e+00 1.546667e+00 1.493333e+00 4.133333e-01 2.000000e-01 5.333333e-02
28621: 2.276316e+00 1.539474e+00 1.526316e+00 4.078947e-01 1.973684e-01 5.263158e-02
28621: 2.285714e+00 1.545455e+00 1.506494e+00 4.155844e-01 1.948052e-01 5.194805e-02
28621: 2.269231e+00 1.551282e+00 1.512821e+00 4.102564e-01 2.051282e-01 5.128205e-02
28621: 2.265823e+00 1.556962e+00 1.506329e+00 4.177215e-01 2.025316e-01 5.063291e-02
28621: 2.250000e+00 1.562500e+00 1.525000e+00 4.125000e-01 2.000000e-01 5.000000e-02
28621: 2.246914e+00 1.567901e+00 1.518519e+00 4.197531e-01 1.975309e-01 4.938272e-02
28621: 2.231707e+00 1.573171e+00 1.524390e+00 4.146341e-01 2.073171e-01 4.878049e-02
28621: 2.240964e+00 1.578313e+00 1.518072e+00 4.096386e-01 2.048193e-01 4.819277e-02
28621: 2.238095e+00 1.559524e+00 1.547619e+00 4.047619e-01 2.023810e-01 4.761905e-02
28621: 2.223529e+00 1.564706e+00 1.552941e+00 4.000000e-01 2.117647e-01 4.705882e-02
28621: 2.232558e+00 1.569767e+00 1.546512e+00 3.953488e-01 2.093023e-01 4.651163e-02
28621: 2.229885e+00 1.574713e+00 1.551724e+00 3.908046e-01 2.068966e-01 4.597701e-02
28621: 2.227273e+00 1.579545e+00 1.545455e+00 3.977273e-01 2.045455e-01 4.545455e-02
28621: 2.224719e+00 1.573034e+00 1.561798e+00 3.932584e-01 2.022472e-01 4.494382e-02
28621: 2.222222e+00 1.588889e+00 1.555556e+00 3.888889e-01 2.000000e-01 4.444444e-02
28621: 2.219780e+00 1.582418e+00 1.571429e+00 3.846154e-01 1.978022e-01 4.395604e-02
28621: 2.206522e+00 1.586957e+00 1.565217e+00 3.913043e-01 2.065217e-01 4.347826e-02
28621: 2.204301e+00 1.580645e+00 1.559140e+00 3.978495e-01 2.150538e-01 4.301075e-02
28621: 2.191489e+00 1.585106e+00 1.563830e+00 4.042553e-01 2.127660e-01 4.255319e-02
28621: 2.189474e+00 1.578947e+00 1.568421e+00 4.000000e-01 2.105263e-01 5.263158e-02
28621: 2.177083e+00 1.583333e+00 1.583333e+00 3.958333e-01 2.083333e-01 5.208333e-02
28621: 2.175258e+00 1.577320e+00 1.587629e+00 4.020619e-01 2.061856e-01 5.154639e-02
28621: 2.163265e+00 1.581633e+00 1.581633e+00 4.183673e-01 2.040816e-01 5.102041e-02
28621: 2.171717e+00 1.575758e+00 1.575758e+00 4.242424e-01 2.020202e-01 5.050505e-02
28621: 2.170000e+00 1.590000e+00 1.560000e+00 4.300000e-01 2.000000e-01 5.000000e-02
28621: 2.168317e+00 1.574257e+00 1.574257e+00 4.356436e-01 1.980198e-01 4.950495e-02
28621: 2.166667e+00 1.578431e+00 1.568627e+00 4.411765e-01 1.960784e-01 4.901961e-02
28621: 2.165049e+00 1.582524e+00 1.572816e+00 4.368932e-01 1.941748e-01 4.854369e-02
28621: 2.153846e+00 1.576923e+00 1.567308e+00 4.615385e-01 1.923077e-01 4.807692e-02
28621: 2.152381e+00 1.580952e+00 1.561905e+00 4.571429e-01 2.000000e-01 4.761905e-02
28621: 2.141509e+00 1.594340e+00 1.566038e+00 4.528302e-01 1.981132e-01 4.716981e-02
28621: 2.140187e+00 1.579439e+00 1.579439e+00 4.579439e-01 1.962617e-01 4.672897e-02
28621: 2.129630e+00 1.601852e+00 1.564815e+00 4.629630e-01 1.944444e-01 4.629630e-02
28621: 2.137615e+00 1.596330e+00 1.568807e+00 4.587156e-01 1.926606e-01 4.587156e-02
