Forked 28782
Starting to reopen 0 and 1
Calling execv `tournament0/elexunix.py` (pid 28782)
Strategy 0: first ans is 2
Forked 28806
Starting to reopen 0 and 1
Calling execv `tournament0/the_best_strategy.py` (pid 28806)
Strategy 1: first ans is 0
Forked 28807
Starting to reopen 0 and 1
Calling execv `tournament0/lounres.py` (pid 28807)
Strategy 2: first ans is 1
Forked 28808
Starting to reopen 0 and 1
Calling execv `tournament0/pzakorko.py` (pid 28808)
Strategy 3: first ans is 0
Forked 28809
Starting to reopen 0 and 1
Calling execv `tournament0/alex_dany` (pid 28809)
28809: Started!
28809: Number of players: 6, position: 4, number of turns: 1000
28809: Random seed: 2185253294
Strategy 4: first ans is 1
Forked 28810
Starting to reopen 0 and 1
Calling execv `tournament0/fedro.py` (pid 28810)
Strategy 5: first ans is 0
28809: 3.000000e+00 2.000000e+00 1.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
28809: 2.500000e+00 1.500000e+00 2.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
28809: 2.666667e+00 1.666667e+00 1.333333e+00 3.333333e-01 0.000000e+00 0.000000e+00
28809: 2.500000e+00 1.500000e+00 1.500000e+00 5.000000e-01 0.000000e+00 0.000000e+00
28809: 2.600000e+00 1.800000e+00 1.200000e+00 4.000000e-01 0.000000e+00 0.000000e+00
28809: 2.500000e+00 1.500000e+00 1.666667e+00 3.333333e-01 0.000000e+00 0.000000e+00
28809: 2.428571e+00 1.571429e+00 1.571429e+00 4.285714e-01 0.000000e+00 0.000000e+00
28809: 2.500000e+00 1.375000e+00 1.625000e+00 5.000000e-01 0.000000e+00 0.000000e+00
28809: 2.444444e+00 1.444444e+00 1.444444e+00 5.555556e-01 1.111111e-01 0.000000e+00
28809: 2.400000e+00 1.400000e+00 1.600000e+00 5.000000e-01 1.000000e-01 0.000000e+00
28809: 2.454545e+00 1.454545e+00 1.545455e+00 4.545455e-01 9.090909e-02 0.000000e+00
28809: 2.500000e+00 1.500000e+00 1.500000e+00 4.166667e-01 8.333333e-02 0.000000e+00
28809: 2.538462e+00 1.538462e+00 1.461538e+00 3.846154e-01 7.692308e-02 0.000000e+00
28809: 2.500000e+00 1.500000e+00 1.500000e+00 4.285714e-01 7.142857e-02 0.000000e+00
28809: 2.466667e+00 1.600000e+00 1.466667e+00 4.000000e-01 6.666667e-02 0.000000e+00
28809: 2.500000e+00 1.500000e+00 1.500000e+00 3.750000e-01 6.250000e-02 6.250000e-02
28809: 2.529412e+00 1.588235e+00 1.411765e+00 3.529412e-01 5.882353e-02 5.882353e-02
28809: 2.500000e+00 1.500000e+00 1.555556e+00 3.333333e-01 5.555556e-02 5.555556e-02
28809: 2.526316e+00 1.526316e+00 1.526316e+00 3.157895e-01 5.263158e-02 5.263158e-02
28809: 2.500000e+00 1.500000e+00 1.550000e+00 3.500000e-01 5.000000e-02 5.000000e-02
28809: 2.523810e+00 1.523810e+00 1.523810e+00 3.333333e-01 4.761905e-02 4.761905e-02
28809: 2.545455e+00 1.500000e+00 1.545455e+00 3.181818e-01 4.545455e-02 4.545455e-02
28809: 2.521739e+00 1.565217e+00 1.521739e+00 3.043478e-01 4.347826e-02 4.347826e-02
28809: 2.541667e+00 1.541667e+00 1.541667e+00 2.916667e-01 4.166667e-02 4.166667e-02
28809: 2.560000e+00 1.560000e+00 1.520000e+00 2.800000e-01 4.000000e-02 4.000000e-02
28809: 2.615385e+00 1.538462e+00 1.500000e+00 2.692308e-01 3.846154e-02 3.846154e-02
28809: 2.592593e+00 1.592593e+00 1.481481e+00 2.592593e-01 3.703704e-02 3.703704e-02
28809: 2.607143e+00 1.535714e+00 1.500000e+00 2.857143e-01 3.571429e-02 3.571429e-02
28809: 2.620690e+00 1.551724e+00 1.482759e+00 2.758621e-01 3.448276e-02 3.448276e-02
28809: 2.600000e+00 1.566667e+00 1.466667e+00 3.000000e-01 3.333333e-02 3.333333e-02
28809: 2.612903e+00 1.580645e+00 1.451613e+00 2.903226e-01 3.225806e-02 3.225806e-02
28809: 2.593750e+00 1.531250e+00 1.500000e+00 2.812500e-01 6.250000e-02 3.125000e-02
28809: 2.575758e+00 1.545455e+00 1.484848e+00 3.030303e-01 6.060606e-02 3.030303e-02
28809: 2.558824e+00 1.558824e+00 1.500000e+00 2.941176e-01 5.882353e-02 2.941176e-02
28809: 2.571429e+00 1.542857e+00 1.457143e+00 3.428571e-01 5.714286e-02 2.857143e-02
28809: 2.611111e+00 1.555556e+00 1.416667e+00 3.333333e-01 5.555556e-02 2.777778e-02
28809: 2.594595e+00 1.567568e+00 1.405405e+00 3.243243e-01 8.108108e-02 2.702703e-02
28809: 2.578947e+00 1.552632e+00 1.421053e+00 3.421053e-01 7.894737e-02 2.631579e-02
28809: 2.564103e+00 1.589744e+00 1.384615e+00 3.333333e-01 7.692308e-02 5.128205e-02
28809: 2.550000e+00 1.550000e+00 1.425000e+00 3.500000e-01 7.500000e-02 5.000000e-02
28809: 2.585366e+00 1.560976e+00 1.390244e+00 3.414634e-01 7.317073e-02 4.878049e-02
28809: 2.571429e+00 1.571429e+00 1.380952e+00 3.571429e-01 7.142857e-02 4.761905e-02
28809: 2.581395e+00 1.534884e+00 1.395349e+00 3.488372e-01 9.302326e-02 4.651163e-02
28809: 2.590909e+00 1.545455e+00 1.386364e+00 3.409091e-01 9.090909e-02 4.545455e-02
28809: 2.600000e+00 1.555556e+00 1.377778e+00 3.333333e-01 8.888889e-02 4.444444e-02
28809: 2.608696e+00 1.543478e+00 1.391304e+00 3.260870e-01 8.695652e-02 4.347826e-02
28809: 2.617021e+00 1.553191e+00 1.382979e+00 3.191489e-01 8.510638e-02 4.255319e-02
28809: 2.604167e+00 1.541667e+00 1.395833e+00 3.333333e-01 8.333333e-02 4.166667e-02
28809: 2.591837e+00 1.551020e+00 1.408163e+00 3.265306e-01 8.163265e-02 4.081633e-02
28809: 2.580000e+00 1.540000e+00 1.380000e+00 3.600000e-01 1.000000e-01 4.000000e-02
28809: 2.607843e+00 1.549020e+00 1.352941e+00 3.529412e-01 9.803922e-02 3.921569e-02
28809: 2.615385e+00 1.538462e+00 1.365385e+00 3.461538e-01 9.615385e-02 3.846154e-02
28809: 2.603774e+00 1.584906e+00 1.339623e+00 3.396226e-01 9.433962e-02 3.773585e-02
28809: 2.592593e+00 1.555556e+00 1.370370e+00 3.518519e-01 9.259259e-02 3.703704e-02
