Forked 28941
Starting to reopen 0 and 1
Calling execv `tournament0/lounres.py` (pid 28941)
Strategy 0: first ans is 1
Forked 28942
Starting to reopen 0 and 1
Calling execv `tournament0/alex_dany` (pid 28942)
28942: Started!
28942: Number of players: 6, position: 1, number of turns: 1000
28942: Random seed: 4269938481
Strategy 1: first ans is 1
Forked 28943
Starting to reopen 0 and 1
Calling execv `tournament0/elexunix.py` (pid 28943)
Strategy 2: first ans is 4
Forked 28967
Starting to reopen 0 and 1
Calling execv `tournament0/pzakorko.py` (pid 28967)
Strategy 3: first ans is 0
Forked 28968
Starting to reopen 0 and 1
Calling execv `tournament0/fedro.py` (pid 28968)
Strategy 4: first ans is 0
Forked 28992
Starting to reopen 0 and 1
Calling execv `tournament0/the_best_strategy.py` (pid 28992)
Strategy 5: first ans is 0
28942: 3.000000e+00 2.000000e+00 0.000000e+00 0.000000e+00 1.000000e+00 0.000000e+00
28942: 3.000000e+00 1.000000e+00 1.500000e+00 0.000000e+00 5.000000e-01 0.000000e+00
28942: 2.666667e+00 1.333333e+00 1.333333e+00 3.333333e-01 3.333333e-01 0.000000e+00
28942: 2.750000e+00 1.250000e+00 1.500000e+00 2.500000e-01 2.500000e-01 0.000000e+00
28942: 2.800000e+00 1.600000e+00 1.200000e+00 2.000000e-01 2.000000e-01 0.000000e+00
28942: 2.833333e+00 1.500000e+00 1.333333e+00 1.666667e-01 1.666667e-01 0.000000e+00
28942: 3.000000e+00 1.571429e+00 1.142857e+00 1.428571e-01 1.428571e-01 0.000000e+00
28942: 2.875000e+00 1.375000e+00 1.375000e+00 1.250000e-01 2.500000e-01 0.000000e+00
28942: 2.777778e+00 1.555556e+00 1.333333e+00 1.111111e-01 2.222222e-01 0.000000e+00
28942: 2.700000e+00 1.500000e+00 1.500000e+00 1.000000e-01 2.000000e-01 0.000000e+00
28942: 2.727273e+00 1.636364e+00 1.363636e+00 9.090909e-02 1.818182e-01 0.000000e+00
28942: 2.833333e+00 1.500000e+00 1.416667e+00 8.333333e-02 1.666667e-01 0.000000e+00
28942: 2.846154e+00 1.538462e+00 1.384615e+00 7.692308e-02 1.538462e-01 0.000000e+00
28942: 2.857143e+00 1.500000e+00 1.428571e+00 7.142857e-02 1.428571e-01 0.000000e+00
28942: 2.866667e+00 1.533333e+00 1.333333e+00 1.333333e-01 1.333333e-01 0.000000e+00
28942: 2.812500e+00 1.500000e+00 1.375000e+00 1.875000e-01 1.250000e-01 0.000000e+00
28942: 2.764706e+00 1.529412e+00 1.294118e+00 2.352941e-01 1.764706e-01 0.000000e+00
28942: 2.777778e+00 1.500000e+00 1.277778e+00 2.777778e-01 1.666667e-01 0.000000e+00
28942: 2.789474e+00 1.578947e+00 1.210526e+00 2.631579e-01 1.578947e-01 0.000000e+00
28942: 2.750000e+00 1.500000e+00 1.300000e+00 3.000000e-01 1.500000e-01 0.000000e+00
28942: 2.761905e+00 1.523810e+00 1.285714e+00 2.857143e-01 1.428571e-01 0.000000e+00
28942: 2.818182e+00 1.500000e+00 1.272727e+00 2.727273e-01 1.363636e-01 0.000000e+00
28942: 2.782609e+00 1.521739e+00 1.260870e+00 2.608696e-01 1.304348e-01 4.347826e-02
28942: 2.750000e+00 1.583333e+00 1.250000e+00 2.500000e-01 1.250000e-01 4.166667e-02
