Forked 29047
Starting to reopen 0 and 1
Calling execv `tournament0/lounres.py` (pid 29047)
Strategy 0: first ans is 1
Forked 29048
Starting to reopen 0 and 1
Calling execv `tournament0/alex_dany` (pid 29048)
29048: Started!
29048: Number of players: 6, position: 1, number of turns: 1000
29048: Random seed: 3279236705
Strategy 1: first ans is 0
Forked 29049
Starting to reopen 0 and 1
Calling execv `tournament0/the_best_strategy.py` (pid 29049)
Strategy 2: first ans is 0
Forked 29050
Starting to reopen 0 and 1
Calling execv `tournament0/elexunix.py` (pid 29050)
Strategy 3: first ans is 4
Forked 29074
Starting to reopen 0 and 1
Calling execv `tournament0/fedro.py` (pid 29074)
Strategy 4: first ans is 0
Forked 29098
Starting to reopen 0 and 1
Calling execv `tournament0/pzakorko.py` (pid 29098)
Strategy 5: first ans is 0
29048: 4.000000e+00 1.000000e+00 0.000000e+00 0.000000e+00 1.000000e+00 0.000000e+00
29048: 4.000000e+00 1.500000e+00 0.000000e+00 0.000000e+00 5.000000e-01 0.000000e+00
29048: 3.333333e+00 1.333333e+00 1.000000e+00 0.000000e+00 3.333333e-01 0.000000e+00
29048: 3.250000e+00 1.500000e+00 7.500000e-01 2.500000e-01 2.500000e-01 0.000000e+00
29048: 3.000000e+00 1.600000e+00 8.000000e-01 4.000000e-01 2.000000e-01 0.000000e+00
29048: 2.833333e+00 1.500000e+00 1.166667e+00 3.333333e-01 1.666667e-01 0.000000e+00
29048: 2.714286e+00 1.857143e+00 1.000000e+00 2.857143e-01 1.428571e-01 0.000000e+00
29048: 2.625000e+00 1.625000e+00 1.375000e+00 2.500000e-01 1.250000e-01 0.000000e+00
29048: 2.666667e+00 1.555556e+00 1.333333e+00 3.333333e-01 1.111111e-01 0.000000e+00
29048: 2.600000e+00 1.700000e+00 1.200000e+00 4.000000e-01 1.000000e-01 0.000000e+00
29048: 2.545455e+00 1.545455e+00 1.272727e+00 5.454545e-01 9.090909e-02 0.000000e+00
29048: 2.500000e+00 1.583333e+00 1.250000e+00 5.833333e-01 8.333333e-02 0.000000e+00
29048: 2.461538e+00 1.538462e+00 1.384615e+00 5.384615e-01 7.692308e-02 0.000000e+00
29048: 2.428571e+00 1.714286e+00 1.285714e+00 5.000000e-01 7.142857e-02 0.000000e+00
29048: 2.400000e+00 1.733333e+00 1.333333e+00 4.666667e-01 6.666667e-02 0.000000e+00
29048: 2.375000e+00 1.687500e+00 1.375000e+00 5.000000e-01 6.250000e-02 0.000000e+00
29048: 2.411765e+00 1.705882e+00 1.352941e+00 4.705882e-01 5.882353e-02 0.000000e+00
29048: 2.388889e+00 1.611111e+00 1.444444e+00 5.000000e-01 5.555556e-02 0.000000e+00
29048: 2.421053e+00 1.578947e+00 1.421053e+00 4.736842e-01 5.263158e-02 5.263158e-02
29048: 2.400000e+00 1.550000e+00 1.450000e+00 5.000000e-01 5.000000e-02 5.000000e-02
29048: 2.428571e+00 1.571429e+00 1.428571e+00 4.761905e-01 4.761905e-02 4.761905e-02
29048: 2.409091e+00 1.590909e+00 1.454545e+00 4.545455e-01 4.545455e-02 4.545455e-02
29048: 2.391304e+00 1.608696e+00 1.434783e+00 4.782609e-01 4.347826e-02 4.347826e-02
29048: 2.375000e+00 1.541667e+00 1.500000e+00 5.000000e-01 4.166667e-02 4.166667e-02
29048: 2.400000e+00 1.560000e+00 1.480000e+00 4.800000e-01 4.000000e-02 4.000000e-02
29048: 2.423077e+00 1.576923e+00 1.461538e+00 4.615385e-01 3.846154e-02 3.846154e-02
29048: 2.444444e+00 1.518519e+00 1.481481e+00 4.444444e-01 7.407407e-02 3.703704e-02
29048: 2.428571e+00 1.535714e+00 1.500000e+00 4.285714e-01 7.142857e-02 3.571429e-02
