Forked 29630
Starting to reopen 0 and 1
Calling execv `tournament0/pzakorko.py` (pid 29630)
Strategy 0: first ans is 0
Forked 29631
Starting to reopen 0 and 1
Calling execv `tournament0/the_best_strategy.py` (pid 29631)
Strategy 1: first ans is 0
Forked 29632
Starting to reopen 0 and 1
Calling execv `tournament0/elexunix.py` (pid 29632)
Strategy 2: first ans is 1
Forked 29656
Starting to reopen 0 and 1
Calling execv `tournament0/alex_dany` (pid 29656)
29656: Started!
29656: Number of players: 6, position: 3, number of turns: 1000
29656: Random seed: 21203414
Strategy 3: first ans is 0
Forked 29657
Starting to reopen 0 and 1
Calling execv `tournament0/lounres.py` (pid 29657)
Strategy 4: first ans is 1
Forked 29658
Starting to reopen 0 and 1
Calling execv `tournament0/fedro.py` (pid 29658)
Strategy 5: first ans is 0
29656: 4.000000e+00 2.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
29656: 3.000000e+00 1.500000e+00 1.000000e+00 0.000000e+00 5.000000e-01 0.000000e+00
29656: 2.666667e+00 2.000000e+00 1.000000e+00 0.000000e+00 3.333333e-01 0.000000e+00
29656: 2.750000e+00 1.500000e+00 1.500000e+00 0.000000e+00 2.500000e-01 0.000000e+00
29656: 2.600000e+00 1.600000e+00 1.400000e+00 2.000000e-01 2.000000e-01 0.000000e+00
29656: 2.500000e+00 1.500000e+00 1.666667e+00 1.666667e-01 1.666667e-01 0.000000e+00
29656: 2.571429e+00 1.571429e+00 1.571429e+00 1.428571e-01 1.428571e-01 0.000000e+00
29656: 2.500000e+00 1.625000e+00 1.500000e+00 2.500000e-01 1.250000e-01 0.000000e+00
29656: 2.444444e+00 1.444444e+00 1.666667e+00 2.222222e-01 2.222222e-01 0.000000e+00
29656: 2.500000e+00 1.500000e+00 1.600000e+00 2.000000e-01 2.000000e-01 0.000000e+00
29656: 2.545455e+00 1.454545e+00 1.545455e+00 1.818182e-01 2.727273e-01 0.000000e+00
29656: 2.500000e+00 1.583333e+00 1.500000e+00 1.666667e-01 2.500000e-01 0.000000e+00
29656: 2.461538e+00 1.538462e+00 1.538462e+00 2.307692e-01 2.307692e-01 0.000000e+00
29656: 2.500000e+00 1.571429e+00 1.428571e+00 2.142857e-01 2.857143e-01 0.000000e+00
29656: 2.466667e+00 1.533333e+00 1.533333e+00 2.000000e-01 2.666667e-01 0.000000e+00
29656: 2.437500e+00 1.625000e+00 1.437500e+00 2.500000e-01 2.500000e-01 0.000000e+00
29656: 2.411765e+00 1.529412e+00 1.529412e+00 2.941176e-01 2.352941e-01 0.000000e+00
29656: 2.444444e+00 1.555556e+00 1.500000e+00 2.777778e-01 2.222222e-01 0.000000e+00
29656: 2.473684e+00 1.578947e+00 1.473684e+00 2.631579e-01 2.105263e-01 0.000000e+00
29656: 2.450000e+00 1.550000e+00 1.550000e+00 2.500000e-01 2.000000e-01 0.000000e+00
29656: 2.428571e+00 1.619048e+00 1.476190e+00 2.380952e-01 2.380952e-01 0.000000e+00
29656: 2.454545e+00 1.545455e+00 1.545455e+00 2.272727e-01 2.272727e-01 0.000000e+00
29656: 2.478261e+00 1.565217e+00 1.478261e+00 2.608696e-01 2.173913e-01 0.000000e+00
29656: 2.458333e+00 1.583333e+00 1.500000e+00 2.500000e-01 2.083333e-01 0.000000e+00
29656: 2.440000e+00 1.560000e+00 1.520000e+00 2.800000e-01 2.000000e-01 0.000000e+00
29656: 2.423077e+00 1.615385e+00 1.461538e+00 3.076923e-01 1.923077e-01 0.000000e+00
29656: 2.407407e+00 1.555556e+00 1.518519e+00 3.333333e-01 1.851852e-01 0.000000e+00
29656: 2.392857e+00 1.571429e+00 1.464286e+00 3.571429e-01 2.142857e-01 0.000000e+00
29656: 2.413793e+00 1.517241e+00 1.482759e+00 3.793103e-01 2.068966e-01 0.000000e+00
29656: 2.433333e+00 1.566667e+00 1.433333e+00 3.666667e-01 2.000000e-01 0.000000e+00
29656: 2.419355e+00 1.580645e+00 1.451613e+00 3.548387e-01 1.935484e-01 0.000000e+00
29656: 2.437500e+00 1.562500e+00 1.437500e+00 3.750000e-01 1.875000e-01 0.000000e+00
29656: 2.424242e+00 1.575758e+00 1.454545e+00 3.636364e-01 1.818182e-01 0.000000e+00
29656: 2.441176e+00 1.558824e+00 1.441176e+00 3.823529e-01 1.764706e-01 0.000000e+00
29656: 2.457143e+00 1.571429e+00 1.428571e+00 3.714286e-01 1.714286e-01 0.000000e+00
29656: 2.472222e+00 1.527778e+00 1.472222e+00 3.611111e-01 1.666667e-01 0.000000e+00
29656: 2.486486e+00 1.540541e+00 1.432432e+00 3.513514e-01 1.621622e-01 2.702703e-02
29656: 2.473684e+00 1.526316e+00 1.447368e+00 3.421053e-01 1.842105e-01 2.631579e-02
29656: 2.461538e+00 1.564103e+00 1.435897e+00 3.333333e-01 1.794872e-01 2.564103e-02
29656: 2.450000e+00 1.550000e+00 1.450000e+00 3.500000e-01 1.750000e-01 2.500000e-02
29656: 2.463415e+00 1.585366e+00 1.414634e+00 3.414634e-01 1.707317e-01 2.439024e-02
29656: 2.428571e+00 1.595238e+00 1.452381e+00 3.333333e-01 1.666667e-01 2.380952e-02
29656: 2.418605e+00 1.604651e+00 1.441860e+00 3.255814e-01 1.860465e-01 2.325581e-02
29656: 2.386364e+00 1.590909e+00 1.500000e+00 3.181818e-01 1.818182e-01 2.272727e-02
29656: 2.377778e+00 1.577778e+00 1.488889e+00 3.555556e-01 1.777778e-01 2.222222e-02
29656: 2.347826e+00 1.586957e+00 1.521739e+00 3.478261e-01 1.739130e-01 2.173913e-02
29656: 2.340426e+00 1.574468e+00 1.531915e+00 3.404255e-01 1.914894e-01 2.127660e-02
29656: 2.312500e+00 1.583333e+00 1.562500e+00 3.333333e-01 1.875000e-01 2.083333e-02
