Forked 30531
Starting to reopen 0 and 1
Calling execv `tournament0/pzakorko.py` (pid 30531)
Strategy 0: first ans is 0
Forked 30532
Starting to reopen 0 and 1
Calling execv `tournament0/the_best_strategy.py` (pid 30532)
Strategy 1: first ans is 0
Forked 30533
Starting to reopen 0 and 1
Calling execv `tournament0/alex_dany` (pid 30533)
30533: Started!
30533: Number of players: 6, position: 2, number of turns: 1000
30533: Random seed: 4289922396
Strategy 2: first ans is 1
Forked 30534
Starting to reopen 0 and 1
Calling execv `tournament0/fedro.py` (pid 30534)
Strategy 3: first ans is 0
Forked 30558
Starting to reopen 0 and 1
Calling execv `tournament0/elexunix.py` (pid 30558)
Strategy 4: first ans is 1
Forked 30582
Starting to reopen 0 and 1
Calling execv `tournament0/lounres.py` (pid 30582)
Strategy 5: first ans is 1
30533: 3.000000e+00 3.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
30533: 2.500000e+00 1.500000e+00 1.000000e+00 5.000000e-01 0.000000e+00 5.000000e-01
30533: 2.666667e+00 1.666667e+00 1.000000e+00 3.333333e-01 0.000000e+00 3.333333e-01
30533: 2.500000e+00 1.250000e+00 1.250000e+00 7.500000e-01 0.000000e+00 2.500000e-01
30533: 2.400000e+00 1.600000e+00 1.200000e+00 6.000000e-01 0.000000e+00 2.000000e-01
30533: 2.333333e+00 1.333333e+00 1.500000e+00 6.666667e-01 0.000000e+00 1.666667e-01
30533: 2.285714e+00 1.428571e+00 1.571429e+00 5.714286e-01 0.000000e+00 1.428571e-01
30533: 2.250000e+00 1.375000e+00 1.500000e+00 6.250000e-01 1.250000e-01 1.250000e-01
30533: 2.333333e+00 1.555556e+00 1.333333e+00 5.555556e-01 1.111111e-01 1.111111e-01
30533: 2.400000e+00 1.500000e+00 1.400000e+00 5.000000e-01 1.000000e-01 1.000000e-01
30533: 2.454545e+00 1.545455e+00 1.363636e+00 4.545455e-01 9.090909e-02 9.090909e-02
30533: 2.500000e+00 1.500000e+00 1.416667e+00 4.166667e-01 8.333333e-02 8.333333e-02
30533: 2.461538e+00 1.615385e+00 1.307692e+00 3.846154e-01 1.538462e-01 7.692308e-02
30533: 2.500000e+00 1.500000e+00 1.428571e+00 3.571429e-01 1.428571e-01 7.142857e-02
30533: 2.533333e+00 1.533333e+00 1.400000e+00 3.333333e-01 1.333333e-01 6.666667e-02
30533: 2.500000e+00 1.562500e+00 1.437500e+00 3.125000e-01 1.250000e-01 6.250000e-02
30533: 2.470588e+00 1.529412e+00 1.352941e+00 4.705882e-01 1.176471e-01 5.882353e-02
30533: 2.500000e+00 1.555556e+00 1.333333e+00 4.444444e-01 1.111111e-01 5.555556e-02
30533: 2.526316e+00 1.526316e+00 1.315789e+00 4.736842e-01 1.052632e-01 5.263158e-02
30533: 2.500000e+00 1.550000e+00 1.250000e+00 5.000000e-01 1.500000e-01 5.000000e-02
30533: 2.476190e+00 1.571429e+00 1.238095e+00 4.761905e-01 1.904762e-01 4.761905e-02
30533: 2.454545e+00 1.545455e+00 1.318182e+00 4.545455e-01 1.818182e-01 4.545455e-02
30533: 2.434783e+00 1.565217e+00 1.347826e+00 4.347826e-01 1.739130e-01 4.347826e-02
30533: 2.416667e+00 1.541667e+00 1.333333e+00 5.000000e-01 1.666667e-01 4.166667e-02
30533: 2.400000e+00 1.560000e+00 1.320000e+00 4.800000e-01 2.000000e-01 4.000000e-02
30533: 2.384615e+00 1.576923e+00 1.346154e+00 4.615385e-01 1.923077e-01 3.846154e-02
30533: 2.407407e+00 1.555556e+00 1.333333e+00 4.814815e-01 1.851852e-01 3.703704e-02
30533: 2.428571e+00 1.571429e+00 1.285714e+00 5.000000e-01 1.785714e-01 3.571429e-02
30533: 2.413793e+00 1.551724e+00 1.344828e+00 4.827586e-01 1.724138e-01 3.448276e-02
30533: 2.400000e+00 1.600000e+00 1.333333e+00 4.666667e-01 1.666667e-01 3.333333e-02
30533: 2.387097e+00 1.580645e+00 1.354839e+00 4.516129e-01 1.612903e-01 6.451613e-02
30533: 2.437500e+00 1.562500e+00 1.343750e+00 4.375000e-01 1.562500e-01 6.250000e-02
30533: 2.424242e+00 1.575758e+00 1.303030e+00 4.545455e-01 1.515152e-01 9.090909e-02
30533: 2.411765e+00 1.558824e+00 1.352941e+00 4.411765e-01 1.470588e-01 8.823529e-02
30533: 2.428571e+00 1.600000e+00 1.314286e+00 4.285714e-01 1.428571e-01 8.571429e-02
30533: 2.416667e+00 1.555556e+00 1.361111e+00 4.444444e-01 1.388889e-01 8.333333e-02
30533: 2.405405e+00 1.567568e+00 1.378378e+00 4.324324e-01 1.351351e-01 8.108108e-02
30533: 2.421053e+00 1.552632e+00 1.342105e+00 4.473684e-01 1.578947e-01 7.894737e-02
30533: 2.410256e+00 1.564103e+00 1.333333e+00 4.615385e-01 1.538462e-01 7.692308e-02
30533: 2.425000e+00 1.550000e+00 1.350000e+00 4.500000e-01 1.500000e-01 7.500000e-02
30533: 2.414634e+00 1.560976e+00 1.341463e+00 4.634146e-01 1.463415e-01 7.317073e-02
30533: 2.404762e+00 1.547619e+00 1.357143e+00 4.523810e-01 1.666667e-01 7.142857e-02
30533: 2.395349e+00 1.558140e+00 1.372093e+00 4.418605e-01 1.627907e-01 6.976744e-02
30533: 2.409091e+00 1.568182e+00 1.340909e+00 4.545455e-01 1.590909e-01 6.818182e-02
30533: 2.422222e+00 1.577778e+00 1.333333e+00 4.444444e-01 1.555556e-01 6.666667e-02
30533: 2.413043e+00 1.586957e+00 1.347826e+00 4.347826e-01 1.521739e-01 6.521739e-02
30533: 2.404255e+00 1.553191e+00 1.361702e+00 4.680851e-01 1.489362e-01 6.382979e-02
30533: 2.395833e+00 1.562500e+00 1.333333e+00 5.000000e-01 1.458333e-01 6.250000e-02
30533: 2.387755e+00 1.571429e+00 1.346939e+00 4.897959e-01 1.428571e-01 6.122449e-02
30533: 2.380000e+00 1.560000e+00 1.360000e+00 5.000000e-01 1.400000e-01 6.000000e-02
30533: 2.392157e+00 1.568627e+00 1.352941e+00 4.901961e-01 1.372549e-01 5.882353e-02
30533: 2.403846e+00 1.576923e+00 1.346154e+00 4.807692e-01 1.346154e-01 5.769231e-02
30533: 2.415094e+00 1.547170e+00 1.377358e+00 4.716981e-01 1.320755e-01 5.660377e-02
30533: 2.425926e+00 1.574074e+00 1.351852e+00 4.629630e-01 1.296296e-01 5.555556e-02
30533: 2.436364e+00 1.545455e+00 1.363636e+00 4.727273e-01 1.272727e-01 5.454545e-02
30533: 2.446429e+00 1.553571e+00 1.357143e+00 4.642857e-01 1.250000e-01 5.357143e-02
30533: 2.438596e+00 1.543860e+00 1.350877e+00 4.736842e-01 1.403509e-01 5.263158e-02
30533: 2.431034e+00 1.551724e+00 1.344828e+00 4.655172e-01 1.551724e-01 5.172414e-02
30533: 2.440678e+00 1.559322e+00 1.338983e+00 4.576271e-01 1.525424e-01 5.084746e-02
30533: 2.433333e+00 1.550000e+00 1.333333e+00 4.833333e-01 1.500000e-01 5.000000e-02
30533: 2.426230e+00 1.557377e+00 1.344262e+00 4.754098e-01 1.475410e-01 4.918033e-02
30533: 2.435484e+00 1.548387e+00 1.338710e+00 4.838710e-01 1.451613e-01 4.838710e-02
30533: 2.428571e+00 1.571429e+00 1.333333e+00 4.761905e-01 1.428571e-01 4.761905e-02
