Forked 31008
Starting to reopen 0 and 1
Calling execv `tournament0/pzakorko.py` (pid 31008)
Strategy 0: first ans is 0
Forked 31009
Starting to reopen 0 and 1
Calling execv `tournament0/elexunix.py` (pid 31009)
Strategy 1: first ans is 0
Forked 31033
Starting to reopen 0 and 1
Calling execv `tournament0/the_best_strategy.py` (pid 31033)
Strategy 2: first ans is 0
Forked 31034
Starting to reopen 0 and 1
Calling execv `tournament0/alex_dany` (pid 31034)
31034: Started!
31034: Number of players: 6, position: 3, number of turns: 1000
31034: Random seed: 1792044352
Strategy 3: first ans is 0
Forked 31035
Starting to reopen 0 and 1
Calling execv `tournament0/fedro.py` (pid 31035)
Strategy 4: first ans is 0
Forked 31059
Starting to reopen 0 and 1
Calling execv `tournament0/lounres.py` (pid 31059)
Strategy 5: first ans is 1
31034: 5.000000e+00 1.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
31034: 3.500000e+00 1.500000e+00 5.000000e-01 0.000000e+00 5.000000e-01 0.000000e+00
31034: 3.333333e+00 1.333333e+00 1.000000e+00 0.000000e+00 3.333333e-01 0.000000e+00
31034: 3.250000e+00 1.500000e+00 1.000000e+00 0.000000e+00 2.500000e-01 0.000000e+00
31034: 3.000000e+00 1.600000e+00 1.200000e+00 0.000000e+00 2.000000e-01 0.000000e+00
31034: 3.000000e+00 1.333333e+00 1.166667e+00 3.333333e-01 1.666667e-01 0.000000e+00
31034: 3.000000e+00 1.428571e+00 1.000000e+00 4.285714e-01 1.428571e-01 0.000000e+00
31034: 2.875000e+00 1.500000e+00 1.125000e+00 3.750000e-01 1.250000e-01 0.000000e+00
31034: 2.777778e+00 1.555556e+00 1.000000e+00 5.555556e-01 1.111111e-01 0.000000e+00
31034: 2.800000e+00 1.500000e+00 1.000000e+00 5.000000e-01 1.000000e-01 1.000000e-01
31034: 2.727273e+00 1.636364e+00 9.090909e-01 5.454545e-01 9.090909e-02 9.090909e-02
31034: 2.666667e+00 1.500000e+00 1.083333e+00 5.000000e-01 1.666667e-01 8.333333e-02
31034: 2.615385e+00 1.538462e+00 1.153846e+00 4.615385e-01 1.538462e-01 7.692308e-02
31034: 2.571429e+00 1.571429e+00 1.071429e+00 5.714286e-01 1.428571e-01 7.142857e-02
31034: 2.600000e+00 1.466667e+00 1.200000e+00 5.333333e-01 1.333333e-01 6.666667e-02
31034: 2.625000e+00 1.500000e+00 1.187500e+00 5.000000e-01 1.250000e-01 6.250000e-02
31034: 2.647059e+00 1.470588e+00 1.176471e+00 5.294118e-01 1.176471e-01 5.882353e-02
31034: 2.666667e+00 1.500000e+00 1.166667e+00 5.000000e-01 1.111111e-01 5.555556e-02
31034: 2.684211e+00 1.473684e+00 1.210526e+00 4.736842e-01 1.052632e-01 5.263158e-02
31034: 2.750000e+00 1.500000e+00 1.150000e+00 4.500000e-01 1.000000e-01 5.000000e-02
31034: 2.714286e+00 1.476190e+00 1.190476e+00 4.761905e-01 9.523810e-02 4.761905e-02
31034: 2.681818e+00 1.545455e+00 1.181818e+00 4.545455e-01 9.090909e-02 4.545455e-02
31034: 2.652174e+00 1.521739e+00 1.217391e+00 4.782609e-01 8.695652e-02 4.347826e-02
31034: 2.666667e+00 1.541667e+00 1.166667e+00 5.000000e-01 8.333333e-02 4.166667e-02
31034: 2.680000e+00 1.520000e+00 1.160000e+00 4.800000e-01 1.200000e-01 4.000000e-02
31034: 2.653846e+00 1.538462e+00 1.153846e+00 5.000000e-01 1.153846e-01 3.846154e-02
31034: 2.629630e+00 1.555556e+00 1.148148e+00 5.185185e-01 1.111111e-01 3.703704e-02
31034: 2.642857e+00 1.535714e+00 1.178571e+00 5.000000e-01 1.071429e-01 3.571429e-02
31034: 2.655172e+00 1.551724e+00 1.172414e+00 4.827586e-01 1.034483e-01 3.448276e-02
31034: 2.633333e+00 1.566667e+00 1.166667e+00 5.000000e-01 1.000000e-01 3.333333e-02
31034: 2.645161e+00 1.580645e+00 1.161290e+00 4.838710e-01 9.677419e-02 3.225806e-02
31034: 2.625000e+00 1.593750e+00 1.187500e+00 4.687500e-01 9.375000e-02 3.125000e-02
31034: 2.606061e+00 1.545455e+00 1.212121e+00 5.151515e-01 9.090909e-02 3.030303e-02
31034: 2.588235e+00 1.588235e+00 1.205882e+00 5.000000e-01 8.823529e-02 2.941176e-02
31034: 2.571429e+00 1.600000e+00 1.228571e+00 4.857143e-01 8.571429e-02 2.857143e-02
31034: 2.555556e+00 1.555556e+00 1.250000e+00 5.000000e-01 1.111111e-01 2.777778e-02
31034: 2.540541e+00 1.567568e+00 1.243243e+00 5.135135e-01 1.081081e-01 2.702703e-02
31034: 2.552632e+00 1.578947e+00 1.236842e+00 5.000000e-01 1.052632e-01 2.631579e-02
31034: 2.538462e+00 1.538462e+00 1.256410e+00 5.128205e-01 1.282051e-01 2.564103e-02
31034: 2.550000e+00 1.550000e+00 1.225000e+00 5.000000e-01 1.500000e-01 2.500000e-02
31034: 2.560976e+00 1.560976e+00 1.219512e+00 4.878049e-01 1.463415e-01 2.439024e-02
31034: 2.547619e+00 1.571429e+00 1.214286e+00 4.761905e-01 1.666667e-01 2.380952e-02
31034: 2.534884e+00 1.534884e+00 1.255814e+00 4.651163e-01 1.860465e-01 2.325581e-02
31034: 2.522727e+00 1.545455e+00 1.227273e+00 4.772727e-01 2.045455e-01 2.272727e-02
31034: 2.533333e+00 1.533333e+00 1.222222e+00 4.666667e-01 2.222222e-01 2.222222e-02
31034: 2.543478e+00 1.543478e+00 1.217391e+00 4.565217e-01 2.173913e-01 2.173913e-02
31034: 2.531915e+00 1.553191e+00 1.212766e+00 4.680851e-01 2.127660e-01 2.127660e-02
31034: 2.541667e+00 1.541667e+00 1.208333e+00 4.791667e-01 2.083333e-01 2.083333e-02
31034: 2.530612e+00 1.571429e+00 1.183673e+00 4.897959e-01 2.040816e-01 2.040816e-02
31034: 2.520000e+00 1.560000e+00 1.220000e+00 4.800000e-01 2.000000e-01 2.000000e-02
31034: 2.529412e+00 1.588235e+00 1.196078e+00 4.705882e-01 1.960784e-01 1.960784e-02
31034: 2.519231e+00 1.557692e+00 1.230769e+00 4.615385e-01 2.115385e-01 1.923077e-02
31034: 2.509434e+00 1.584906e+00 1.207547e+00 4.528302e-01 2.264151e-01 1.886792e-02
31034: 2.500000e+00 1.574074e+00 1.240741e+00 4.444444e-01 2.222222e-01 1.851852e-02
31034: 2.490909e+00 1.563636e+00 1.254545e+00 4.545455e-01 2.181818e-01 1.818182e-02
31034: 2.482143e+00 1.571429e+00 1.250000e+00 4.642857e-01 2.142857e-01 1.785714e-02
31034: 2.491228e+00 1.543860e+00 1.280702e+00 4.561404e-01 2.105263e-01 1.754386e-02
31034: 2.500000e+00 1.551724e+00 1.258621e+00 4.482759e-01 2.241379e-01 1.724138e-02
31034: 2.491525e+00 1.542373e+00 1.254237e+00 4.576271e-01 2.372881e-01 1.694915e-02
31034: 2.483333e+00 1.550000e+00 1.233333e+00 4.833333e-01 2.333333e-01 1.666667e-02
31034: 2.491803e+00 1.540984e+00 1.229508e+00 4.918033e-01 2.295082e-01 1.639344e-02
31034: 2.483871e+00 1.548387e+00 1.225806e+00 4.838710e-01 2.419355e-01 1.612903e-02
31034: 2.476190e+00 1.571429e+00 1.222222e+00 4.761905e-01 2.380952e-01 1.587302e-02
31034: 2.468750e+00 1.546875e+00 1.234375e+00 4.843750e-01 2.343750e-01 3.125000e-02
31034: 2.476923e+00 1.569231e+00 1.215385e+00 4.769231e-01 2.307692e-01 3.076923e-02
31034: 2.454545e+00 1.575758e+00 1.242424e+00 4.696970e-01 2.272727e-01 3.030303e-02
31034: 2.462687e+00 1.552239e+00 1.268657e+00 4.626866e-01 2.238806e-01 2.985075e-02
31034: 2.441176e+00 1.558824e+00 1.279412e+00 4.705882e-01 2.205882e-01 2.941176e-02
31034: 2.434783e+00 1.579710e+00 1.275362e+00 4.637681e-01 2.173913e-01 2.898551e-02
31034: 2.414286e+00 1.585714e+00 1.300000e+00 4.571429e-01 2.142857e-01 2.857143e-02
31034: 2.422535e+00 1.591549e+00 1.295775e+00 4.507042e-01 2.112676e-01 2.816901e-02
31034: 2.430556e+00 1.569444e+00 1.319444e+00 4.444444e-01 2.083333e-01 2.777778e-02
31034: 2.410959e+00 1.616438e+00 1.301370e+00 4.383562e-01 2.054795e-01 2.739726e-02
31034: 2.405405e+00 1.608108e+00 1.324324e+00 4.324324e-01 2.027027e-01 2.702703e-02
31034: 2.386667e+00 1.613333e+00 1.346667e+00 4.266667e-01 2.000000e-01 2.666667e-02
31034: 2.381579e+00 1.605263e+00 1.355263e+00 4.342105e-01 1.973684e-01 2.631579e-02
31034: 2.389610e+00 1.597403e+00 1.363636e+00 4.285714e-01 1.948052e-01 2.597403e-02
31034: 2.384615e+00 1.589744e+00 1.384615e+00 4.230769e-01 1.923077e-01 2.564103e-02
31034: 2.379747e+00 1.594937e+00 1.392405e+00 4.177215e-01 1.898734e-01 2.531646e-02
31034: 2.375000e+00 1.587500e+00 1.400000e+00 4.250000e-01 1.875000e-01 2.500000e-02
31034: 2.358025e+00 1.604938e+00 1.395062e+00 4.197531e-01 1.975309e-01 2.469136e-02
31034: 2.378049e+00 1.597561e+00 1.390244e+00 4.146341e-01 1.951220e-01 2.439024e-02
31034: 2.385542e+00 1.590361e+00 1.397590e+00 4.096386e-01 1.927711e-01 2.409639e-02
31034: 2.369048e+00 1.619048e+00 1.392857e+00 4.047619e-01 1.904762e-01 2.380952e-02
31034: 2.364706e+00 1.611765e+00 1.400000e+00 4.117647e-01 1.882353e-01 2.352941e-02
31034: 2.348837e+00 1.616279e+00 1.418605e+00 4.069767e-01 1.860465e-01 2.325581e-02
31034: 2.356322e+00 1.620690e+00 1.413793e+00 4.022989e-01 1.839080e-01 2.298851e-02
31034: 2.340909e+00 1.625000e+00 1.420455e+00 4.090909e-01 1.818182e-01 2.272727e-02
31034: 2.337079e+00 1.617978e+00 1.438202e+00 4.044944e-01 1.797753e-01 2.247191e-02
31034: 2.344444e+00 1.622222e+00 1.433333e+00 4.000000e-01 1.777778e-01 2.222222e-02
31034: 2.340659e+00 1.615385e+00 1.450549e+00 3.956044e-01 1.758242e-01 2.197802e-02
31034: 2.336957e+00 1.608696e+00 1.467391e+00 3.913043e-01 1.739130e-01 2.173913e-02
31034: 2.333333e+00 1.612903e+00 1.462366e+00 3.870968e-01 1.827957e-01 2.150538e-02
31034: 2.319149e+00 1.595745e+00 1.478723e+00 4.042553e-01 1.808511e-01 2.127660e-02
31034: 2.326316e+00 1.578947e+00 1.484211e+00 4.105263e-01 1.789474e-01 2.105263e-02
31034: 2.322917e+00 1.572917e+00 1.489583e+00 4.062500e-01 1.875000e-01 2.083333e-02
31034: 2.319588e+00 1.577320e+00 1.494845e+00 4.020619e-01 1.855670e-01 2.061856e-02
31034: 2.316327e+00 1.581633e+00 1.489796e+00 4.081633e-01 1.836735e-01 2.040816e-02
31034: 2.313131e+00 1.575758e+00 1.505051e+00 4.040404e-01 1.818182e-01 2.020202e-02
31034: 2.300000e+00 1.590000e+00 1.510000e+00 4.000000e-01 1.800000e-01 2.000000e-02
31034: 2.297030e+00 1.574257e+00 1.524752e+00 3.960396e-01 1.881188e-01 1.980198e-02
31034: 2.294118e+00 1.578431e+00 1.519608e+00 4.019608e-01 1.862745e-01 1.960784e-02
31034: 2.281553e+00 1.572816e+00 1.543689e+00 3.980583e-01 1.844660e-01 1.941748e-02
31034: 2.278846e+00 1.567308e+00 1.548077e+00 3.942308e-01 1.826923e-01 2.884615e-02
31034: 2.285714e+00 1.571429e+00 1.542857e+00 3.904762e-01 1.809524e-01 2.857143e-02
31034: 2.273585e+00 1.556604e+00 1.556604e+00 3.962264e-01 1.886792e-01 2.830189e-02
31034: 2.280374e+00 1.551402e+00 1.560748e+00 3.925234e-01 1.869159e-01 2.803738e-02
31034: 2.268519e+00 1.564815e+00 1.564815e+00 3.888889e-01 1.851852e-01 2.777778e-02
31034: 2.266055e+00 1.568807e+00 1.559633e+00 3.944954e-01 1.834862e-01 2.752294e-02
31034: 2.245455e+00 1.581818e+00 1.572727e+00 3.909091e-01 1.818182e-01 2.727273e-02
31034: 2.243243e+00 1.585586e+00 1.558559e+00 4.054054e-01 1.801802e-01 2.702703e-02
31034: 2.232143e+00 1.589286e+00 1.571429e+00 4.017857e-01 1.785714e-01 2.678571e-02
31034: 2.221239e+00 1.592920e+00 1.566372e+00 4.159292e-01 1.769912e-01 2.654867e-02
31034: 2.210526e+00 1.605263e+00 1.570175e+00 4.122807e-01 1.754386e-01 2.631579e-02
31034: 2.208696e+00 1.608696e+00 1.556522e+00 4.260870e-01 1.739130e-01 2.608696e-02
31034: 2.189655e+00 1.612069e+00 1.568966e+00 4.310345e-01 1.724138e-01 2.586207e-02
31034: 2.188034e+00 1.615385e+00 1.564103e+00 4.273504e-01 1.709402e-01 3.418803e-02
31034: 2.177966e+00 1.601695e+00 1.593220e+00 4.237288e-01 1.694915e-01 3.389831e-02
31034: 2.193277e+00 1.596639e+00 1.579832e+00 4.285714e-01 1.680672e-01 3.361345e-02
31034: 2.191667e+00 1.591667e+00 1.575000e+00 4.333333e-01 1.750000e-01 3.333333e-02
31034: 2.198347e+00 1.586777e+00 1.570248e+00 4.380165e-01 1.735537e-01 3.305785e-02
31034: 2.188525e+00 1.590164e+00 1.573770e+00 4.426230e-01 1.721311e-01 3.278689e-02
31034: 2.195122e+00 1.585366e+00 1.560976e+00 4.471545e-01 1.788618e-01 3.252033e-02
31034: 2.193548e+00 1.588710e+00 1.556452e+00 4.516129e-01 1.774194e-01 3.225806e-02
31034: 2.184000e+00 1.576000e+00 1.576000e+00 4.560000e-01 1.760000e-01 3.200000e-02
