Forked 31909
Starting to reopen 0 and 1
Calling execv `tournament0/pzakorko.py` (pid 31909)
Strategy 0: first ans is 0
Forked 31910
Starting to reopen 0 and 1
Calling execv `tournament0/fedro.py` (pid 31910)
Strategy 1: first ans is 0
Forked 31934
Starting to reopen 0 and 1
Calling execv `tournament0/elexunix.py` (pid 31934)
Strategy 2: first ans is 4
Forked 31958
Starting to reopen 0 and 1
Calling execv `tournament0/the_best_strategy.py` (pid 31958)
Strategy 3: first ans is 0
Forked 31959
Starting to reopen 0 and 1
Calling execv `tournament0/lounres.py` (pid 31959)
Strategy 4: first ans is 1
Forked 31960
Starting to reopen 0 and 1
Calling execv `tournament0/alex_dany` (pid 31960)
31960: Started!
31960: Number of players: 6, position: 5, number of turns: 1000
31960: Random seed: 4242716752
Strategy 5: first ans is 1
31960: 3.000000e+00 2.000000e+00 0.000000e+00 0.000000e+00 1.000000e+00 0.000000e+00
31960: 2.500000e+00 1.000000e+00 1.000000e+00 5.000000e-01 1.000000e+00 0.000000e+00
31960: 2.333333e+00 1.333333e+00 1.000000e+00 6.666667e-01 6.666667e-01 0.000000e+00
31960: 2.500000e+00 1.500000e+00 1.000000e+00 5.000000e-01 5.000000e-01 0.000000e+00
31960: 2.600000e+00 1.400000e+00 1.200000e+00 4.000000e-01 4.000000e-01 0.000000e+00
31960: 2.666667e+00 1.500000e+00 1.000000e+00 5.000000e-01 3.333333e-01 0.000000e+00
31960: 2.714286e+00 1.428571e+00 1.000000e+00 5.714286e-01 2.857143e-01 0.000000e+00
31960: 2.750000e+00 1.500000e+00 1.000000e+00 5.000000e-01 2.500000e-01 0.000000e+00
31960: 2.666667e+00 1.444444e+00 1.222222e+00 4.444444e-01 2.222222e-01 0.000000e+00
31960: 2.600000e+00 1.600000e+00 1.100000e+00 4.000000e-01 3.000000e-01 0.000000e+00
31960: 2.636364e+00 1.454545e+00 1.272727e+00 3.636364e-01 2.727273e-01 0.000000e+00
31960: 2.583333e+00 1.583333e+00 1.250000e+00 3.333333e-01 2.500000e-01 0.000000e+00
31960: 2.538462e+00 1.615385e+00 1.307692e+00 3.076923e-01 2.307692e-01 0.000000e+00
31960: 2.571429e+00 1.571429e+00 1.285714e+00 3.571429e-01 2.142857e-01 0.000000e+00
31960: 2.600000e+00 1.600000e+00 1.266667e+00 3.333333e-01 2.000000e-01 0.000000e+00
31960: 2.625000e+00 1.500000e+00 1.312500e+00 3.125000e-01 2.500000e-01 0.000000e+00
31960: 2.588235e+00 1.529412e+00 1.352941e+00 2.941176e-01 2.352941e-01 0.000000e+00
31960: 2.611111e+00 1.500000e+00 1.277778e+00 3.888889e-01 2.222222e-01 0.000000e+00
31960: 2.578947e+00 1.578947e+00 1.263158e+00 3.684211e-01 2.105263e-01 0.000000e+00
31960: 2.600000e+00 1.550000e+00 1.300000e+00 3.500000e-01 2.000000e-01 0.000000e+00
31960: 2.619048e+00 1.619048e+00 1.238095e+00 3.333333e-01 1.904762e-01 0.000000e+00
31960: 2.636364e+00 1.545455e+00 1.318182e+00 3.181818e-01 1.818182e-01 0.000000e+00
31960: 2.608696e+00 1.608696e+00 1.304348e+00 3.043478e-01 1.739130e-01 0.000000e+00
31960: 2.583333e+00 1.541667e+00 1.375000e+00 2.916667e-01 2.083333e-01 0.000000e+00
31960: 2.560000e+00 1.600000e+00 1.360000e+00 2.800000e-01 2.000000e-01 0.000000e+00
31960: 2.576923e+00 1.538462e+00 1.423077e+00 2.692308e-01 1.923077e-01 0.000000e+00
31960: 2.555556e+00 1.555556e+00 1.370370e+00 2.962963e-01 2.222222e-01 0.000000e+00
31960: 2.607143e+00 1.535714e+00 1.357143e+00 2.857143e-01 2.142857e-01 0.000000e+00
31960: 2.620690e+00 1.551724e+00 1.344828e+00 2.758621e-01 2.068966e-01 0.000000e+00
31960: 2.600000e+00 1.566667e+00 1.366667e+00 2.666667e-01 2.000000e-01 0.000000e+00
31960: 2.580645e+00 1.580645e+00 1.322581e+00 3.225806e-01 1.935484e-01 0.000000e+00
31960: 2.593750e+00 1.531250e+00 1.343750e+00 3.125000e-01 1.875000e-01 3.125000e-02
31960: 2.575758e+00 1.575758e+00 1.303030e+00 3.030303e-01 2.121212e-01 3.030303e-02
31960: 2.558824e+00 1.529412e+00 1.382353e+00 2.941176e-01 2.058824e-01 2.941176e-02
31960: 2.571429e+00 1.542857e+00 1.342857e+00 3.142857e-01 2.000000e-01 2.857143e-02
31960: 2.611111e+00 1.527778e+00 1.333333e+00 3.055556e-01 1.944444e-01 2.777778e-02
31960: 2.594595e+00 1.567568e+00 1.297297e+00 3.243243e-01 1.891892e-01 2.702703e-02
31960: 2.605263e+00 1.578947e+00 1.289474e+00 3.157895e-01 1.842105e-01 2.631579e-02
31960: 2.641026e+00 1.538462e+00 1.307692e+00 3.076923e-01 1.794872e-01 2.564103e-02
31960: 2.625000e+00 1.550000e+00 1.300000e+00 3.250000e-01 1.750000e-01 2.500000e-02
31960: 2.609756e+00 1.536585e+00 1.317073e+00 3.170732e-01 1.951220e-01 2.439024e-02
31960: 2.595238e+00 1.571429e+00 1.285714e+00 3.095238e-01 1.904762e-01 4.761905e-02
31960: 2.581395e+00 1.558140e+00 1.325581e+00 3.023256e-01 1.860465e-01 4.651163e-02
31960: 2.568182e+00 1.590909e+00 1.295455e+00 3.181818e-01 1.818182e-01 4.545455e-02
31960: 2.533333e+00 1.555556e+00 1.355556e+00 3.333333e-01 1.777778e-01 4.444444e-02
31960: 2.521739e+00 1.565217e+00 1.369565e+00 3.260870e-01 1.739130e-01 4.347826e-02
31960: 2.489362e+00 1.553191e+00 1.361702e+00 3.617021e-01 1.914894e-01 4.255319e-02
31960: 2.479167e+00 1.541667e+00 1.354167e+00 3.958333e-01 1.875000e-01 4.166667e-02
31960: 2.448980e+00 1.551020e+00 1.346939e+00 4.081633e-01 2.040816e-01 4.081633e-02
31960: 2.460000e+00 1.560000e+00 1.320000e+00 4.200000e-01 2.000000e-01 4.000000e-02
31960: 2.450980e+00 1.588235e+00 1.313725e+00 4.117647e-01 1.960784e-01 3.921569e-02
31960: 2.423077e+00 1.576923e+00 1.346154e+00 4.038462e-01 2.115385e-01 3.846154e-02
31960: 2.415094e+00 1.547170e+00 1.377358e+00 3.962264e-01 2.264151e-01 3.773585e-02
31960: 2.388889e+00 1.555556e+00 1.388889e+00 3.888889e-01 2.407407e-01 3.703704e-02
31960: 2.381818e+00 1.563636e+00 1.400000e+00 3.818182e-01 2.363636e-01 3.636364e-02
31960: 2.375000e+00 1.571429e+00 1.392857e+00 3.928571e-01 2.321429e-01 3.571429e-02
31960: 2.350877e+00 1.578947e+00 1.403509e+00 4.035088e-01 2.280702e-01 3.508772e-02
31960: 2.344828e+00 1.568966e+00 1.413793e+00 3.965517e-01 2.413793e-01 3.448276e-02
31960: 2.322034e+00 1.610169e+00 1.389831e+00 3.898305e-01 2.542373e-01 3.389831e-02
31960: 2.316667e+00 1.616667e+00 1.400000e+00 3.833333e-01 2.500000e-01 3.333333e-02
31960: 2.311475e+00 1.606557e+00 1.409836e+00 3.934426e-01 2.459016e-01 3.278689e-02
31960: 2.290323e+00 1.596774e+00 1.451613e+00 3.870968e-01 2.419355e-01 3.225806e-02
31960: 2.285714e+00 1.587302e+00 1.460317e+00 3.809524e-01 2.539683e-01 3.174603e-02
31960: 2.281250e+00 1.593750e+00 1.468750e+00 3.750000e-01 2.500000e-01 3.125000e-02
31960: 2.261538e+00 1.569231e+00 1.476923e+00 4.000000e-01 2.615385e-01 3.076923e-02
31960: 2.257576e+00 1.575758e+00 1.469697e+00 3.939394e-01 2.727273e-01 3.030303e-02
31960: 2.253731e+00 1.552239e+00 1.507463e+00 3.880597e-01 2.686567e-01 2.985075e-02
31960: 2.264706e+00 1.558824e+00 1.500000e+00 3.823529e-01 2.647059e-01 2.941176e-02
31960: 2.246377e+00 1.565217e+00 1.521739e+00 3.768116e-01 2.608696e-01 2.898551e-02
31960: 2.257143e+00 1.557143e+00 1.514286e+00 3.857143e-01 2.571429e-01 2.857143e-02
31960: 2.253521e+00 1.577465e+00 1.507042e+00 3.802817e-01 2.535211e-01 2.816901e-02
31960: 2.250000e+00 1.569444e+00 1.527778e+00 3.750000e-01 2.500000e-01 2.777778e-02
31960: 2.232877e+00 1.575342e+00 1.534247e+00 3.835616e-01 2.465753e-01 2.739726e-02
31960: 2.229730e+00 1.567568e+00 1.527027e+00 3.783784e-01 2.567568e-01 4.054054e-02
31960: 2.226667e+00 1.573333e+00 1.533333e+00 3.733333e-01 2.533333e-01 4.000000e-02
31960: 2.210526e+00 1.578947e+00 1.539474e+00 3.815789e-01 2.500000e-01 3.947368e-02
31960: 2.220779e+00 1.584416e+00 1.532468e+00 3.766234e-01 2.467532e-01 3.896104e-02
