Forked 32174
Starting to reopen 0 and 1
Calling execv `tournament0/fedro.py` (pid 32174)
Strategy 0: first ans is 0
Forked 32198
Starting to reopen 0 and 1
Calling execv `tournament0/the_best_strategy.py` (pid 32198)
Strategy 1: first ans is 0
Forked 32199
Starting to reopen 0 and 1
Calling execv `tournament0/alex_dany` (pid 32199)
32199: Started!
32199: Number of players: 6, position: 2, number of turns: 1000
32199: Random seed: 3916147087
Strategy 2: first ans is 0
Forked 32200
Starting to reopen 0 and 1
Calling execv `tournament0/elexunix.py` (pid 32200)
Strategy 3: first ans is 1
Forked 32224
Starting to reopen 0 and 1
Calling execv `tournament0/pzakorko.py` (pid 32224)
Strategy 4: first ans is 0
Forked 32225
Starting to reopen 0 and 1
Calling execv `tournament0/lounres.py` (pid 32225)
Strategy 5: first ans is 1
32199: 4.000000e+00 2.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
32199: 3.500000e+00 1.000000e+00 1.000000e+00 5.000000e-01 0.000000e+00 0.000000e+00
32199: 3.333333e+00 1.666667e+00 6.666667e-01 3.333333e-01 0.000000e+00 0.000000e+00
32199: 3.250000e+00 1.250000e+00 1.000000e+00 2.500000e-01 2.500000e-01 0.000000e+00
32199: 3.000000e+00 1.600000e+00 8.000000e-01 2.000000e-01 4.000000e-01 0.000000e+00
32199: 3.000000e+00 1.333333e+00 1.166667e+00 1.666667e-01 3.333333e-01 0.000000e+00
32199: 3.000000e+00 1.571429e+00 1.000000e+00 1.428571e-01 2.857143e-01 0.000000e+00
32199: 2.875000e+00 1.375000e+00 1.125000e+00 1.250000e-01 5.000000e-01 0.000000e+00
32199: 2.777778e+00 1.444444e+00 1.222222e+00 1.111111e-01 4.444444e-01 0.000000e+00
32199: 2.800000e+00 1.400000e+00 1.200000e+00 2.000000e-01 4.000000e-01 0.000000e+00
32199: 2.818182e+00 1.454545e+00 1.090909e+00 2.727273e-01 3.636364e-01 0.000000e+00
32199: 2.833333e+00 1.500000e+00 1.083333e+00 2.500000e-01 3.333333e-01 0.000000e+00
32199: 2.846154e+00 1.461538e+00 1.076923e+00 2.307692e-01 3.846154e-01 0.000000e+00
32199: 2.785714e+00 1.571429e+00 1.071429e+00 2.142857e-01 3.571429e-01 0.000000e+00
32199: 2.733333e+00 1.533333e+00 1.200000e+00 2.000000e-01 3.333333e-01 0.000000e+00
32199: 2.750000e+00 1.625000e+00 1.125000e+00 1.875000e-01 3.125000e-01 0.000000e+00
32199: 2.764706e+00 1.529412e+00 1.235294e+00 1.764706e-01 2.941176e-01 0.000000e+00
32199: 2.777778e+00 1.555556e+00 1.222222e+00 1.666667e-01 2.777778e-01 0.000000e+00
32199: 2.736842e+00 1.526316e+00 1.263158e+00 2.105263e-01 2.631579e-01 0.000000e+00
32199: 2.750000e+00 1.550000e+00 1.200000e+00 2.000000e-01 3.000000e-01 0.000000e+00
32199: 2.666667e+00 1.571429e+00 1.238095e+00 2.380952e-01 2.857143e-01 0.000000e+00
32199: 2.636364e+00 1.545455e+00 1.272727e+00 2.727273e-01 2.727273e-01 0.000000e+00
32199: 2.565217e+00 1.695652e+00 1.217391e+00 2.608696e-01 2.608696e-01 0.000000e+00
32199: 2.583333e+00 1.625000e+00 1.250000e+00 2.916667e-01 2.500000e-01 0.000000e+00
32199: 2.520000e+00 1.640000e+00 1.280000e+00 3.200000e-01 2.400000e-01 0.000000e+00
32199: 2.500000e+00 1.576923e+00 1.307692e+00 3.461538e-01 2.692308e-01 0.000000e+00
32199: 2.444444e+00 1.629630e+00 1.296296e+00 3.703704e-01 2.592593e-01 0.000000e+00
32199: 2.464286e+00 1.607143e+00 1.321429e+00 3.571429e-01 2.500000e-01 0.000000e+00
32199: 2.448276e+00 1.655172e+00 1.310345e+00 3.448276e-01 2.413793e-01 0.000000e+00
32199: 2.400000e+00 1.633333e+00 1.366667e+00 3.333333e-01 2.666667e-01 0.000000e+00
32199: 2.387097e+00 1.645161e+00 1.354839e+00 3.548387e-01 2.580645e-01 0.000000e+00
32199: 2.343750e+00 1.656250e+00 1.406250e+00 3.437500e-01 2.500000e-01 0.000000e+00
32199: 2.363636e+00 1.636364e+00 1.424242e+00 3.333333e-01 2.424242e-01 0.000000e+00
32199: 2.352941e+00 1.647059e+00 1.441176e+00 3.235294e-01 2.352941e-01 0.000000e+00
32199: 2.314286e+00 1.628571e+00 1.457143e+00 3.714286e-01 2.285714e-01 0.000000e+00
32199: 2.305556e+00 1.583333e+00 1.472222e+00 3.888889e-01 2.500000e-01 0.000000e+00
32199: 2.270270e+00 1.594595e+00 1.513514e+00 3.783784e-01 2.432432e-01 0.000000e+00
32199: 2.263158e+00 1.578947e+00 1.526316e+00 3.684211e-01 2.631579e-01 0.000000e+00
32199: 2.256410e+00 1.589744e+00 1.512821e+00 3.846154e-01 2.564103e-01 0.000000e+00
32199: 2.225000e+00 1.625000e+00 1.525000e+00 3.750000e-01 2.500000e-01 0.000000e+00
32199: 2.243902e+00 1.585366e+00 1.536585e+00 3.902439e-01 2.439024e-01 0.000000e+00
32199: 2.238095e+00 1.619048e+00 1.523810e+00 3.809524e-01 2.380952e-01 0.000000e+00
32199: 2.209302e+00 1.627907e+00 1.558140e+00 3.720930e-01 2.325581e-01 0.000000e+00
32199: 2.227273e+00 1.613636e+00 1.568182e+00 3.636364e-01 2.272727e-01 0.000000e+00
32199: 2.244444e+00 1.622222e+00 1.555556e+00 3.555556e-01 2.222222e-01 0.000000e+00
32199: 2.217391e+00 1.608696e+00 1.586957e+00 3.478261e-01 2.391304e-01 0.000000e+00
32199: 2.255319e+00 1.574468e+00 1.574468e+00 3.617021e-01 2.340426e-01 0.000000e+00
