Forked 32492
Starting to reopen 0 and 1
Calling execv `tournament0/lounres.py` (pid 32492)
Strategy 0: first ans is 1
Forked 32493
Starting to reopen 0 and 1
Calling execv `tournament0/pzakorko.py` (pid 32493)
Strategy 1: first ans is 0
Forked 32494
Starting to reopen 0 and 1
Calling execv `tournament0/alex_dany` (pid 32494)
32494: Started!
32494: Number of players: 6, position: 2, number of turns: 1000
32494: Random seed: 2869371424
Strategy 2: first ans is 0
Forked 32495
Starting to reopen 0 and 1
Calling execv `tournament0/elexunix.py` (pid 32495)
Strategy 3: first ans is 0
Forked 32519
Starting to reopen 0 and 1
Calling execv `tournament0/fedro.py` (pid 32519)
Strategy 4: first ans is 0
Forked 32543
Starting to reopen 0 and 1
Calling execv `tournament0/the_best_strategy.py` (pid 32543)
Strategy 5: first ans is 0
32494: 5.000000e+00 1.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
32494: 3.500000e+00 2.000000e+00 0.000000e+00 0.000000e+00 5.000000e-01 0.000000e+00
32494: 3.333333e+00 1.666667e+00 6.666667e-01 0.000000e+00 3.333333e-01 0.000000e+00
32494: 3.000000e+00 1.500000e+00 1.000000e+00 0.000000e+00 5.000000e-01 0.000000e+00
32494: 2.800000e+00 1.800000e+00 1.000000e+00 0.000000e+00 4.000000e-01 0.000000e+00
32494: 2.666667e+00 1.500000e+00 1.333333e+00 0.000000e+00 5.000000e-01 0.000000e+00
32494: 2.714286e+00 1.571429e+00 1.285714e+00 0.000000e+00 4.285714e-01 0.000000e+00
32494: 2.875000e+00 1.375000e+00 1.375000e+00 0.000000e+00 3.750000e-01 0.000000e+00
32494: 2.777778e+00 1.444444e+00 1.444444e+00 0.000000e+00 3.333333e-01 0.000000e+00
32494: 2.700000e+00 1.500000e+00 1.400000e+00 1.000000e-01 3.000000e-01 0.000000e+00
32494: 2.727273e+00 1.545455e+00 1.363636e+00 9.090909e-02 2.727273e-01 0.000000e+00
32494: 2.833333e+00 1.500000e+00 1.333333e+00 8.333333e-02 2.500000e-01 0.000000e+00
32494: 2.769231e+00 1.538462e+00 1.384615e+00 7.692308e-02 2.307692e-01 0.000000e+00
32494: 2.785714e+00 1.500000e+00 1.357143e+00 1.428571e-01 2.142857e-01 0.000000e+00
32494: 2.733333e+00 1.666667e+00 1.266667e+00 1.333333e-01 2.000000e-01 0.000000e+00
32494: 2.687500e+00 1.625000e+00 1.375000e+00 1.250000e-01 1.875000e-01 0.000000e+00
32494: 2.705882e+00 1.588235e+00 1.411765e+00 1.176471e-01 1.764706e-01 0.000000e+00
32494: 2.722222e+00 1.555556e+00 1.444444e+00 1.111111e-01 1.666667e-01 0.000000e+00
32494: 2.684211e+00 1.631579e+00 1.421053e+00 1.052632e-01 1.578947e-01 0.000000e+00
32494: 2.650000e+00 1.600000e+00 1.450000e+00 1.500000e-01 1.500000e-01 0.000000e+00
32494: 2.666667e+00 1.571429e+00 1.476190e+00 1.428571e-01 1.428571e-01 0.000000e+00
32494: 2.636364e+00 1.590909e+00 1.500000e+00 1.363636e-01 1.363636e-01 0.000000e+00
32494: 2.608696e+00 1.565217e+00 1.521739e+00 1.739130e-01 1.304348e-01 0.000000e+00
32494: 2.583333e+00 1.625000e+00 1.500000e+00 1.666667e-01 1.250000e-01 0.000000e+00
32494: 2.560000e+00 1.640000e+00 1.520000e+00 1.600000e-01 1.200000e-01 0.000000e+00
32494: 2.576923e+00 1.615385e+00 1.500000e+00 1.923077e-01 1.153846e-01 0.000000e+00
32494: 2.555556e+00 1.629630e+00 1.518519e+00 1.851852e-01 1.111111e-01 0.000000e+00
32494: 2.607143e+00 1.571429e+00 1.500000e+00 2.142857e-01 1.071429e-01 0.000000e+00
32494: 2.586207e+00 1.586207e+00 1.517241e+00 2.068966e-01 1.034483e-01 0.000000e+00
