Forked 32545
Starting to reopen 0 and 1
Calling execv `tournament0/alex_dany` (pid 32545)
32545: Started!
32545: Number of players: 6, position: 0, number of turns: 1000
32545: Random seed: 1590910893
Strategy 0: first ans is 0
Forked 32546
Starting to reopen 0 and 1
Calling execv `tournament0/fedro.py` (pid 32546)
Strategy 1: first ans is 0
Forked 32570
Starting to reopen 0 and 1
Calling execv `tournament0/elexunix.py` (pid 32570)
Strategy 2: first ans is 2
Forked 32594
Starting to reopen 0 and 1
Calling execv `tournament0/the_best_strategy.py` (pid 32594)
Strategy 3: first ans is 0
Forked 32595
Starting to reopen 0 and 1
Calling execv `tournament0/lounres.py` (pid 32595)
Strategy 4: first ans is 1
Forked 32596
Starting to reopen 0 and 1
Calling execv `tournament0/pzakorko.py` (pid 32596)
Strategy 5: first ans is 0
32545: 4.000000e+00 1.000000e+00 1.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
32545: 3.500000e+00 1.500000e+00 5.000000e-01 0.000000e+00 5.000000e-01 0.000000e+00
32545: 3.333333e+00 1.333333e+00 6.666667e-01 0.000000e+00 6.666667e-01 0.000000e+00
32545: 3.000000e+00 1.750000e+00 5.000000e-01 0.000000e+00 5.000000e-01 2.500000e-01
32545: 2.800000e+00 1.400000e+00 8.000000e-01 2.000000e-01 6.000000e-01 2.000000e-01
32545: 2.833333e+00 1.666667e+00 6.666667e-01 1.666667e-01 5.000000e-01 1.666667e-01
32545: 3.000000e+00 1.428571e+00 8.571429e-01 1.428571e-01 4.285714e-01 1.428571e-01
32545: 2.875000e+00 1.500000e+00 8.750000e-01 2.500000e-01 3.750000e-01 1.250000e-01
32545: 2.888889e+00 1.444444e+00 1.000000e+00 2.222222e-01 3.333333e-01 1.111111e-01
32545: 2.900000e+00 1.600000e+00 9.000000e-01 2.000000e-01 3.000000e-01 1.000000e-01
32545: 2.909091e+00 1.545455e+00 1.000000e+00 1.818182e-01 2.727273e-01 9.090909e-02
32545: 2.916667e+00 1.666667e+00 9.166667e-01 1.666667e-01 2.500000e-01 8.333333e-02
32545: 2.923077e+00 1.538462e+00 1.000000e+00 2.307692e-01 2.307692e-01 7.692308e-02
32545: 2.857143e+00 1.571429e+00 9.285714e-01 2.857143e-01 2.857143e-01 7.142857e-02
32545: 2.800000e+00 1.600000e+00 1.000000e+00 2.666667e-01 2.666667e-01 6.666667e-02
32545: 2.812500e+00 1.500000e+00 1.062500e+00 3.125000e-01 2.500000e-01 6.250000e-02
32545: 2.823529e+00 1.588235e+00 1.000000e+00 2.941176e-01 2.352941e-01 5.882353e-02
32545: 2.777778e+00 1.500000e+00 1.166667e+00 2.777778e-01 2.222222e-01 5.555556e-02
32545: 2.736842e+00 1.578947e+00 1.105263e+00 3.157895e-01 2.105263e-01 5.263158e-02
32545: 2.700000e+00 1.550000e+00 1.200000e+00 3.000000e-01 2.000000e-01 5.000000e-02
