Forked 33075
Starting to reopen 0 and 1
Calling execv `tournament0/elexunix.py` (pid 33075)
Strategy 0: first ans is 1
Forked 33099
Starting to reopen 0 and 1
Calling execv `tournament0/lounres.py` (pid 33099)
Strategy 1: first ans is 1
Forked 33100
Starting to reopen 0 and 1
Calling execv `tournament0/fedro.py` (pid 33100)
Strategy 2: first ans is 0
Forked 33124
Starting to reopen 0 and 1
Calling execv `tournament0/pzakorko.py` (pid 33124)
Strategy 3: first ans is 0
Forked 33125
Starting to reopen 0 and 1
Calling execv `tournament0/the_best_strategy.py` (pid 33125)
Strategy 4: first ans is 0
Forked 33126
Starting to reopen 0 and 1
Calling execv `tournament0/alex_dany` (pid 33126)
33126: Started!
33126: Number of players: 6, position: 5, number of turns: 1000
33126: Random seed: 1001945284
Strategy 5: first ans is 1
33126: 3.000000e+00 3.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
33126: 2.500000e+00 1.500000e+00 2.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
33126: 2.333333e+00 2.000000e+00 1.333333e+00 3.333333e-01 0.000000e+00 0.000000e+00
33126: 2.500000e+00 1.500000e+00 1.500000e+00 5.000000e-01 0.000000e+00 0.000000e+00
33126: 2.600000e+00 1.600000e+00 1.400000e+00 4.000000e-01 0.000000e+00 0.000000e+00
33126: 2.833333e+00 1.333333e+00 1.500000e+00 3.333333e-01 0.000000e+00 0.000000e+00
33126: 2.857143e+00 1.428571e+00 1.285714e+00 4.285714e-01 0.000000e+00 0.000000e+00
33126: 2.875000e+00 1.500000e+00 1.250000e+00 3.750000e-01 0.000000e+00 0.000000e+00
33126: 2.888889e+00 1.444444e+00 1.222222e+00 4.444444e-01 0.000000e+00 0.000000e+00
33126: 2.800000e+00 1.500000e+00 1.100000e+00 6.000000e-01 0.000000e+00 0.000000e+00
33126: 2.727273e+00 1.454545e+00 1.181818e+00 6.363636e-01 0.000000e+00 0.000000e+00
33126: 2.750000e+00 1.500000e+00 1.166667e+00 5.833333e-01 0.000000e+00 0.000000e+00
33126: 2.692308e+00 1.461538e+00 1.230769e+00 6.153846e-01 0.000000e+00 0.000000e+00
33126: 2.785714e+00 1.500000e+00 1.142857e+00 5.714286e-01 0.000000e+00 0.000000e+00
33126: 2.733333e+00 1.466667e+00 1.266667e+00 5.333333e-01 0.000000e+00 0.000000e+00
33126: 2.687500e+00 1.500000e+00 1.187500e+00 6.250000e-01 0.000000e+00 0.000000e+00
33126: 2.647059e+00 1.470588e+00 1.235294e+00 5.882353e-01 0.000000e+00 5.882353e-02
33126: 2.611111e+00 1.500000e+00 1.222222e+00 6.111111e-01 0.000000e+00 5.555556e-02
33126: 2.578947e+00 1.526316e+00 1.210526e+00 6.315789e-01 0.000000e+00 5.263158e-02
33126: 2.600000e+00 1.550000e+00 1.200000e+00 6.000000e-01 0.000000e+00 5.000000e-02
33126: 2.619048e+00 1.523810e+00 1.238095e+00 5.714286e-01 0.000000e+00 4.761905e-02
33126: 2.590909e+00 1.636364e+00 1.181818e+00 5.454545e-01 0.000000e+00 4.545455e-02
33126: 2.565217e+00 1.652174e+00 1.217391e+00 5.217391e-01 0.000000e+00 4.347826e-02
33126: 2.541667e+00 1.583333e+00 1.250000e+00 5.416667e-01 0.000000e+00 8.333333e-02
33126: 2.560000e+00 1.560000e+00 1.240000e+00 5.600000e-01 0.000000e+00 8.000000e-02
33126: 2.538462e+00 1.576923e+00 1.269231e+00 5.384615e-01 0.000000e+00 7.692308e-02
33126: 2.518519e+00 1.555556e+00 1.259259e+00 5.555556e-01 3.703704e-02 7.407407e-02
33126: 2.535714e+00 1.571429e+00 1.214286e+00 5.357143e-01 3.571429e-02 1.071429e-01
33126: 2.551724e+00 1.517241e+00 1.275862e+00 5.172414e-01 3.448276e-02 1.034483e-01
33126: 2.533333e+00 1.533333e+00 1.233333e+00 5.666667e-01 3.333333e-02 1.000000e-01
33126: 2.516129e+00 1.516129e+00 1.258065e+00 5.806452e-01 3.225806e-02 9.677419e-02
33126: 2.562500e+00 1.531250e+00 1.218750e+00 5.625000e-01 3.125000e-02 9.375000e-02
33126: 2.545455e+00 1.575758e+00 1.212121e+00 5.454545e-01 3.030303e-02 9.090909e-02
33126: 2.529412e+00 1.529412e+00 1.264706e+00 5.588235e-01 2.941176e-02 8.823529e-02
33126: 2.514286e+00 1.571429e+00 1.228571e+00 5.714286e-01 2.857143e-02 8.571429e-02
33126: 2.500000e+00 1.527778e+00 1.277778e+00 5.555556e-01 5.555556e-02 8.333333e-02
33126: 2.486486e+00 1.567568e+00 1.270270e+00 5.405405e-01 5.405405e-02 8.108108e-02
33126: 2.473684e+00 1.552632e+00 1.289474e+00 5.526316e-01 5.263158e-02 7.894737e-02
33126: 2.487179e+00 1.564103e+00 1.282051e+00 5.384615e-01 5.128205e-02 7.692308e-02
33126: 2.475000e+00 1.550000e+00 1.325000e+00 5.250000e-01 5.000000e-02 7.500000e-02
33126: 2.512195e+00 1.560976e+00 1.292683e+00 5.121951e-01 4.878049e-02 7.317073e-02
33126: 2.500000e+00 1.571429e+00 1.309524e+00 5.000000e-01 4.761905e-02 7.142857e-02
33126: 2.511628e+00 1.534884e+00 1.325581e+00 5.116279e-01 4.651163e-02 6.976744e-02
33126: 2.500000e+00 1.545455e+00 1.340909e+00 5.000000e-01 4.545455e-02 6.818182e-02
33126: 2.466667e+00 1.533333e+00 1.355556e+00 5.333333e-01 4.444444e-02 6.666667e-02
33126: 2.456522e+00 1.521739e+00 1.347826e+00 5.652174e-01 4.347826e-02 6.521739e-02
33126: 2.446809e+00 1.531915e+00 1.361702e+00 5.531915e-01 4.255319e-02 6.382979e-02
33126: 2.416667e+00 1.562500e+00 1.354167e+00 5.625000e-01 4.166667e-02 6.250000e-02
33126: 2.428571e+00 1.571429e+00 1.346939e+00 5.510204e-01 4.081633e-02 6.122449e-02
33126: 2.400000e+00 1.560000e+00 1.380000e+00 5.400000e-01 6.000000e-02 6.000000e-02
33126: 2.392157e+00 1.568627e+00 1.352941e+00 5.686275e-01 5.882353e-02 5.882353e-02
33126: 2.365385e+00 1.576923e+00 1.384615e+00 5.576923e-01 5.769231e-02 5.769231e-02
33126: 2.358491e+00 1.566038e+00 1.396226e+00 5.660377e-01 5.660377e-02 5.660377e-02
33126: 2.351852e+00 1.574074e+00 1.407407e+00 5.555556e-01 5.555556e-02 5.555556e-02
33126: 2.345455e+00 1.545455e+00 1.436364e+00 5.636364e-01 5.454545e-02 5.454545e-02
33126: 2.321429e+00 1.589286e+00 1.428571e+00 5.535714e-01 5.357143e-02 5.357143e-02
33126: 2.333333e+00 1.578947e+00 1.438596e+00 5.438596e-01 5.263158e-02 5.263158e-02
33126: 2.310345e+00 1.586207e+00 1.448276e+00 5.517241e-01 5.172414e-02 5.172414e-02
33126: 2.305085e+00 1.576271e+00 1.474576e+00 5.423729e-01 5.084746e-02 5.084746e-02
33126: 2.283333e+00 1.566667e+00 1.500000e+00 5.333333e-01 5.000000e-02 6.666667e-02
33126: 2.278689e+00 1.590164e+00 1.491803e+00 5.245902e-01 4.918033e-02 6.557377e-02
33126: 2.274194e+00 1.580645e+00 1.516129e+00 5.161290e-01 4.838710e-02 6.451613e-02
33126: 2.253968e+00 1.571429e+00 1.523810e+00 5.396825e-01 4.761905e-02 6.349206e-02
33126: 2.265625e+00 1.562500e+00 1.531250e+00 5.312500e-01 4.687500e-02 6.250000e-02
33126: 2.261538e+00 1.584615e+00 1.507692e+00 5.384615e-01 4.615385e-02 6.153846e-02
33126: 2.242424e+00 1.590909e+00 1.530303e+00 5.303030e-01 4.545455e-02 6.060606e-02
33126: 2.238806e+00 1.567164e+00 1.537313e+00 5.373134e-01 5.970149e-02 5.970149e-02
33126: 2.220588e+00 1.617647e+00 1.514706e+00 5.294118e-01 5.882353e-02 5.882353e-02
33126: 2.217391e+00 1.594203e+00 1.536232e+00 5.362319e-01 5.797101e-02 5.797101e-02
33126: 2.200000e+00 1.628571e+00 1.528571e+00 5.285714e-01 5.714286e-02 5.714286e-02
33126: 2.197183e+00 1.605634e+00 1.549296e+00 5.211268e-01 7.042254e-02 5.633803e-02
33126: 2.180556e+00 1.597222e+00 1.555556e+00 5.277778e-01 8.333333e-02 5.555556e-02
33126: 2.191781e+00 1.575342e+00 1.575342e+00 5.205479e-01 8.219178e-02 5.479452e-02
33126: 2.175676e+00 1.594595e+00 1.554054e+00 5.270270e-01 9.459459e-02 5.405405e-02
33126: 2.173333e+00 1.573333e+00 1.560000e+00 5.333333e-01 1.066667e-01 5.333333e-02
33126: 2.157895e+00 1.592105e+00 1.565789e+00 5.263158e-01 1.052632e-01 5.263158e-02
33126: 2.168831e+00 1.584416e+00 1.571429e+00 5.194805e-01 1.038961e-01 5.194805e-02
33126: 2.153846e+00 1.602564e+00 1.551282e+00 5.384615e-01 1.025641e-01 5.128205e-02
33126: 2.151899e+00 1.594937e+00 1.569620e+00 5.316456e-01 1.012658e-01 5.063291e-02
33126: 2.150000e+00 1.600000e+00 1.575000e+00 5.250000e-01 1.000000e-01 5.000000e-02
