Forked 33128
Starting to reopen 0 and 1
Calling execv `tournament0/the_best_strategy.py` (pid 33128)
Strategy 0: first ans is 0
Forked 33129
Starting to reopen 0 and 1
Calling execv `tournament0/alex_dany` (pid 33129)
33129: Started!
33129: Number of players: 6, position: 1, number of turns: 1000
33129: Random seed: 3701485063
Strategy 1: first ans is 0
Forked 33130
Starting to reopen 0 and 1
Calling execv `tournament0/fedro.py` (pid 33130)
Strategy 2: first ans is 0
Forked 33154
Starting to reopen 0 and 1
Calling execv `tournament0/pzakorko.py` (pid 33154)
Strategy 3: first ans is 0
Forked 33155
Starting to reopen 0 and 1
Calling execv `tournament0/elexunix.py` (pid 33155)
Strategy 4: first ans is 1
Forked 33179
Starting to reopen 0 and 1
Calling execv `tournament0/lounres.py` (pid 33179)
Strategy 5: first ans is 1
33129: 4.000000e+00 2.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
33129: 3.000000e+00 1.000000e+00 1.500000e+00 5.000000e-01 0.000000e+00 0.000000e+00
33129: 2.666667e+00 1.666667e+00 1.333333e+00 3.333333e-01 0.000000e+00 0.000000e+00
33129: 2.500000e+00 1.750000e+00 1.500000e+00 2.500000e-01 0.000000e+00 0.000000e+00
33129: 2.400000e+00 1.400000e+00 1.600000e+00 4.000000e-01 2.000000e-01 0.000000e+00
33129: 2.500000e+00 1.500000e+00 1.500000e+00 3.333333e-01 1.666667e-01 0.000000e+00
33129: 2.571429e+00 1.428571e+00 1.571429e+00 2.857143e-01 1.428571e-01 0.000000e+00
33129: 2.500000e+00 1.625000e+00 1.500000e+00 2.500000e-01 1.250000e-01 0.000000e+00
33129: 2.555556e+00 1.444444e+00 1.666667e+00 2.222222e-01 1.111111e-01 0.000000e+00
33129: 2.500000e+00 1.700000e+00 1.500000e+00 2.000000e-01 1.000000e-01 0.000000e+00
33129: 2.545455e+00 1.545455e+00 1.636364e+00 1.818182e-01 9.090909e-02 0.000000e+00
33129: 2.500000e+00 1.583333e+00 1.583333e+00 2.500000e-01 8.333333e-02 0.000000e+00
33129: 2.615385e+00 1.461538e+00 1.538462e+00 3.076923e-01 7.692308e-02 0.000000e+00
33129: 2.571429e+00 1.500000e+00 1.571429e+00 2.857143e-01 7.142857e-02 0.000000e+00
33129: 2.533333e+00 1.533333e+00 1.533333e+00 3.333333e-01 6.666667e-02 0.000000e+00
33129: 2.500000e+00 1.625000e+00 1.500000e+00 3.125000e-01 6.250000e-02 0.000000e+00
33129: 2.470588e+00 1.529412e+00 1.588235e+00 3.529412e-01 5.882353e-02 0.000000e+00
33129: 2.500000e+00 1.555556e+00 1.555556e+00 3.333333e-01 5.555556e-02 0.000000e+00
33129: 2.526316e+00 1.526316e+00 1.526316e+00 3.157895e-01 1.052632e-01 0.000000e+00
33129: 2.500000e+00 1.600000e+00 1.450000e+00 3.000000e-01 1.500000e-01 0.000000e+00
33129: 2.523810e+00 1.571429e+00 1.476190e+00 2.857143e-01 1.428571e-01 0.000000e+00
33129: 2.545455e+00 1.545455e+00 1.454545e+00 3.181818e-01 1.363636e-01 0.000000e+00
33129: 2.521739e+00 1.565217e+00 1.434783e+00 3.043478e-01 1.739130e-01 0.000000e+00
33129: 2.541667e+00 1.541667e+00 1.458333e+00 2.916667e-01 1.666667e-01 0.000000e+00
33129: 2.520000e+00 1.600000e+00 1.400000e+00 3.200000e-01 1.600000e-01 0.000000e+00
33129: 2.500000e+00 1.576923e+00 1.423077e+00 3.076923e-01 1.923077e-01 0.000000e+00
33129: 2.481481e+00 1.629630e+00 1.407407e+00 2.962963e-01 1.851852e-01 0.000000e+00
33129: 2.464286e+00 1.607143e+00 1.428571e+00 3.214286e-01 1.785714e-01 0.000000e+00
33129: 2.482759e+00 1.586207e+00 1.413793e+00 3.103448e-01 1.724138e-01 3.448276e-02
33129: 2.500000e+00 1.600000e+00 1.400000e+00 3.000000e-01 1.666667e-01 3.333333e-02
33129: 2.516129e+00 1.548387e+00 1.419355e+00 3.225806e-01 1.612903e-01 3.225806e-02
33129: 2.531250e+00 1.562500e+00 1.406250e+00 3.125000e-01 1.562500e-01 3.125000e-02
33129: 2.545455e+00 1.575758e+00 1.393939e+00 3.030303e-01 1.515152e-01 3.030303e-02
33129: 2.529412e+00 1.529412e+00 1.441176e+00 3.235294e-01 1.470588e-01 2.941176e-02
33129: 2.542857e+00 1.542857e+00 1.428571e+00 3.142857e-01 1.428571e-01 2.857143e-02
33129: 2.527778e+00 1.583333e+00 1.416667e+00 3.055556e-01 1.388889e-01 2.777778e-02
