Forked 33181
Starting to reopen 0 and 1
Calling execv `tournament0/pzakorko.py` (pid 33181)
Strategy 0: first ans is 0
Forked 33182
Starting to reopen 0 and 1
Calling execv `tournament0/fedro.py` (pid 33182)
Strategy 1: first ans is 0
Forked 33206
Starting to reopen 0 and 1
Calling execv `tournament0/alex_dany` (pid 33206)
33206: Started!
33206: Number of players: 6, position: 2, number of turns: 1000
33206: Random seed: 2248824966
Strategy 2: first ans is 1
Forked 33207
Starting to reopen 0 and 1
Calling execv `tournament0/the_best_strategy.py` (pid 33207)
Strategy 3: first ans is 0
Forked 33208
Starting to reopen 0 and 1
Calling execv `tournament0/lounres.py` (pid 33208)
Strategy 4: first ans is 1
Forked 33209
Starting to reopen 0 and 1
Calling execv `tournament0/elexunix.py` (pid 33209)
Strategy 5: first ans is 4
33206: 3.000000e+00 2.000000e+00 0.000000e+00 0.000000e+00 1.000000e+00 0.000000e+00
33206: 2.500000e+00 1.000000e+00 1.000000e+00 5.000000e-01 1.000000e+00 0.000000e+00
33206: 2.333333e+00 2.000000e+00 6.666667e-01 3.333333e-01 6.666667e-01 0.000000e+00
33206: 2.250000e+00 1.750000e+00 1.250000e+00 2.500000e-01 5.000000e-01 0.000000e+00
33206: 2.400000e+00 1.600000e+00 1.400000e+00 2.000000e-01 4.000000e-01 0.000000e+00
33206: 2.333333e+00 1.666667e+00 1.333333e+00 1.666667e-01 5.000000e-01 0.000000e+00
33206: 2.285714e+00 1.571429e+00 1.571429e+00 1.428571e-01 4.285714e-01 0.000000e+00
33206: 2.375000e+00 1.625000e+00 1.375000e+00 2.500000e-01 3.750000e-01 0.000000e+00
33206: 2.444444e+00 1.444444e+00 1.444444e+00 3.333333e-01 3.333333e-01 0.000000e+00
33206: 2.500000e+00 1.500000e+00 1.300000e+00 4.000000e-01 3.000000e-01 0.000000e+00
33206: 2.545455e+00 1.454545e+00 1.363636e+00 3.636364e-01 2.727273e-01 0.000000e+00
33206: 2.583333e+00 1.500000e+00 1.333333e+00 3.333333e-01 2.500000e-01 0.000000e+00
33206: 2.538462e+00 1.538462e+00 1.384615e+00 3.076923e-01 2.307692e-01 0.000000e+00
33206: 2.571429e+00 1.571429e+00 1.285714e+00 3.571429e-01 2.142857e-01 0.000000e+00
33206: 2.533333e+00 1.533333e+00 1.333333e+00 4.000000e-01 2.000000e-01 0.000000e+00
33206: 2.500000e+00 1.625000e+00 1.250000e+00 4.375000e-01 1.875000e-01 0.000000e+00
33206: 2.529412e+00 1.588235e+00 1.294118e+00 4.117647e-01 1.764706e-01 0.000000e+00
33206: 2.555556e+00 1.555556e+00 1.277778e+00 4.444444e-01 1.666667e-01 0.000000e+00
33206: 2.526316e+00 1.578947e+00 1.263158e+00 4.210526e-01 2.105263e-01 0.000000e+00
33206: 2.550000e+00 1.500000e+00 1.300000e+00 4.500000e-01 2.000000e-01 0.000000e+00
33206: 2.571429e+00 1.571429e+00 1.238095e+00 4.285714e-01 1.904762e-01 0.000000e+00
33206: 2.545455e+00 1.545455e+00 1.272727e+00 4.090909e-01 2.272727e-01 0.000000e+00
33206: 2.521739e+00 1.608696e+00 1.217391e+00 4.347826e-01 2.173913e-01 0.000000e+00
33206: 2.541667e+00 1.541667e+00 1.250000e+00 4.166667e-01 2.083333e-01 4.166667e-02
33206: 2.520000e+00 1.600000e+00 1.240000e+00 4.000000e-01 2.000000e-01 4.000000e-02
33206: 2.538462e+00 1.538462e+00 1.307692e+00 3.846154e-01 1.923077e-01 3.846154e-02
33206: 2.518519e+00 1.555556e+00 1.296296e+00 4.074074e-01 1.851852e-01 3.703704e-02
33206: 2.535714e+00 1.535714e+00 1.321429e+00 3.928571e-01 1.785714e-01 3.571429e-02
33206: 2.517241e+00 1.586207e+00 1.275862e+00 4.137931e-01 1.724138e-01 3.448276e-02
33206: 2.500000e+00 1.566667e+00 1.300000e+00 4.333333e-01 1.666667e-01 3.333333e-02
33206: 2.516129e+00 1.580645e+00 1.258065e+00 4.516129e-01 1.612903e-01 3.225806e-02
33206: 2.500000e+00 1.562500e+00 1.281250e+00 4.687500e-01 1.562500e-01 3.125000e-02
33206: 2.484848e+00 1.575758e+00 1.272727e+00 4.545455e-01 1.818182e-01 3.030303e-02
33206: 2.470588e+00 1.529412e+00 1.352941e+00 4.411765e-01 1.764706e-01 2.941176e-02
33206: 2.428571e+00 1.571429e+00 1.371429e+00 4.285714e-01 1.714286e-01 2.857143e-02
33206: 2.416667e+00 1.555556e+00 1.388889e+00 4.444444e-01 1.666667e-01 2.777778e-02
33206: 2.378378e+00 1.621622e+00 1.351351e+00 4.324324e-01 1.621622e-01 5.405405e-02
33206: 2.368421e+00 1.657895e+00 1.342105e+00 4.210526e-01 1.578947e-01 5.263158e-02
